종목_list,2018_유동자산,2019_유동자산,2020_유동자산,2021_유동자산
금호건설,"6,189","10,143","7,816","9,891"
금호석유,"13,487","12,614","17,055","34,452"
금호에이치티,"1,555","2,049","2,049","1,918"
금호전기,613,355,457,652
금호타이어,"13,458","10,867","11,704","15,669"
기신정기,"1,294","1,378","1,444","1,496"
기아,"197,118","215,554","260,934","292,055"
기업은행,"148,885","115,267","131,886","198,515"
까뮤이앤씨,429,746,526,648
깨끗한나라,"1,663","1,154","1,192","1,323"
에이프로젠 MED,"1,413","3,471","4,345","4,843"
남광토건,990,"1,419","1,275","2,058"
남선알미늄,"1,290","1,203","1,124","1,165"
남성,781,814,850,"1,265"
남양유업,"6,287","5,469","5,078","4,800"
비비안,792,703,"1,034",886
남해화학,"3,410","3,738","3,831","5,033"
넥센,"11,105","12,054","13,440","16,455"
넥센타이어,"9,835","10,886","12,003","14,760"
넷마블,"25,906","25,601","18,207","19,626"
노루페인트,"2,396","2,637","3,030","3,038"
노루홀딩스,"4,491","4,528","4,849","4,951"
녹십자,"8,934","9,618","11,320","10,956"
녹십자홀딩스,"11,446","11,237","15,358","14,249"
농심,"10,538","10,786","10,744","10,887"
농심홀딩스,"2,132","2,208","2,082","2,292"
다우기술,"142,703","205,307","344,794","386,423"
키다리스튜디오,72,223,253,800
큐로,970,"1,347","1,184",938
대교,"2,852","2,726","2,202","2,249"
대구백화점,"1,347","1,826",351,"1,404"
대덕GDS,"2,937","2,565","2,826","2,335"
대덕,"5,310","5,225","6,096","7,264"
대동,"4,478","4,737","4,664","6,882"
대동전자,736,791,812,845
대림B&Co,"1,142","1,138","1,268","1,116"
DL,"63,666","67,397","93,278","25,127"
삼일씨엔에스,"1,771","1,484","1,255","1,278"
대림통상,"1,178","1,026",849,918
대상,"9,049","10,778","13,022","15,234"
대상홀딩스,"10,812","12,713","15,550","18,226"
대성산업,"1,829","1,873","2,085","3,185"
대성에너지,"2,129","2,107","2,030","2,327"
대성홀딩스,"3,447","3,034","3,149","3,466"
대신증권,"21,276","23,576","41,391","41,325"
대양금속,606,609,813,"1,169"
대영포장,556,554,586,964
대우건설,"52,796","60,494","59,731","71,489"
대우부품,273,300,401,420
대우조선해양,"73,500","68,711","59,532","64,811"
대웅,"7,342","7,578","8,363","8,480"
대웅제약,"5,157","5,263","5,284","5,249"
대원강업,"3,522","3,219","3,296","3,468"
대원전선,"1,473","1,426","1,420","1,949"
대원제약,"1,067","1,215","1,173","1,804"
대원화성,748,616,620,721
대유에이텍,"3,822","5,335","5,539","6,476"
대유플러스,"2,455","8,486","1,991","3,197"
대창,"3,082","3,236","3,529","4,963"
대창단조,"1,586","1,621","1,716","1,970"
대한방직,"1,672",897,963,"1,109"
대한유화,"4,287","4,642","6,052","9,706"
대한전선,"6,318","7,186","7,215","9,392"
대한제강,"3,498","2,990","5,812","8,113"
대한제당,"5,065","5,224","5,330","5,725"
대한제분,"4,680","4,310","4,739","6,839"
대한항공,"37,500","35,747","40,025","66,410"
대한해운,"4,984","4,196","4,312","5,023"
대한화섬,339,348,605,804
대현,"1,701","1,579","1,413","1,593"
대호에이엘,416,350,482,880
더존비즈온,"1,493","1,020","1,440","2,251"
덕성,584,609,608,752
덕양산업,"3,287","3,036","3,052","3,167"
