종목_list,2018_유동자산,2019_유동자산,2020_유동자산,2021_유동자산
하이골드3호,373,9,25,460
하이골드8호,534,21,393,346
하이스틸,807,832,865,926
하이트론,401,338,242,402
하이트진로,"10,650","7,823","8,994","13,043"
하이트진로홀딩스,"10,837","8,051","9,178","13,188"
한국가스공사,"99,249","92,328","75,279","131,477"
한국공항,"2,015","2,037","2,004","1,771"
한국금융지주,"103,697","74,224","119,966","153,049"
한국내화,678,702,667,"1,246"
한국단자,"4,189","3,994","4,856","5,514"
한국석유,"1,525","1,416","1,664","1,788"
한국쉘석유,"1,199","1,106","1,203","1,386"
한국유리,"2,001","2,850","4,237","2,902"
한국자산신탁, , , , 
한국전력,"197,451","194,830","205,619","220,508"
한국전자홀딩스,"1,733","1,610","1,913","2,305"
한국제지,"3,649","3,856","3,793","3,843"
한국종합기술,907,"1,379","1,354","1,313"
한국주강,136,128,139,196
한국주철관,"1,752","1,746","1,873","2,277"
한국철강,"6,124","5,724","5,763","6,122"
한국카본,"1,901","2,213","2,563","2,478"
한국콜마,"5,552","6,460","7,752","8,829"
한국콜마홀딩스,"2,301","3,071","4,059","3,199"
한국타이어앤테크놀로지,"36,638","41,137","46,882","55,092"
한국앤컴퍼니,"5,904","5,244","5,989","6,303"
한국토지신탁, , , , 
한국특강,"1,387","1,235","1,496","2,014"
한국프랜지,"3,433","3,703","3,851","4,017"
한국항공우주,"24,095","26,548","31,523","36,810"
한국화장품,619,476,470,300
한국화장품제조,417,509,457,463
한농화성,773,748,726,"1,041"
한독,"2,838","3,096","3,282","3,255"
한라,"10,295","6,871","7,867","7,943"
한라홀딩스,"3,685","3,223","3,721","4,758"
한미글로벌,"1,539","1,332","1,344","1,375"
한미반도체,"1,134","1,295","2,089","2,498"
한미사이언스,"2,445","2,171","2,157","2,226"
한미약품,"5,641","6,622","6,144","7,040"
한샘,"4,398","4,787","5,209","4,575"
한섬,"6,811","7,198","8,197","8,818"
한성기업,"1,161","1,159","1,030","1,050"
한세실업,"8,259","7,397","6,589","7,700"
한세엠케이,"1,551","1,362","1,063",967
한세예스24홀딩스,"10,753","9,943","10,465","11,225"
한솔PNS,751,876,894,736
한솔로지스틱스,924,991,"1,208","1,783"
한솔제지,"6,055","5,890","5,670","6,637"
한솔케미칼,"1,565","3,067","3,077","4,113"
한솔테크닉스,"2,160","2,113","3,111","4,680"
한솔홀딩스,"2,535","2,104","1,670","1,653"
한솔홈데코,843,754,787,982
한신공영,"11,680","9,174","10,241","12,772"
한신기계,652,622,647,693
한양증권,"1,469","1,556","2,411","2,705"
한온시스템,"28,592","29,224","34,647","35,517"
한올바이오파마,"1,284","1,343","1,294","1,188"
한익스프레스,905,958,"1,081","1,386"
한일홀딩스,"11,777","11,161","11,278","10,384"
한일철강,687,797,654,"1,099"
한전KPS,"6,361","7,834","7,600","8,001"
한전기술,"2,814","2,576","2,379","2,564"
한전산업,889,950,871,881
한진,"4,404","4,176","5,779","7,022"
HJ중공업,"17,209","13,005","10,675","9,490"
한진중공업홀딩스,"3,577","3,535","3,336","3,795"
한진칼,"8,543","6,667","11,983","4,058"
한창,845,467,779,940
한창제지,751,910,927,"1,221"
한화,"137,205","152,427","149,538","176,347"
한화갤러리아타임월드,711,992,"1,234",615
한화생명,"26,309","19,704","15,583","25,993"
한화손해보험,"5,622","6,394","3,564","3,593"
한화솔루션,"50,125","53,227","49,584","60,740"
한화에어로스페이스,"38,770","45,636","51,227","62,835"
한화투자증권,"9,731","7,530","16,082","12,584"
해성디에스,"1,117","1,275","1,740","2,560"
해태제과식품,"1,753","1,499","1,247","1,201"
핸즈코퍼레이션,"3,025","3,444","3,332","4,038"
HDC현대EP,"3,811","3,586","3,409","3,876"
현대건설,"133,368","131,720","133,989","145,264"
현대건설기계,"22,039","21,515","22,650","24,695"
현대그린푸드,"11,323","11,197","11,018","9,906"
현대글로비스,"44,581","50,543","59,501","69,682"
HD현대,"88,842","99,352","80,491","134,024"
현대로템,"25,732","27,092","27,783","26,798"
현대리바트,"4,426","3,977","3,638","4,306"
현대모비스,"197,205","215,046","229,029","235,524"
현대미포조선,"18,014","17,448","18,792","20,467"
현대백화점,"12,588","13,653","19,859","19,453"
현대비앤지스틸,"3,581","3,652","4,057","5,188"
HDC,"9,603","10,724","58,302","64,518"
현대코퍼레이션,"8,831","8,516","6,593","11,114"
HMM,"17,476","14,272","22,372","87,680"
한일현대시멘트,"2,541","2,235","1,998","2,042"
현대약품,694,707,805,849
현대퓨처넷,"3,975","4,125","4,324","4,475"
현대엘리베이,"9,011","9,860","11,923","11,315"
현대위아,"38,908","35,691","39,880","41,565"
현대일렉트릭,"16,517","14,842","14,744","13,983"
현대제철,"87,690","95,787","99,348","127,758"
한국조선해양,"123,167","125,460","130,014","145,622"
현대차,"471,435","459,047","510,903","533,128"
현대차증권,"3,479","4,973","6,739","5,555"
현대코퍼레이션홀딩스,976,"1,111",864,806
현대해상,"12,931","14,439","11,024","10,054"
현대홈쇼핑,"10,132","9,341","11,062","9,753"
형지엘리트,983,937,"1,076",882
혜인,"1,377","1,298","1,235","1,152"
호전실업,"1,912","1,810","1,675","1,944"
호텔신라,"12,722","17,161","11,640","10,872"
화성산업,"4,484","4,583","3,945","6,152"
화승코퍼레이션,"6,466","6,118","6,333","6,236"
화승엔터프라이즈,"3,593","4,846","6,330","6,976"
화승인더,"4,672","6,366","7,646","8,203"
화신,"4,120","3,702","4,089","4,292"
화인베스틸,982,855,635,766
화천기계,825,774,632,711
화천기공,"1,816","1,682","1,382","1,589"
환인제약,"1,878","2,050","2,144","2,424"
황금에스티,"1,721","1,795","2,400","2,052"
효성,"13,794","13,120","16,268","19,065"
효성ITX,625,599,557,658
후성,"1,219","1,311","1,329","1,822"
휠라홀딩스,"13,379","15,868","16,861","20,411"
휴니드,"1,473","1,767","1,724","1,923"
휴비스,"5,166","2,885","3,979","3,419"
휴스틸,"3,000","2,650","2,615","4,119"
TKG휴켐스,"5,296","4,268","4,345","5,205"
흥국화재,"1,707","1,810",842,903
흥아해운,"1,084",938,591,553
