종목_list,2018_이익잉여금,2019_이익잉여금,2020_이익잉여금,2021_이익잉여금
대동,"1,848","1,845","2,019","2,353"
대동전자,"1,037","1,080","1,071","1,149"
대림B&Co,"1,328","1,323","1,294","1,274"
DL,"47,930","53,299","57,714","65,885"
삼일씨엔에스,"1,897","1,919","1,905","1,875"
대림통상,176,30,-126,-81
대상,"6,510","7,226","8,275","9,474"
대상홀딩스,"2,390","2,975","3,790","4,215"
대성산업,"3,484","2,834","3,366","2,842"
대성에너지,689,738,828,880
대성홀딩스,"3,978","4,017","4,416","4,536"
대신증권,317,326,291,315
대우건설,-138,"1,886","5,078","9,747"
대우조선해양,"6,470","5,584","6,753","-10,013"
대웅,"4,261","4,772","5,722","6,469"
대웅제약,"4,229","4,454","4,528","4,711"
대원강업,"4,305","4,410","4,251","4,171"
대원전선,433,421,441,457
대원제약,"1,678","1,883","2,005","2,048"
대원화성,295,352,337,264
대유에이텍,-154,-35,-80,-249
대유플러스,-507,-405,-475,-480
대창,771,785,844,"1,101"
대창단조,"1,599","1,722","1,827","2,072"
대한방직,"1,445","1,270","1,289","1,309"
대한유화,"14,016","14,791","15,948","17,280"
대한전선,"2,093","1,897","1,932","2,229"
대한제강,"4,086","4,345","4,776","6,141"
대한제당,"2,379","2,478","2,635","2,793"
대한제분,"6,887","6,999","7,206","8,349"
대한항공,"2,126","-3,458","-5,225","1,101"
대한해운,"3,302","3,936","4,024","6,526"
더존비즈온,"1,451","1,809","2,149","2,533"
덕성,464,466,499,552
덕양산업,72,-68,-111,-42
덴티움,"1,597","1,721","1,950","2,477"
도화엔지니어링,"2,028","2,102","2,171","2,237"
케이비아이동국실업,"1,386","1,362","1,261","1,041"
동국제강,"4,838","4,003","4,485","9,815"
동방,277,157,299,280
동방아그로,"1,314","1,350","1,373","1,401"
동부건설,"1,704","2,180","2,561","3,532"
KG스틸,"-8,863","-9,215",719,"2,495"
동서,"11,610","12,269","12,755","13,226"
동성케미컬,932,897,863,923
동성화학,590,771,876,"1,064"
동아쏘시오홀딩스,"4,780","4,846","6,394","6,939"
다스코,988,971,892,866
동아에스티,"1,026","1,634","1,734","1,804"
동아지질,"1,274","1,435","1,442","1,490"
동아타이어,134,350,427,485
동양,"1,490","1,368","1,071","1,176"
동양고속,506,729,488,265
비케이탑스,-498,-971,"-1,459",-996
TYM,453,490,533,813
동양철관,-325,-316,-237,-275
동양피스톤,701,800,720,788
넥스트사이언스,-251,-485,-788,-895
동원F&B,"5,260","5,801","6,465","7,025"
동원금속,29,233,-138,-19
동원산업,"9,204","9,552","11,884","13,399"
동원수산,63,115,86,162
동원시스템즈,"1,909","2,162","2,548","2,792"
동일고무벨트,783,845,908,943
DI동일,"5,074","5,052","5,219","5,609"
동일산업,"3,422","3,422","3,488","3,904"
동화약품,"2,431","2,456","2,702","2,903"
두산,"9,601","12,507","11,593","14,681"
두산건설,"-1,284","5,986",-154,-538
두산밥캣,"9,991","13,896","14,610","20,467"
HSD엔진,61,-359,-296,-708
현대두산인프라코어,"10,492","12,579","14,081","18,791"
두산중공업,"-1,489","-9,742","-20,466","7,732"
두올,672,788,816,941
디아이,783,768,816,950
디아이씨,702,157,"-1,041",-728
디와이,"2,487","2,606","2,456","2,388"
디와이파워,631,795,820,"1,109"
디티알오토모티브,"8,317","8,880","9,193","9,788"
스틱인베스트먼트,920,"1,000","1,165","1,711"
락앤락,"3,761","3,864","3,750","3,691"
롯데관광개발,"-2,452","-2,643","-3,455","-5,447"
롯데쇼핑,"109,916","99,102","91,766","89,966"
롯데정밀화학,"9,460","10,631","12,191","17,685"
롯데제과,95,361,696,938
롯데지주,"60,294","49,072","47,663","50,808"
롯데칠성,"20,833","19,083","18,762","19,615"
롯데케미칼,"117,847","121,584","120,769","133,075"
롯데푸드,"9,117","9,229","9,816","9,699"
마니커,-374,-549,-911,"-1,410"
만도,"6,812","7,545","7,223","9,155"
쎌마테라퓨틱스,-222,-475,-671,-754
메리츠증권,997,997,"1,744","1,244"
명문제약,151,-83,-337,-400
모나미,297,423,413,556
모토닉,"3,699","3,746","3,823","3,861"
무림P&P,"3,448","3,401","3,209","3,365"
무림페이퍼,"1,680","1,554","1,166","1,111"
무학,"4,867","5,005","5,138","4,933"
미래산업,-501,-559,-626,-557
미래에셋증권,388,659,774,"1,032"
미원상사,"1,565","1,828","2,527","2,838"
미원에스씨,501,803,936,"1,645"
미원홀딩스,326,470,632,"1,029"
미창석유,"2,399","2,539","2,705","3,004"
바다로19호,-302,-301,-381,-291
방림,858,889,956,936
백광산업,70,204,264,387
태경비케이,682,692,718,793
백산,997,"1,032",842,"1,011"
범양건영,-328,81,190,240
벽산,"1,845","1,794","1,790","1,750"
보령제약,"2,468","2,737","2,958","3,348"
보해양조,-290,-257,-93,-59
부광약품,"3,350","3,104","2,733","2,647"
부국증권,32,7,0,1
부산산업,363,396,416,393
비상교육,"1,587","1,665","1,484","1,529"
빙그레,"4,546","4,810","5,016","4,684"
사조대림,"1,656","2,451","2,765","3,404"
사조동아원,-76,131,228,252
사조산업,"3,718","3,571","3,640","4,084"
사조해표,723,867,947,942
SGC에너지,"2,364","2,342",927,"1,305"
삼부토건,-567,154,1,102
삼성SDI,"66,125","69,069","74,181","85,165"
삼성공조,"2,055","2,094","2,142","2,113"
삼성물산,"69,495","76,010","83,271","95,481"
삼성바이오로직스,"15,097","17,126","19,536","23,472"
삼성에스디에스,"48,217","54,035","56,613","60,868"
삼성엔지니어링,"1,978","5,186","6,889","10,116"
삼성전기,"31,793","35,729","40,733","48,072"
삼성전자,"2,426,990","2,545,829","2,710,682","2,930,648"
삼성중공업,"28,001","15,022",301,"-13,552"
삼성증권, , , , 
삼성출판사,543,582,"1,107","1,171"
삼성카드,"43,807","45,432","47,717","51,265"
삼아알미늄,954,986,"1,001","1,118"
삼양사,"2,220","2,404","2,874","3,130"
삼양식품,"1,777","2,311","2,905","3,385"
삼양통상,"2,362","2,778","3,248","3,545"
삼양홀딩스,"9,708","9,849","10,710","12,916"
삼영무역,"2,964","3,270","3,492","3,809"
삼영전자,"3,199","3,307","3,367","3,486"
삼영화학,-73,-22,8,48
삼익악기,"1,713","1,799","1,849","2,053"
삼일제약,365,352,350,277
삼천리,"12,652","12,906","13,095","13,619"
삼호개발,"1,485","1,653","1,808","1,909"
삼화왕관,994,"1,056","1,048","1,042"
삼화전기,141,161,181,322
삼화전자,-291,-313,-334,-367
삼화콘덴서,"1,058","1,319","1,519","1,770"
삼화페인트,"2,724","2,728","2,764","2,708"
상신브레이크,"1,626","1,622","1,590","1,692"
새론오토모티브,"2,084","1,968","2,008","2,134"
샘표,"1,144","1,247","1,422","1,761"
샘표식품,334,589,941,"1,168"
서연,"7,163","6,555","1,672","1,896"
서연이화,"2,228","1,715","1,324","1,568"
서울가스,"9,347","9,553","10,233","10,263"
서원,248,271,214,361
서흥,"2,422","2,700","3,175","3,636"
선도전기,425,427,452,343
선진,"2,141","2,332","3,113","3,524"
