,종목_list,매출액,유동자산,유동부채,자산총계,부채총계,ROA,이익잉여금,자기자본,x1,x2,x3,x4,x5,z_score
69,SIMPAC,4301,2892,2195,6791,2380,1.4,2800,4411,0.1,0.41,1.4,1.85,0.63,7.05
70,SJM,1577,1440,327,2204,454,3.6,1198,1750,0.5,0.54,3.6,3.85,0.72,16.27
71,SJM홀딩스,1608,1868,402,3089,561,3.1,1260,2528,0.47,0.41,3.1,4.51,0.52,14.59
72,SK,978115,400154,356271,1326114,804354,1.3,125566,521760,0.03,0.09,1.3,0.65,0.74,5.58
73,SKC,23611,9927,10432,39730,22466,1.7,13500,17264,-0.01,0.34,1.7,0.77,0.59,7.13
74,SK가스,49311,17138,15704,40824,24216,3.9,14567,16608,0.04,0.36,3.9,0.69,1.21,15.04
75,SK네트웍스,130542,39657,45220,101388,78335,-1.4,8127,23053,-0.05,0.08,-1.4,0.29,1.29,-3.11
76,SK디앤디,4547,8182,5674,13969,10355,3.1,1723,3614,0.18,0.12,3.1,0.35,0.33,11.15
77,SK이노베이션,493069,173536,104572,395345,213213,0.2,121752,182132,0.17,0.31,0.2,0.85,1.25,3.06
79,SK디스커버리,50211,20149,16847,50001,26769,5.1,20787,23232,0.07,0.42,5.1,0.87,1.0,19.02
80,SK텔레콤,177407,80885,78517,452024,223854,2.0,222287,228170,0.01,0.49,2.0,1.02,0.39,8.3
81,SK하이닉스,269907,144576,79620,652484,173125,3.1,429234,479359,0.1,0.66,3.1,2.77,0.41,13.35
82,SPC삼립,24992,3701,4539,11963,8736,2.1,3047,3227,-0.07,0.25,2.1,0.37,2.09,9.51
83,STX,14637,3864,4398,5601,5038,-6.0,-256,563,-0.1,-0.05,-6.0,0.11,2.61,-17.32
84,STX엔진,6106,4390,3553,8284,5909,2.4,-4587,2375,0.1,-0.55,2.4,0.4,0.74,8.25
85,STX중공업,2540,2213,1985,4475,3175,-7.1,-4430,1300,0.05,-0.99,-7.1,0.41,0.57,-23.94
86,TCC스틸,4372,1490,1660,3142,1974,1.6,742,1168,-0.05,0.24,1.6,0.59,1.39,7.3
87,WISCOM,1155,771,136,1351,166,0.8,892,1185,0.47,0.66,0.8,7.14,0.85,9.26
88,YG PLUS,1136,690,338,1567,449,-2.8,-148,1118,0.22,-0.09,-2.8,2.49,0.72,-6.89
89,가온전선,8303,2648,1681,5126,2558,1.1,2183,2568,0.19,0.43,1.1,1.0,1.62,6.68
90,강남제비스코,3325,1788,599,6723,1111,2.6,4505,5612,0.18,0.67,2.6,5.05,0.49,13.25
91,강원랜드,15201,18782,6513,44381,7204,7.7,36555,37177,0.28,0.82,7.7,5.16,0.34,30.33
92,경농,2275,1850,1226,3709,1690,1.1,1334,2019,0.17,0.36,1.1,1.19,0.61,5.66
93,경동나비엔,7743,2743,2703,6098,3088,4.7,2677,3010,0.01,0.44,4.7,0.97,1.27,17.99
95,경동인베스트,2717,2365,847,6055,1909,1.5,5810,4146,0.25,0.96,1.5,2.17,0.45,8.35
96,경방,3439,2649,1924,13707,6292,3.3,7422,7415,0.05,0.54,3.3,1.18,0.25,12.66
97,경인양행,3588,2519,1926,4721,2346,3.7,1593,2375,0.13,0.34,3.7,1.01,0.76,14.21
98,경인전자,133,449,19,569,24,0.4,308,545,0.76,0.54,0.4,22.71,0.23,16.84
99,계룡건설,22757,12772,11532,20046,15019,4.0,3931,5027,0.06,0.2,4.0,0.33,1.14,14.89
100,계양전기,3750,1444,659,2799,954,0.1,1262,1845,0.28,0.45,0.1,1.93,1.34,3.79
101,고려산업,1925,1094,952,2065,1107,2.3,689,958,0.07,0.33,2.3,0.87,0.93,9.59
102,고려아연,66948,45979,7043,78406,10022,8.5,65917,68384,0.5,0.84,8.5,6.82,0.85,34.77
103,고려제강,16397,9162,6405,23466,8758,-0.2,13408,14708,0.12,0.57,-0.2,1.68,0.7,1.99
105,광동제약,12383,5260,3084,7928,3453,3.0,3693,4475,0.27,0.47,3.0,1.3,1.56,13.22
106,광명전기,1319,871,451,1567,513,4.6,539,1054,0.27,0.34,4.6,2.05,0.84,18.05
107,광전자,1662,1275,226,2603,379,1.3,523,2224,0.4,0.2,1.3,5.87,0.64,9.21
109,국도화학,11214,4387,2309,9054,3709,4.0,4670,5345,0.23,0.52,4.0,1.44,1.24,16.31
110,국동,2231,895,429,1333,688,-3.1,60,645,0.35,0.05,-3.1,0.94,1.67,-7.51
111,국보,891,705,753,1154,868,-8.2,-137,286,-0.04,-0.12,-8.2,0.33,0.77,-26.31
112,국제약품,1111,611,593,1346,736,-3.7,5,610,0.01,0.0,-3.7,0.83,0.83,-10.87
113,극동유화,7956,1185,807,2899,1206,5.0,1548,1693,0.13,0.53,5.0,1.4,2.74,20.98
114,금강공업,5497,3886,4442,8340,4881,-0.6,2276,3459,-0.07,0.27,-0.6,0.71,0.66,-0.6
115,금비,2193,991,814,3340,1765,-1.2,866,1575,0.05,0.26,-1.2,0.89,0.66,-2.34
116,금양,1727,1303,1402,2242,1559,-5.1,262,683,-0.04,0.12,-5.1,0.44,0.77,-15.68
117,금호건설,15977,10143,7631,13374,9609,0.9,2018,3765,0.19,0.15,0.9,0.39,1.19,4.83
118,금호석유,49615,12614,12756,45380,19085,6.4,21867,26295,-0.0,0.48,6.4,1.38,1.09,23.71
119,금호에이치티,2511,2049,1325,3221,1494,0.0,885,1727,0.22,0.27,0.0,1.16,0.78,2.12
120,금호전기,592,355,492,731,562,-27.3,-493,169,-0.19,-0.67,-27.3,0.3,0.81,-90.27
121,금호타이어,23692,10867,9377,39295,26368,-1.1,-3737,12927,0.04,-0.1,-1.1,0.49,0.6,-2.83
122,기신정기,1247,1378,133,2517,144,3.5,2015,2373,0.49,0.8,3.5,16.48,0.5,23.65
123,기아,581460,215554,172766,553448,263667,3.4,260562,289781,0.08,0.47,3.4,1.1,1.05,13.68
124,깨끗한나라,5942,1154,2464,5383,3758,-2.1,-533,1625,-0.24,-0.1,-2.1,0.43,1.1,-6.0
125,에이프로젠 MED,782,3471,1087,6472,1296,3.5,-390,5176,0.37,-0.06,3.5,3.99,0.12,14.42
126,남광토건,2362,1419,1403,2026,1497,2.2,196,529,0.01,0.1,2.2,0.35,1.17,8.79
127,남선알미늄,3248,1203,730,2955,1164,4.8,1226,1791,0.16,0.41,4.8,1.54,1.1,18.63
128,남성,730,814,880,2048,1189,-1.1,477,859,-0.03,0.23,-1.1,0.72,0.36,-2.55
129,남양유업,10308,5469,1007,10564,1441,2.8,9293,9123,0.42,0.88,2.8,6.33,0.98,15.75
130,비비안,1967,703,234,1333,320,-1.8,736,1013,0.35,0.55,-1.8,3.17,1.48,-1.37
131,남해화학,11872,3738,1267,5811,1472,2.8,3467,4339,0.43,0.6,2.8,2.95,2.04,14.4
132,넥센,22913,12054,6857,40980,20577,3.3,8569,20403,0.13,0.21,3.3,0.99,0.56,12.49
133,넥센타이어,20223,10886,6184,34361,18781,3.6,14103,15580,0.14,0.41,3.6,0.83,0.59,13.71
134,넷마블,21787,25601,6646,58061,11577,3.0,9145,46484,0.33,0.16,3.0,4.02,0.38,13.31
135,노루페인트,6475,2637,1949,6273,3050,3.1,2075,3223,0.11,0.33,3.1,1.06,1.03,12.49
136,노루홀딩스,8843,4528,2714,10074,4399,2.0,3011,5675,0.18,0.3,2.0,1.29,0.88,8.89
137,녹십자,13571,9618,4014,19593,7752,-0.6,6795,11841,0.29,0.35,-0.6,1.53,0.69,0.47
138,녹십자홀딩스,14936,11237,6763,27739,12673,-1.1,7453,15066,0.16,0.27,-1.1,1.19,0.54,-1.81
139,농심,23439,10786,5850,26531,7123,2.7,18780,19408,0.19,0.71,2.7,2.72,0.88,12.64
140,농심홀딩스,5367,2208,2477,12165,2944,3.0,6380,9221,-0.02,0.52,3.0,3.13,0.44,12.92
141,다우기술,29018,205307,131624,247416,220774,1.8,10586,26642,0.3,0.04,1.8,0.12,0.12,6.55
142,키다리스튜디오,267,223,82,420,210,7.5,92,210,0.34,0.22,7.5,1.0,0.64,26.71
143,대교,7619,2726,1788,9199,3066,2.0,5725,6133,0.1,0.62,2.0,2.0,0.83,9.62
144,대구백화점,1015,1826,3227,6736,3874,-2.8,1725,2862,-0.21,0.26,-2.8,0.74,0.15,-8.53
146,대동,8344,4737,4815,8274,6085,0.3,1845,2189,-0.01,0.22,0.3,0.36,1.01,2.51
147,대동전자,450,791,114,1790,320,2.6,1080,1470,0.38,0.6,2.6,4.59,0.25,12.88
148,대림B&Co,2364,1138,683,3092,1498,0.7,1323,1594,0.15,0.43,0.7,1.06,0.76,4.49
149,DL,16604,67397,42714,134452,67085,5.4,53299,67367,0.18,0.4,5.4,1.0,0.12,19.32
150,삼일씨엔에스,1955,1484,454,3372,584,0.8,1919,2788,0.31,0.57,0.8,4.77,0.58,7.25
151,대림통상,1836,1026,666,1795,878,-6.2,30,917,0.2,0.02,-6.2,1.04,1.02,-18.55
152,대상,29640,10778,7951,23896,13749,4.8,7226,10147,0.12,0.3,4.8,0.74,1.24,18.09
153,대상홀딩스,35525,12713,9321,28888,16870,5.0,2975,12018,0.12,0.1,5.0,0.71,1.23,18.44
154,대성산업,8699,1873,3602,10324,6451,-5.9,2834,3873,-0.17,0.27,-5.9,0.6,0.84,-18.1
155,대성에너지,7749,2107,2299,6972,3907,1.9,738,3065,-0.03,0.11,1.9,0.78,1.11,7.96
156,대성홀딩스,9186,3034,3259,11358,5960,1.6,4017,5398,-0.02,0.35,1.6,0.91,0.81,7.1
158,대우건설,86519,60494,50847,96977,72094,2.2,1886,24883,0.1,0.02,2.2,0.35,0.89,8.51
159,대우조선해양,83587,68711,48075,112761,75212,-0.4,5584,37549,0.18,0.05,-0.4,0.5,0.74,0.01
160,대웅,13657,7578,2949,16709,6548,4.3,4772,10161,0.28,0.29,4.3,1.55,0.82,16.68
161,대웅제약,11134,5263,2621,12457,6097,2.4,4454,6360,0.21,0.36,2.4,1.04,0.89,10.19
162,대원강업,9602,3219,3720,10480,4607,2.0,4410,5873,-0.05,0.42,2.0,1.27,0.92,8.81
163,대원전선,4013,1426,950,1896,1092,-0.4,421,804,0.25,0.22,-0.4,0.74,2.12,1.85
164,대원제약,3178,1215,617,3275,1233,8.9,1883,2042,0.18,0.57,8.9,1.66,0.97,32.35
165,대원화성,1331,616,399,1305,511,4.6,352,794,0.17,0.27,4.6,1.55,1.02,17.71
166,대유에이텍,12850,5335,7164,11173,8813,1.8,-35,2360,-0.16,-0.0,1.8,0.27,1.15,7.06
167,대유플러스,4573,8486,8712,10891,9282,2.0,-405,1609,-0.02,-0.04,2.0,0.17,0.42,7.04
168,대창,8990,3236,3259,5761,3611,0.8,785,2150,-0.0,0.14,0.8,0.6,1.56,4.75
169,대창단조,2773,1621,329,2386,481,6.7,1722,1905,0.54,0.72,6.7,3.96,1.16,27.3
170,대한방직,1563,897,573,1977,717,-6.9,1270,1260,0.16,0.64,-6.9,1.76,0.79,-19.84
171,대한유화,20743,4642,914,20265,2479,5.3,14791,17786,0.18,0.73,5.3,7.17,1.02,24.05
172,대한전선,15547,7186,8822,12351,9224,-1.1,1897,3127,-0.13,0.15,-1.1,0.34,1.26,-2.11
173,대한제강,10217,2990,1519,6352,1732,4.6,4345,4620,0.23,0.68,4.6,2.67,1.61,19.62
174,대한제당,12044,5224,4043,11431,6788,1.3,2478,4643,0.1,0.22,1.3,0.68,1.05,6.17
175,대한제분,9339,4310,1783,10051,2453,1.8,6999,7598,0.25,0.7,1.8,3.1,0.93,10.01
176,대한항공,123843,35747,87773,270141,242333,-2.4,-3458,27808,-0.19,-0.01,-2.4,0.11,0.46,-7.64
177,대한해운,10057,4196,7754,33409,24457,3.2,3936,8952,-0.11,0.12,3.2,0.37,0.3,11.12
178,더존비즈온,2627,1020,951,7270,3640,10.2,1809,3630,0.01,0.25,10.2,1.0,0.36,34.98
179,덕성,867,609,334,1029,399,0.2,466,630,0.27,0.45,0.2,1.58,0.84,3.4
180,덕양산업,13594,3036,4006,5096,4470,-3.2,-68,626,-0.19,-0.01,-3.2,0.14,2.67,-8.05
181,덴티움,2526,2258,1747,5471,3406,2.8,1721,2065,0.09,0.31,2.8,0.61,0.46,10.61
182,도화엔지니어링,5161,1755,1442,4090,1564,4.4,2102,2526,0.08,0.51,4.4,1.62,1.26,17.56
183,케이비아이동국실업,6156,2111,3386,5597,3833,0.1,1362,1764,-0.23,0.24,0.1,0.46,1.1,1.76
184,동국제강,56584,19408,28493,54390,34939,-1.5,4003,19451,-0.17,0.07,-1.5,0.56,1.04,-3.68
185,동방,6330,1829,3739,6284,5128,-1.5,157,1156,-0.3,0.02,-1.5,0.23,1.01,-4.14
186,동방아그로,1246,1340,312,1940,569,3.4,1350,1371,0.53,0.7,3.4,2.41,0.64,14.92
187,동부건설,11554,5733,3617,8919,4713,7.5,2180,4206,0.24,0.24,7.5,0.89,1.3,27.21
188,KG스틸,24283,7608,6418,23553,14658,-1.4,-9215,8895,0.05,-0.39,-1.4,0.61,1.03,-3.71
189,동서,5054,7298,571,14783,1272,9.7,12269,13511,0.46,0.83,9.7,10.62,0.34,40.44
190,동성케미컬,8498,3899,3020,8505,4321,3.0,897,4184,0.1,0.11,3.0,0.97,1.0,11.76
191,동성화학,1914,1109,613,1841,712,2.9,771,1129,0.27,0.42,2.9,1.59,1.04,12.47
192,동아쏘시오홀딩스,7697,3153,4144,13586,6117,1.5,4846,7469,-0.07,0.36,1.5,1.22,0.57,6.67
193,다스코,2162,1205,810,2147,914,0.9,971,1233,0.18,0.45,0.9,1.35,1.01,5.63
194,동아에스티,6123,4533,2161,10088,3629,7.3,1634,6459,0.24,0.16,7.3,1.78,0.61,26.28
195,동아지질,3809,2178,1266,3223,1284,6.3,1435,1939,0.28,0.45,6.3,1.51,1.18,23.84
197,동양,5391,3882,1638,10174,1983,-0.2,1368,8191,0.22,0.13,-0.2,4.13,0.53,2.79
198,동양고속,1405,283,322,1868,546,17.1,729,1322,-0.02,0.39,17.1,2.42,0.75,59.15
199,비케이탑스,116,180,536,986,571,-27.4,-971,415,-0.36,-0.98,-27.4,0.73,0.12,-91.67
200,TYM,6174,3943,3941,6286,4815,0.9,490,1471,0.0,0.08,0.9,0.31,0.98,4.25
201,동양철관,1634,794,758,1642,844,1.1,-316,798,0.02,-0.19,1.1,0.95,1.0,4.96
202,동양피스톤,3648,1599,1775,3503,2421,3.0,800,1082,-0.05,0.23,3.0,0.45,1.04,11.47
203,넥스트사이언스,300,580,314,1294,483,-15.8,-485,811,0.21,-0.37,-15.8,1.68,0.23,-51.17
204,동원F&B,30303,6790,5164,15735,8923,4.4,5801,6812,0.1,0.37,4.4,0.76,1.93,17.54
205,동원금속,4566,1708,3205,5110,4414,3.4,233,696,-0.29,0.05,3.4,0.16,0.89,11.93
206,동원산업,26826,12018,9517,29860,19076,1.8,9552,10784,0.08,0.32,1.8,0.57,0.9,7.73
207,동원수산,1640,662,274,987,478,6.0,115,509,0.39,0.12,6.0,1.06,1.66,22.73
208,동원시스템즈,10424,4218,2165,11546,5808,4.1,2162,5738,0.18,0.19,4.1,0.99,0.9,15.51
209,동일고무벨트,2619,1535,715,2814,879,2.9,845,1935,0.29,0.3,2.9,2.2,0.93,12.59
210,DI동일,6849,2565,2650,8884,3930,1.5,5052,4954,-0.01,0.57,1.5,1.26,0.77,7.26
211,동일산업,3547,2741,392,4049,510,0.9,3422,3539,0.58,0.85,0.9,6.94,0.88,9.9
212,동화약품,3072,2355,557,3764,766,2.4,2456,2998,0.48,0.65,2.4,3.91,0.82,12.57
213,두산,180416,110480,162058,291697,223502,1.5,12507,68195,-0.18,0.04,1.5,0.31,0.62,5.6
214,두산건설,15359,10042,15395,28456,18802,-6.3,5986,9654,-0.19,0.21,-6.3,0.51,0.54,-19.88
215,두산밥캣,45096,15196,11391,67042,27252,4.1,13896,39790,0.06,0.21,4.1,1.46,0.67,15.44
216,HSD엔진,6743,3802,6207,8301,6416,-5.3,-359,1885,-0.29,-0.04,-5.3,0.29,0.81,-16.91
217,현대두산인프라코어,81858,43049,44844,113386,70710,3.5,12579,42676,-0.02,0.11,3.5,0.6,0.72,12.76
218,두산중공업,156597,93516,137732,248092,186073,-0.4,-9742,62019,-0.18,-0.04,-0.4,0.33,0.63,-0.76
219,두올,4659,1980,1538,3643,1873,3.7,788,1770,0.12,0.22,3.7,0.95,1.28,14.51
220,디아이,1095,1010,559,2148,725,0.2,768,1423,0.21,0.36,0.2,1.96,0.51,3.1
221,디아이씨,5378,3090,4722,7798,5937,-7.0,157,1861,-0.21,0.02,-7.0,0.31,0.69,-22.45
222,디와이,8543,4038,2145,7545,2802,4.3,2606,4743,0.25,0.35,4.3,1.69,1.13,17.12
223,디와이파워,3435,1480,802,2626,956,7.3,795,1670,0.26,0.3,7.3,1.75,1.31,27.18
224,디티알오토모티브,9298,4319,2684,9117,2856,7.7,8880,6261,0.18,0.97,7.7,2.19,1.02,29.32
225,스틱인베스트먼트,1645,1251,589,2209,644,5.4,1000,1565,0.3,0.45,5.4,2.43,0.74,21.01
226,락앤락,4860,4095,674,7999,1159,2.1,3864,6840,0.43,0.48,2.1,5.9,0.61,12.27
227,롯데관광개발,884,531,2507,5750,2693,-2.7,-2643,3057,-0.34,-0.46,-2.7,1.14,0.15,-9.13
228,롯데쇼핑,176220,61073,82019,339726,221816,-2.7,99102,117910,-0.06,0.29,-2.7,0.53,0.52,-7.74
229,롯데정밀화학,13113,8605,2825,17927,2996,9.6,10631,14931,0.32,0.59,9.6,4.98,0.73,36.61
231,롯데지주,88562,31266,37869,156058,78132,-1.9,49072,77926,-0.04,0.31,-1.9,1.0,0.57,-4.71
232,롯데칠성,24295,7884,9416,32565,20285,-4.4,19083,12280,-0.05,0.59,-4.4,0.61,0.75,-12.64
233,롯데케미칼,151235,72209,27400,200431,59900,3.7,121584,140531,0.22,0.61,3.7,2.35,0.75,15.49
234,롯데푸드,17880,6245,4538,13212,6136,3.0,9229,7076,0.13,0.7,3.0,1.15,1.35,13.07
235,마니커,2417,301,589,1830,952,-9.3,-549,878,-0.16,-0.3,-9.3,0.92,1.32,-29.43
236,만도,59819,21098,17568,45956,30100,2.6,7545,15856,0.08,0.16,2.6,0.53,1.3,10.52
237,쎌마테라퓨틱스,77,108,122,154,128,-145.0,-475,26,-0.09,-3.08,-145.0,0.2,0.5,-482.3
239,명문제약,1493,1007,1334,2644,1842,-8.2,-83,802,-0.12,-0.03,-8.2,0.44,0.56,-26.42
240,모나미,1320,813,822,2007,1096,0.7,423,911,-0.0,0.21,0.7,0.83,0.66,3.76
241,모토닉,2076,3416,268,4409,330,2.6,3746,4079,0.71,0.85,2.6,12.36,0.47,18.51
242,무림P&P,6313,3190,3924,13503,7298,0.8,3401,6205,-0.05,0.25,0.8,0.85,0.47,3.91
243,무림페이퍼,11237,5957,7714,21585,14706,-0.3,1554,6879,-0.08,0.07,-0.3,0.47,0.52,-0.19
244,무학,1558,1150,937,6246,1097,3.8,5005,5149,0.03,0.8,3.8,4.69,0.25,16.76
245,미래산업,277,517,47,748,85,-8.6,-559,663,0.63,-0.75,-8.6,7.8,0.37,-23.62
247,미원상사,2500,1202,355,2807,561,11.8,1828,2246,0.3,0.65,11.8,4.0,0.89,43.5
249,미원홀딩스,1884,929,500,3152,1176,6.1,470,1976,0.14,0.15,6.1,1.68,0.6,22.12
250,미창석유,3237,2095,318,2954,374,6.1,2539,2580,0.6,0.86,6.1,6.9,1.1,27.29
252,방림,1165,1526,371,2369,449,2.2,889,1920,0.49,0.38,2.2,4.28,0.49,11.44
253,백광산업,1684,664,940,3288,1615,5.1,204,1673,-0.08,0.06,5.1,1.04,0.51,17.95
254,태경비케이,1864,1031,699,3014,985,3.3,692,2029,0.11,0.23,3.3,2.06,0.62,13.2
255,백산,4689,1967,1559,3306,1884,2.0,1032,1422,0.12,0.31,2.0,0.75,1.42,9.05
256,범양건영,2761,708,400,1385,685,15.4,81,700,0.22,0.06,15.4,1.02,1.99,53.77
257,벽산,4335,2014,1340,4627,1712,-0.4,1794,2915,0.15,0.39,-0.4,1.7,0.94,1.37
