,종목_list,매출액,유동자산,유동부채,자산총계,부채총계,ROA,이익잉여금,자기자본,x1,x2,x3,x4,x5,z_score
0,AJ네트웍스,10003,5011,7968,18033,14559,1.9,1988,3474,-0.16,0.11,1.9,0.24,0.55,6.93
1,CJ제일제당,223525,79430,82022,262806,167992,0.8,37864,94814,-0.01,0.14,0.8,0.56,0.85,4.01
2,LG헬로비전,11122,3323,5829,17907,8394,-5.1,5676,9513,-0.14,0.32,-5.1,1.13,0.62,-15.25
3,CS홀딩스,1350,1948,191,3143,281,5.4,1797,2862,0.56,0.57,5.4,10.19,0.43,25.83
4,DB,2385,839,592,3632,1522,1.4,481,2110,0.07,0.13,1.4,1.39,0.66,6.38
6,DB하이텍,8074,4263,2197,10889,4442,9.7,3756,6447,0.19,0.34,9.7,1.45,0.74,34.32
7,DRB동일,5470,3198,2237,7453,2838,1.8,4218,4615,0.13,0.57,1.8,1.63,0.73,8.6
8,DSR,2363,1237,777,2404,851,3.8,1319,1553,0.19,0.55,3.8,1.82,0.98,15.61
9,E1,46083,14121,11029,35950,23917,-1.5,11341,12033,0.09,0.32,-1.5,0.5,1.28,-2.82
10,F&F홀딩스,9103,4001,1614,6844,2007,18.6,4796,4837,0.35,0.7,18.6,2.41,1.33,65.55
11,GKL,4908,4571,2118,9094,3243,8.6,5330,5851,0.27,0.59,8.6,1.8,0.54,31.15
12,GS,177861,31175,47896,247341,137183,2.8,102829,110158,-0.07,0.42,2.8,0.8,0.72,10.94
13,GS건설,104166,73289,58009,131712,90282,3.6,28274,41430,0.12,0.21,3.6,0.46,0.79,13.38
14,GS글로벌,38894,7210,6726,12052,8253,-1.3,633,3799,0.04,0.05,-1.3,0.46,3.23,-0.67
15,GS리테일,90069,8004,17771,70497,44826,2.4,19686,25671,-0.14,0.28,2.4,0.57,1.28,9.76
16,IHQ,993,960,190,1658,290,-33.4,-245,1368,0.46,-0.15,-33.4,4.72,0.6,-106.45
17,JW생명과학,1702,599,669,2014,788,10.9,547,1226,-0.03,0.27,10.9,1.56,0.85,38.1
18,JW중외제약,5113,3351,2780,5732,3431,-4.3,868,2301,0.1,0.15,-4.3,0.67,0.89,-12.57
19,JW홀딩스,7264,5809,6513,12343,8918,-2.7,64,3425,-0.06,0.01,-2.7,0.38,0.59,-8.15
20,KCC,27196,32303,31876,93822,49290,-2.4,51321,44532,0.0,0.55,-2.4,0.9,0.29,-6.32
21,KCTC,4462,991,1325,4243,2270,2.1,1341,1973,-0.08,0.32,2.1,0.87,1.05,8.85
22,KC그린홀딩스,6989,4381,3817,8161,5218,1.9,1186,2943,0.07,0.15,1.9,0.56,0.86,7.76
23,KC코트렐,3006,2409,2155,3320,2558,0.2,417,762,0.08,0.13,0.2,0.3,0.91,2.03
24,KEC,2017,1455,949,3342,1203,-5.8,-186,2139,0.15,-0.06,-5.8,1.78,0.6,-17.38
25,컨버즈,458,151,294,271,306,-35.2,-1016,-35,-0.53,-3.75,-35.2,-0.11,1.69,-120.42
26,KG케미칼,20684,14417,15878,41515,28000,7.8,2609,13515,-0.04,0.06,7.8,0.48,0.5,26.56
27,KISCO홀딩스,11830,10948,1931,15573,2298,4.1,5695,13275,0.58,0.37,4.1,5.78,0.76,18.97
28,KPX케미칼,7657,2747,496,5379,556,8.0,4241,4823,0.42,0.79,8.0,8.67,1.42,34.63
29,KPX홀딩스,9727,4968,1850,14490,2677,5.3,3890,11813,0.22,0.27,5.3,4.41,0.67,21.45
30,KR모터스,1326,527,864,1441,1089,-27.5,-937,352,-0.23,-0.65,-27.5,0.32,0.92,-90.82
31,KSS해운,2312,642,1682,9572,6762,2.5,2525,2810,-0.11,0.26,2.5,0.42,0.24,8.97
32,KT,243421,118972,101481,345401,193566,2.0,116338,151835,0.05,0.34,2.0,0.78,0.7,8.3
33,KT&G,49632,64172,16001,107524,20129,9.9,75147,87395,0.45,0.7,9.9,4.34,0.46,37.25
35,KTcs,9449,2710,1630,3781,2140,2.1,1199,1641,0.29,0.32,2.1,0.77,2.5,10.69
36,LF,18517,9620,7100,24171,10256,3.4,8861,13915,0.1,0.37,3.4,1.36,0.77,13.44
37,LG,65345,39391,22448,224346,34136,4.9,156993,190210,0.08,0.7,4.9,5.57,0.29,20.88
38,LG디스플레이,234756,102483,109850,355746,230863,-8.4,75033,124883,-0.02,0.21,-8.4,0.54,0.66,-26.47
39,LX인터내셔널,105309,24840,21263,48760,33274,-0.3,8972,15486,0.07,0.18,-0.3,0.47,2.16,1.79
40,LG생활건강,76854,21631,17712,64937,22566,13.4,41749,42371,0.06,0.64,13.4,1.88,1.18,47.49
41,LG유플러스,123820,48055,46489,179411,105914,2.8,36736,73497,0.01,0.2,2.8,0.69,0.69,10.64
42,LG이노텍,79754,25309,20462,57708,35662,1.8,9893,22046,0.08,0.17,1.8,0.62,1.38,8.02
43,LG전자,623062,197535,176579,448599,284347,0.4,118573,164252,0.05,0.26,0.4,0.58,1.39,3.48
44,LX하우시스,31868,10224,9745,25656,16496,0.5,2836,9160,0.02,0.11,0.5,0.56,1.24,3.4
45,LG화학,273531,118697,89415,340244,166406,1.2,147987,173838,0.09,0.43,1.2,1.04,0.8,6.09
46,LIG넥스원,14527,13809,12375,23175,16835,0.1,3107,6340,0.06,0.13,0.1,0.38,0.63,1.44
47,LS,101518,60164,39734,107635,64922,0.9,28086,42713,0.19,0.26,0.9,0.66,0.94,4.9
48,LS네트웍스,4028,2677,1701,11736,6543,-5.7,1987,5193,0.08,0.17,-5.7,0.79,0.34,-17.66
49,LS ELECTRIC,23468,16669,7538,25381,11755,4.2,12464,13626,0.36,0.49,4.2,1.16,0.92,16.59
50,LS전선아시아,5203,2447,1917,3597,1984,4.8,392,1613,0.15,0.11,4.8,0.81,1.45,18.11
51,MH에탄올,809,328,2824,4515,3721,-1.7,611,794,-0.55,0.14,-1.7,0.21,0.18,-5.77
52,NAVER,43562,56437,37731,122995,57956,3.6,57121,65039,0.15,0.46,3.6,1.12,0.35,13.73
53,NHN,14886,10587,5328,25003,6716,0.9,4002,18287,0.21,0.16,0.9,2.72,0.6,5.68
55,NICE,18738,15015,11317,25648,13412,3.3,4274,12236,0.14,0.17,3.3,0.91,0.73,12.57
56,NPC,4545,1664,995,4038,1196,3.6,2349,2842,0.17,0.58,3.6,2.38,1.13,15.45
57,OCI,26051,21607,8458,48112,21255,-15.4,17041,26857,0.27,0.35,-15.4,1.26,0.54,-48.71
58,POSCO홀딩스,643668,348424,163237,790587,312640,2.5,450801,477947,0.23,0.57,2.5,1.53,0.81,11.05
59,SNT에너지,2133,2050,675,3339,889,5.0,2024,2450,0.41,0.61,5.0,2.76,0.64,20.14
60,SNT모티브,9763,6259,2411,10389,3029,0.3,5990,7360,0.37,0.58,0.3,2.43,0.94,4.64
61,SNT중공업,3751,4114,1063,8414,2243,2.0,5782,6171,0.36,0.69,2.0,2.75,0.45,10.1
62,SNT홀딩스,15121,12665,4056,22367,6107,5.7,5280,16260,0.38,0.24,5.7,2.66,0.68,21.88
63,S-Oil,243942,56289,57487,163334,98368,0.4,48482,64966,-0.01,0.3,0.4,0.66,1.49,3.61
64,SBS,8177,7170,3930,12478,6006,1.9,4309,6472,0.26,0.35,1.9,1.08,0.66,8.38
65,SBS미디어홀딩스,1756,2246,541,6741,736,-13.5,1103,6005,0.25,0.16,-13.5,8.16,0.26,-38.87
66,SG세계물산,2461,1452,739,2877,828,3.1,680,2049,0.25,0.24,3.1,2.47,0.86,13.21
67,SG글로벌,930,487,575,2041,740,0.4,623,1301,-0.04,0.31,0.4,1.76,0.46,3.22
68,SH에너지화학,1409,836,75,1234,244,-2.5,364,990,0.62,0.29,-2.5,4.06,1.14,-3.53
