,매출액_totlist,유동자산_totlist,유동부채_totlist,총자산_list,총부채_list
대덕,"['5,921', '\xa0', '34', '13,717', '34', '40693.2']","['5,310', '5,225', '6,096', '7,264']","['1,405', '1,469', '2,435', '2,439']","['11,369', '12,019', '16,387', '17,240']","['1,530', '1,621', '2,925', '3,511']"
대동,"['6,548', '8,344', '8,958', '11,792', '8,958', '31.6']","['4,478', '4,737', '4,664', '6,882']","['4,308', '4,815', '4,971', '6,917']","['7,727', '8,274', '9,387', '12,606']","['5,552', '6,085', '6,104', '8,747']"
대동전자,"['480', '450', '398', '336', '283', '18.9']","['736', '791', '812', '845']","['136', '114', '140', '68']","['1,710', '1,790', '2,050', '2,087']","['331', '320', '410', '346']"
대림B&Co,"['2,472', '2,364', '2,324', '2,604', '2,324', '12.0']","['1,142', '1,138', '1,268', '1,116']","['753', '683', '796', '1,079']","['3,017', '3,092', '3,263', '3,266']","['1,416', '1,498', '1,685', '1,692']"
DL,"['109,845', '16,604', '15,661', '23,854', '15,661', '52.3']","['63,666', '67,397', '93,278', '25,127']","['45,300', '42,714', '83,677', '14,609']","['128,337', '134,452', '139,019', '83,230']","['67,835', '67,085', '106,905', '37,927']"
삼일씨엔에스,"['2,056', '1,955', '1,861', '2,266', '1,861', '21.8']","['1,771', '1,484', '1,255', '1,278']","['519', '454', '390', '549']","['3,389', '3,372', '3,264', '3,519']","['624', '584', '490', '748']"
대림통상,"['2,013', '1,836', '1,566', '1,552', '1,566', '-0.9']","['1,178', '1,026', '849', '918']","['891', '666', '640', '818']","['1,993', '1,795', '1,597', '1,658']","['925', '878', '832', '897']"
대상,"['29,568', '29,640', '31,132', '34,700', '31,132', '11.5']","['9,049', '10,778', '13,022', '15,234']","['7,385', '7,951', '7,815', '9,538']","['21,990', '23,896', '25,283', '28,705']","['12,703', '13,749', '14,268', '16,233']"
대상홀딩스,"['33,980', '35,525', '37,543', '42,060', '37,543', '12.0']","['10,812', '12,713', '15,550', '18,226']","['8,396', '9,321', '9,423', '12,071']","['26,296', '28,888', '30,602', '36,261']","['15,348', '16,870', '17,342', '21,350']"
대성산업,"['9,455', '8,699', '8,324', '11,291', '8,324', '35.7']","['1,829', '1,873', '2,085', '3,185']","['3,342', '3,602', '2,216', '2,465']","['10,928', '10,324', '11,017', '16,524']","['6,414', '6,451', '6,157', '11,915']"
대성에너지,"['7,710', '7,749', '7,432', '7,704', '7,432', '3.7']","['2,129', '2,107', '2,030', '2,327']","['2,173', '2,299', '2,776', '2,477']","['6,539', '6,972', '7,021', '7,425']","['3,519', '3,907', '3,877', '4,251']"
대성홀딩스,"['9,098', '9,186', '8,843', '9,405', '8,843', '6.4']","['3,447', '3,034', '3,149', '3,466']","['3,064', '3,259', '3,562', '2,865']","['11,173', '11,358', '11,811', '12,440']","['5,847', '5,960', '5,995', '6,471']"
대신증권,"['2,042', '1,570', '1,833', '2,325', '1,833', '26.9']","['21,276', '23,576', '41,391', '41,325']","['\xa0', '\xa0', '\xa0', '\xa0']","['191,513', '194,373', '215,038', '227,632']","['\xa0', '\xa0', '\xa0', '\xa0']"
대양금속,"['1,650', '1,516', '1,405', '2,034', '1,405', '44.8']","['606', '609', '813', '1,169']","['535', '210', '314', '435']","['923', '905', '1,163', '1,575']","['606', '238', '405', '580']"
대영포장,"['3,001', '2,701', '2,607', '3,226', '2,607', '23.7']","['556', '554', '586', '964']","['572', '459', '416', '406']","['2,187', '2,122', '2,080', '2,461']","['784', '617', '541', '788']"
대우건설,"['106,055', '86,519', '81,367', '86,852', '81,367', '6.7']","['52,796', '60,494', '59,731', '71,489']","['49,929', '50,847', '49,364', '50,490']","['87,338', '96,977', '93,059', '104,580']","['64,161', '72,094', '66,289', '72,416']"
대우부품,"['626', '534', '759', '992', '759', '30.6']","['273', '300', '401', '420']","['264', '345', '482', '510']","['708', '775', '920', '944']","['315', '405', '571', '594']"
대우조선해양,"['96,444', '83,587', '70,302', '44,866', '70,302', '-36.2']","['73,500', '68,711', '59,532', '64,811']","['53,568', '48,075', '51,627', '74,645']","['119,185', '112,761', '103,208', '106,232']","['80,783', '75,212', '64,518', '84,056']"
대웅,"['12,313', '13,657', '13,553', '15,114', '13,553', '11.5']","['7,342', '7,578', '8,363', '8,480']","['3,825', '2,949', '3,678', '5,140']","['15,922', '16,709', '18,375', '19,337']","['6,279', '6,548', '7,206', '7,767']"
대웅제약,"['10,314', '11,134', '10,554', '11,530', '10,554', '9.2']","['5,157', '5,263', '5,284', '5,249']","['3,674', '2,621', '3,268', '4,607']","['12,078', '12,457', '13,669', '14,152']","['6,000', '6,097', '6,717', '7,128']"
대원강업,"['9,954', '9,602', '8,612', '8,622', '8,612', '0.1']","['3,522', '3,219', '3,296', '3,468']","['3,796', '3,720', '3,638', '3,425']","['10,858', '10,480', '10,179', '9,830']","['5,150', '4,607', '4,458', '4,060']"
대원전선,"['4,295', '4,013', '3,673', '4,750', '3,673', '29.3']","['1,473', '1,426', '1,420', '1,949']","['992', '950', '935', '1,416']","['1,915', '1,896', '1,920', '2,406']","['1,101', '1,092', '1,066', '1,529']"
대원제약,"['2,867', '3,178', '3,085', '3,542', '3,085', '14.8']","['1,067', '1,215', '1,173', '1,804']","['577', '617', '560', '1,021']","['2,754', '3,275', '3,352', '4,296']","['922', '1,233', '1,224', '2,112']"
대원화성,"['1,146', '1,331', '1,088', '1,133', '1,088', '4.2']","['748', '616', '620', '721']","['445', '399', '470', '565']","['1,248', '1,305', '1,298', '1,358']","['516', '511', '538', '648']"
대유에이텍,"['11,102', '12,850', '14,669', '16,558', '14,669', '12.9']","['3,822', '5,335', '5,539', '6,476']","['5,512', '7,164', '7,256', '9,218']","['8,896', '11,173', '11,665', '13,210']","['7,192', '8,813', '9,272', '11,313']"
대유플러스,"['5,034', '4,573', '4,529', '5,120', '4,529', '13.0']","['2,455', '8,486', '1,991', '3,197']","['1,989', '8,712', '2,874', '3,405']","['10,000', '10,891', '4,731', '5,944']","['8,631', '9,282', '3,522', '4,555']"
대창,"['9,513', '8,990', '9,336', '12,776', '9,336', '36.9']","['3,082', '3,236', '3,529', '4,963']","['2,950', '3,259', '3,051', '3,676']","['5,694', '5,761', '6,203', '8,107']","['3,536', '3,611', '3,989', '5,366']"
대창단조,"['3,205', '2,773', '2,645', '3,544', '2,645', '34.0']","['1,586', '1,621', '1,716', '1,970']","['374', '329', '346', '522']","['2,290', '2,386', '2,472', '2,985']","['477', '481', '500', '713']"
대한방직,"['2,090', '1,563', '1,752', '2,004', '1,752', '14.3']","['1,672', '897', '963', '1,109']","['682', '573', '497', '645']","['2,675', '1,977', '2,138', '2,326']","['907', '717', '775', '931']"
대한유화,"['25,540', '20,743', '18,827', '25,149', '18,827', '33.6']","['4,287', '4,642', '6,052', '9,706']","['1,348', '914', '690', '3,075']","['19,839', '20,265', '21,276', '24,789']","['2,828', '2,479', '2,334', '4,497']"
대한전선,"['16,488', '15,547', '15,968', '19,977', '15,968', '25.1']","['6,318', '7,186', '7,215', '9,392']","['3,667', '8,822', '8,009', '7,578']","['11,729', '12,351', '11,995', '14,209']","['8,510', '9,224', '8,398', '10,331']"
대한제강,"['11,338', '10,217', '10,961', '20,303', '10,961', '85.2']","['3,498', '2,990', '5,812', '8,113']","['1,947', '1,519', '3,743', '4,874']","['6,571', '6,352', '9,449', '12,324']","['2,222', '1,732', '3,965', '5,122']"
대한제당,"['12,084', '12,044', '12,145', '12,613', '12,145', '3.9']","['5,065', '5,224', '5,330', '5,725']","['3,894', '4,043', '3,913', '4,233']","['11,354', '11,431', '11,462', '11,823']","['6,835', '6,788', '6,677', '6,711']"
대한제분,"['8,646', '9,339', '9,702', '11,113', '9,702', '14.5']","['4,680', '4,310', '4,739', '6,839']","['1,543', '1,783', '2,307', '3,801']","['9,197', '10,051', '10,849', '13,216']","['1,707', '2,453', '3,041', '4,410']"
대한항공,"['130,116', '123,843', '76,105', '90,168', '76,105', '18.5']","['37,500', '35,747', '40,025', '66,410']","['75,568', '87,773', '79,878', '84,449']","['258,425', '270,141', '251,901', '266,719']","['226,799', '242,333', '218,783', '198,062']"
대한해운,"['12,846', '10,057', '8,841', '11,538', '8,841', '30.5']","['4,984', '4,196', '4,312', '5,023']","['7,813', '7,754', '5,967', '3,902']","['29,329', '33,409', '33,456', '38,597']","['21,534', '24,457', '24,923', '23,416']"
대한화섬,"['1,077', '1,142', '869', '1,173', '869', '35.0']","['339', '348', '605', '804']","['338', '249', '148', '273']","['5,835', '6,094', '7,223', '9,078']","['850', '760', '1,151', '1,658']"
대현,"['2,863', '2,996', '2,532', '2,879', '2,532', '13.7']","['1,701', '1,579', '1,413', '1,593']","['545', '482', '388', '512']","['2,590', '2,637', '2,529', '2,801']","['733', '645', '494', '591']"
대호에이엘,"['1,324', '1,175', '1,214', '1,434', '1,214', '18.1']","['416', '350', '482', '880']","['502', '449', '613', '672']","['887', '809', '1,012', '1,450']","['594', '546', '738', '760']"
더존비즈온,"['2,269', '2,627', '3,065', '3,187', '3,065', '4.0']","['1,493', '1,020', '1,440', '2,251']","['891', '951', '1,246', '3,854']","['2,787', '7,270', '8,041', '9,003']","['965', '3,640', '4,061', '3,986']"
덕성,"['837', '867', '1,177', '1,152', '1,177', '-2.1']","['584', '609', '608', '752']","['280', '334', '344', '369']","['1,006', '1,029', '1,050', '1,253']","['377', '399', '388', '403']"
덕양산업,"['12,922', '13,594', '12,920', '13,482', '12,920', '4.4']","['3,287', '3,036', '3,052', '3,167']","['3,664', '4,006', '4,075', '4,001']","['5,263', '5,096', '5,130', '5,236']","['4,490', '4,470', '4,573', '4,598']"
덴티움,"['1,863', '2,526', '2,297', '2,915', '2,297', '26.9']","['1,699', '2,258', '1,953', '2,403']","['1,404', '1,747', '1,933', '1,802']","['4,368', '5,471', '5,102', '5,702']","['2,421', '3,406', '2,816', '2,791']"
도레이케미칼,"['9,538', '8,565', '8,728', '7,016', '6,583', '6.6']","['3,063', '2,580', '2,949', '3,130']","['\xa0', '\xa0', '\xa0', '\xa0']","['7,602', '7,138', '7,687', '7,746']","['670', '1,003', '1,111', '1,150']"
도화엔지니어링,"['4,025', '5,161', '5,749', '5,774', '5,749', '0.4']","['1,561', '1,755', '2,041', '2,286']","['1,233', '1,442', '1,624', '1,930']","['3,759', '4,090', '4,517', '5,002']","['1,272', '1,564', '1,948', '2,333']"
케이비아이동국실업,"['6,509', '6,156', '5,308', '5,214', '5,308', '-1.8']","['2,034', '2,111', '2,236', '2,140']","['3,406', '3,386', '3,333', '3,126']","['5,703', '5,597', '5,661', '5,680']","['3,909', '3,833', '3,964', '3,979']"
동국제강,"['59,649', '56,584', '52,062', '72,403', '52,062', '39.1']","['21,739', '19,408', '18,462', '26,828']","['32,291', '28,493', '28,058', '31,192']","['57,302', '54,390', '54,185', '63,341']","['36,980', '34,939', '32,823', '35,517']"
동남합성,"['1,393', '1,261', '1,249', '1,603', '1,249', '28.3']","['261', '323', '288', '405']","['184', '113', '285', '351']","['906', '951', '813', '906']","['291', '206', '323', '443']"
동방,"['5,264', '6,330', '5,921', '5,959', '5,921', '0.7']","['1,318', '1,829', '1,284', '1,425']","['3,277', '3,739', '2,546', '1,744']","['5,541', '6,284', '5,268', '5,313']","['4,239', '5,128', '4,101', '3,998']"
동방아그로,"['1,211', '1,246', '1,295', '1,341', '1,295', '3.5']","['1,262', '1,340', '1,390', '1,543']","['276', '312', '333', '454']","['1,857', '1,940', '1,960', '2,045']","['527', '569', '542', '574']"
동부건설,"['8,982', '11,554', '11,722', '11,449', '11,722', '-2.3']","['4,421', '5,733', '5,412', '7,816']","['2,476', '3,617', '2,614', '4,107']","['7,138', '8,919', '9,542', '12,620']","['3,519', '4,713', '4,944', '7,023']"
KG스틸,"['25,451', '24,283', '23,424', '33,548', '23,424', '43.2']","['8,859', '7,608', '6,492', '11,232']","['10,191', '6,418', '4,760', '8,156']","['25,061', '23,553', '22,577', '27,711']","['24,996', '14,658', '12,850', '16,209']"
동북아12호,"['5', '5', '5', '1', '1', '0.0']","['2', '2', '81', '81']","['2', '2', '2', '2']","['81', '81', '81', '81']","['2', '2', '2', '2']"
동북아13호,"['5', '5', '5', '5', '5', '0.0']","['1', '1', '1', '81']","['1', '1', '1', '1']","['81', '81', '81', '81']","['1', '1', '1', '1']"
동서,"['5,635', '5,054', '4,930', '5,353', '4,930', '8.6']","['7,127', '7,298', '7,555', '7,804']","['585', '571', '559', '587']","['14,322', '14,783', '15,258', '15,826']","['1,420', '1,272', '1,285', '1,340']"
동성제약,"['919', '865', '878', '844', '878', '-3.9']","['878', '794', '715', '500']","['504', '406', '478', '376']","['1,402', '1,317', '1,257', '1,046']","['827', '616', '708', '581']"
동성케미컬,"['8,131', '8,498', '8,640', '9,260', '8,640', '7.2']","['3,337', '3,899', '3,498', '3,944']","['3,311', '3,020', '3,024', '3,165']","['8,081', '8,505', '7,979', '8,188']","['4,074', '4,321', '3,707', '3,618']"
동성화학,"['2,043', '1,914', '2,010', '1,824', '2,010', '-9.2']","['1,112', '1,109', '1,166', '1,221']","['701', '613', '539', '352']","['1,902', '1,841', '1,886', '1,881']","['798', '712', '648', '472']"
동아쏘시오홀딩스,"['7,075', '7,697', '7,833', '8,819', '7,833', '12.6']","['2,917', '3,153', '3,294', '3,586']","['3,199', '4,144', '3,484', '4,673']","['12,419', '13,586', '15,111', '16,914']","['5,062', '6,117', '6,224', '7,063']"
다스코,"['2,408', '2,162', '2,245', '3,636', '2,245', '62.0']","['1,277', '1,205', '1,174', '1,588']","['753', '810', '857', '1,226']","['2,124', '2,147', '2,495', '2,985']","['857', '914', '1,301', '1,732']"
동아에스티,"['5,674', '6,123', '5,867', '5,932', '5,867', '1.1']","['4,265', '4,533', '4,622', '5,310']","['2,690', '2,161', '1,477', '2,755']","['9,487', '10,088', '9,807', '11,160']","['3,693', '3,629', '3,386', '4,596']"
동아지질,"['3,607', '3,809', '3,146', '2,895', '3,146', '-8.0']","['2,104', '2,178', '2,433', '2,396']","['1,090', '1,266', '1,360', '1,450']","['2,848', '3,223', '3,348', '3,508']","['1,100', '1,284', '1,433', '1,464']"
동아타이어,"['1,613', '1,560', '1,432', '1,796', '1,432', '25.4']","['753', '876', '921', '1,172']","['252', '284', '275', '421']","['3,690', '3,858', '3,958', '4,206']","['289', '289', '290', '501']"
동양,"['5,297', '5,391', '6,029', '6,996', '6,029', '16.0']","['4,122', '3,882', '3,523', '4,137']","['1,229', '1,638', '1,806', '1,869']","['9,776', '10,174', '9,968', '10,072']","['1,434', '1,983', '2,172', '2,232']"
동양고속,"['1,323', '1,405', '835', '812', '835', '-2.8']","['356', '283', '93', '177']","['595', '322', '417', '624']","['1,959', '1,868', '1,679', '1,688']","['833', '546', '608', '843']"
비케이탑스,"['700', '116', '99', '129', '59', '116.9']","['1,001', '180', '127', '432']","['976', '536', '409', '713']","['1,906', '986', '692', '1,131']","['1,022', '571', '462', '944']"
TYM,"['5,899', '6,174', '7,133', '8,415', '7,133', '18.0']","['3,616', '3,943', '4,067', '4,101']","['3,235', '3,941', '3,863', '3,810']","['5,815', '6,286', '6,569', '7,074']","['4,773', '4,815', '4,861', '4,582']"
동양생명,"['57,869', '62,540', '69,490', '63,476', '69,490', '-8.7']","['14,596', '12,086', '4,187', '9,426']","['\xa0', '\xa0', '\xa0', '\xa0']","['319,221', '339,480', '362,530', '371,033']","['296,291', '313,467', '331,831', '340,594']"
동양철관,"['1,620', '1,634', '1,738', '1,820', '1,738', '4.7']","['808', '794', '695', '1,017']","['794', '758', '596', '929']","['1,636', '1,642', '1,534', '1,860']","['846', '844', '659', '1,019']"
동양피스톤,"['3,322', '3,648', '3,215', '3,546', '3,215', '10.3']","['1,373', '1,599', '1,548', '1,698']","['1,697', '1,775', '1,962', '1,746']","['3,176', '3,503', '3,461', '3,626']","['2,221', '2,421', '2,505', '2,494']"
넥스트사이언스,"['132', '300', '354', '450', '354', '27.3']","['879', '580', '411', '603']","['624', '314', '317', '458']","['1,600', '1,294', '1,308', '1,639']","['876', '483', '571', '505']"
동원F&B,"['28,025', '30,303', '31,703', '34,906', '31,703', '10.1']","['6,314', '6,790', '7,018', '9,207']","['3,417', '5,164', '4,499', '6,913']","['14,036', '15,735', '16,839', '19,357']","['7,711', '8,923', '9,370', '11,369']"
동원금속,"['4,586', '4,566', '3,695', '2,833', '2,448', '15.7']","['1,293', '1,708', '1,592', '1,383']","['3,125', '3,205', '3,123', '2,868']","['4,880', '5,110', '4,689', '4,418']","['4,434', '4,414', '4,369', '3,947']"
동원산업,"['24,446', '26,826', '28,573', '28,022', '28,573', '-1.9']","['10,090', '12,018', '11,833', '12,891']","['8,558', '9,517', '10,607', '8,464']","['25,922', '29,860', '31,060', '30,519']","['16,186', '19,076', '18,109', '15,650']"
동원수산,"['1,420', '1,640', '1,454', '1,446', '1,454', '-0.5']","['583', '662', '676', '668']","['258', '274', '350', '323']","['954', '987', '982', '1,009']","['506', '478', '500', '439']"
동원시스템즈,"['10,263', '10,424', '10,785', '12,509', '10,785', '16.0']","['4,649', '4,218', '4,538', '6,385']","['3,687', '2,165', '4,507', '5,149']","['11,241', '11,546', '12,558', '14,920']","['5,875', '5,808', '6,394', '8,266']"
동일고무벨트,"['2,630', '2,619', '2,432', '2,775', '2,432', '14.1']","['1,549', '1,535', '1,504', '1,694']","['817', '715', '593', '884']","['2,848', '2,814', '2,758', '3,138']","['978', '879', '759', '1,048']"
DI동일,"['9,093', '6,849', '6,797', '8,131', '6,797', '19.6']","['3,189', '2,565', '2,635', '3,495']","['3,221', '2,650', '2,389', '3,065']","['9,476', '8,884', '8,826', '9,931']","['4,350', '3,930', '3,659', '4,196']"
동일산업,"['3,910', '3,547', '3,333', '4,644', '3,333', '39.3']","['2,993', '2,741', '2,810', '3,142']","['485', '392', '422', '619']","['4,097', '4,049', '4,175', '4,738']","['548', '510', '570', '717']"
동일제강,"['1,240', '1,274', '1,229', '1,822', '1,229', '48.3']","['748', '773', '805', '1,052']","['157', '133', '160', '236']","['1,502', '1,470', '1,486', '1,805']","['193', '165', '188', '270']"
동화약품,"['3,066', '3,072', '2,721', '2,930', '2,721', '7.7']","['2,279', '2,355', '2,227', '2,202']","['608', '557', '675', '665']","['3,706', '3,764', '4,338', '4,478']","['732', '766', '911', '877']"
두산,"['174,493', '180,416', '114,285', '132,042', '114,285', '15.5']","['115,859', '110,480', '125,983', '98,953']","['133,169', '162,058', '158,082', '120,064']","['288,803', '291,697', '302,010', '260,099']","['217,352', '223,502', '224,354', '175,128']"
두산건설,"['13,342', '15,359', '15,478', '12,173', '10,675', '14.0']","['12,403', '10,042', '9,018', '8,779']","['17,067', '15,395', '19,114', '14,129']","['30,300', '28,456', '23,991', '23,112']","['19,654', '18,802', '20,314', '16,635']"
두산밥캣,"['39,708', '45,096', '42,821', '58,162', '42,821', '35.8']","['16,837', '15,196', '18,620', '26,459']","['9,635', '11,391', '10,117', '14,982']","['64,463', '67,042', '69,606', '85,809']","['27,067', '27,252', '28,868', '42,596']"
HSD엔진,"['5,113', '6,743', '8,300', '5,990', '8,300', '-27.8']","['2,818', '3,802', '2,766', '3,449']","['4,903', '6,207', '4,976', '4,311']","['7,434', '8,301', '7,233', '7,956']","['5,124', '6,416', '5,292', '5,865']"
현대두산인프라코어,"['77,301', '81,858', '39,881', '45,937', '39,881', '15.2']","['44,268', '43,049', '50,496', '32,398']","['37,786', '44,844', '38,826', '27,688']","['110,292', '113,386', '120,269', '47,823']","['72,084', '70,710', '75,379', '34,125']"
두산중공업,"['147,611', '156,597', '91,715', '112,836', '91,715', '23.0']","['97,822', '93,516', '99,468', '84,176']","['115,046', '137,732', '130,705', '101,258']","['248,149', '248,092', '255,672', '237,205']","['185,965', '186,073', '184,607', '149,130']"
두올,"['4,831', '4,659', '4,658', '4,956', '4,658', '6.4']","['1,820', '1,980', '2,433', '2,580']","['1,322', '1,538', '1,584', '1,490']","['3,466', '3,643', '4,057', '4,241']","['1,827', '1,873', '2,223', '2,268']"
디씨엠,"['1,152', '1,453', '1,654', '2,508', '1,654', '51.7']","['961', '1,039', '1,176', '1,681']","['198', '267', '329', '409']","['1,879', '2,070', '2,279', '2,869']","['250', '323', '389', '513']"
디아이,"['1,960', '1,095', '1,623', '2,266', '1,623', '39.6']","['887', '1,010', '1,031', '1,211']","['492', '559', '547', '632']","['2,105', '2,148', '2,289', '2,491']","['664', '725', '905', '953']"
디아이씨,"['5,532', '5,378', '4,934', '5,901', '4,934', '19.6']","['3,287', '3,090', '2,100', '2,171']","['5,038', '4,722', '4,553', '4,284']","['8,103', '7,798', '6,046', '6,289']","['6,238', '5,937', '5,340', '4,963']"
디와이,"['8,910', '8,543', '7,894', '9,984', '7,894', '26.5']","['4,129', '4,038', '4,629', '5,340']","['2,151', '2,145', '2,590', '3,011']","['7,425', '7,545', '7,956', '8,600']","['2,967', '2,802', '3,284', '3,618']"
디와이파워,"['3,857', '3,435', '3,048', '4,372', '3,048', '43.4']","['1,458', '1,480', '1,776', '2,252']","['917', '802', '819', '1,071']","['2,585', '2,626', '2,878', '3,420']","['1,084', '956', '988', '1,161']"
디티알오토모티브,"['9,085', '9,298', '8,031', '9,308', '8,031', '15.9']","['4,547', '4,319', '4,761', '10,771']","['2,843', '2,684', '2,909', '5,581']","['8,708', '9,117', '9,618', '14,850']","['3,072', '2,856', '3,071', '7,710']"
스틱인베스트먼트,"['1,577', '1,645', '1,741', '3,127', '1,741', '79.6']","['1,203', '1,251', '1,441', '1,964']","['441', '589', '638', '965']","['1,937', '2,209', '2,495', '3,420']","['460', '644', '690', '1,098']"
락앤락,"['4,343', '4,860', '5,020', '5,430', '5,020', '8.2']","['3,777', '4,095', '4,140', '5,420']","['616', '674', '701', '1,013']","['7,394', '7,999', '7,832', '8,297']","['788', '1,159', '1,179', '1,358']"
롯데관광개발,"['761', '884', '168', '1,071', '168', '538.5']","['2,201', '531', '1,248', '915']","['745', '2,507', '2,124', '2,404']","['5,068', '5,750', '11,985', '13,024']","['2,258', '2,693', '9,724', '12,497']"
롯데손해보험,"['35,245', '36,736', '41,182', '35,446', '41,182', '-13.9']","['4,542', '4,443', '2,594', '2,553']","['\xa0', '\xa0', '\xa0', '\xa0']","['142,150', '162,673', '163,482', '189,112']","['136,517', '153,014', '154,016', '179,092']"
롯데쇼핑,"['178,208', '176,220', '161,844', '155,736', '161,844', '-3.8']","['57,084', '61,073', '62,907', '70,002']","['66,037', '82,019', '87,800', '89,942']","['262,593', '339,726', '328,294', '334,265']","['138,319', '221,816', '217,406', '216,295']"
롯데정밀화학,"['13,717', '13,113', '12,636', '17,803', '12,636', '40.9']","['7,164', '8,605', '5,168', '8,669']","['2,285', '2,825', '1,697', '3,090']","['17,000', '17,927', '18,746', '27,235']","['3,221', '2,996', '2,249', '5,248']"
롯데제과,"['16,945', '20,930', '20,760', '21,454', '20,760', '3.3']","['7,042', '7,711', '8,301', '8,279']","['4,493', '5,009', '5,081', '6,856']","['25,427', '27,162', '26,430', '26,666']","['12,848', '14,154', '13,631', '13,397']"
롯데지주,"['72,712', '88,562', '90,866', '99,249', '90,866', '9.2']","['154,769', '31,266', '49,026', '47,725']","['163,397', '37,869', '47,455', '45,670']","['276,183', '156,058', '166,800', '199,219']","['191,849', '78,132', '88,489', '102,926']"
롯데칠성,"['23,463', '24,295', '22,580', '25,061', '22,580', '11.0']","['6,887', '7,884', '8,933', '9,945']","['6,890', '9,416', '8,649', '9,710']","['33,113', '32,565', '34,661', '35,968']","['20,739', '20,285', '21,612', '21,518']"
롯데케미칼,"['160,731', '151,235', '122,230', '181,205', '122,230', '48.2']","['81,439', '72,209', '68,765', '94,307']","['39,614', '27,400', '28,677', '45,791']","['207,991', '200,431', '193,865', '228,700']","['72,548', '59,900', '56,742', '74,188']"
롯데푸드,"['18,108', '17,880', '15,223', '16,078', '15,223', '5.6']","['4,502', '6,245', '5,520', '4,824']","['1,810', '4,538', '3,178', '2,573']","['12,083', '13,212', '12,865', '12,715']","['5,258', '6,136', '5,253', '4,855']"
롯데하이마트,"['41,127', '40,265', '40,517', '38,697', '40,517', '-4.5']","['9,154', '7,157', '9,888', '6,829']","['5,381', '5,895', '8,458', '5,756']","['31,171', '31,076', '33,492', '29,435']","['10,552', '11,857', '14,232', '11,162']"
마니커,"['2,691', '2,417', '2,148', '2,527', '2,148', '17.7']","['370', '301', '462', '698']","['792', '589', '892', '889']","['1,933', '1,830', '1,921', '1,965']","['899', '952', '1,202', '1,492']"
만도,"['56,648', '59,819', '55,635', '61,474', '55,635', '10.5']","['19,727', '21,098', '24,070', '29,443']","['18,358', '17,568', '20,316', '21,296']","['44,373', '45,956', '49,383', '57,044']","['29,555', '30,100', '32,288', '36,601']"
만호제강,"['2,071', '1,949', '1,945', '1,242', '920', '35.0']","['1,586', '1,473', '1,491', '1,558']","['157', '143', '208', '262']","['2,453', '2,461', '2,559', '2,583']","['183', '169', '247', '294']"
맥쿼리인프라,"['\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0']","['\xa0', '\xa0', '\xa0', '\xa0']","['\xa0', '\xa0', '\xa0', '\xa0']","['\xa0', '\xa0', '\xa0', '\xa0']","['\xa0', '\xa0', '\xa0', '\xa0']"
쎌마테라퓨틱스,"['378', '77', '97', '75', '79', '-4.6']","['108', '108', '278', '258']","['154', '122', '312', '292']","['195', '154', '334', '287']","['159', '128', '318', '297']"
메리츠금융지주,"['11,375', '12,763', '13,148', '14,386', '13,148', '9.4']","['28,459', '31,154', '35,746', '57,581']","['\xa0', '\xa0', '\xa0', '\xa0']","['522,052', '617,641', '695,644', '820,309']","['467,506', '558,022', '626,871', '751,476']"
메리츠증권,"['6,418', '7,063', '6,748', '7,671', '6,748', '13.7']","['24,060', '26,243', '32,166', '50,258']","['\xa0', '\xa0', '\xa0', '\xa0']","['311,618', '381,099', '438,470', '541,082']","['\xa0', '\xa0', '\xa0', '\xa0']"
메리츠화재,"['84,182', '101,180', '111,326', '118,614', '111,326', '6.5']","['3,903', '4,019', '2,417', '5,928']","['\xa0', '\xa0', '\xa0', '\xa0']","['204,788', '232,157', '253,593', '276,890']","['181,956', '207,751', '226,762', '252,938']"
명문제약,"['1,475', '1,493', '1,279', '1,448', '1,279', '13.2']","['1,070', '1,007', '806', '669']","['1,234', '1,334', '1,253', '1,125']","['2,431', '2,644', '2,430', '2,227']","['1,500', '1,842', '1,523', '1,368']"
모나리자,"['1,130', '1,180', '1,171', '1,064', '1,171', '-9.2']","['405', '371', '381', '308']","['130', '117', '135', '162']","['775', '771', '913', '940']","['130', '120', '201', '187']"
모나미,"['1,352', '1,320', '1,278', '1,322', '1,278', '3.5']","['777', '813', '743', '1,123']","['551', '822', '583', '645']","['1,706', '2,007', '1,957', '2,025']","['961', '1,096', '1,059', '980']"
모두투어리츠,"['48', '76', '47', '61', '47', '29.8']","['58', '41', '44', '306']","['213', '14', '183', '643']","['804', '1,088', '1,080', '1,098']","['385', '650', '644', '648']"
모토닉,"['1,953', '2,076', '1,786', '1,961', '1,786', '9.8']","['3,389', '3,416', '3,605', '3,766']","['254', '268', '232', '254']","['4,324', '4,409', '4,424', '4,480']","['295', '330', '278', '292']"
무림P&P,"['6,512', '6,313', '5,279', '6,137', '5,279', '16.3']","['4,149', '3,190', '3,617', '3,432']","['4,625', '3,924', '4,320', '5,274']","['13,560', '13,503', '14,304', '14,836']","['7,216', '7,298', '8,290', '8,647']"
무림페이퍼,"['11,091', '11,237', '9,497', '10,553', '9,497', '11.1']","['6,705', '5,957', '6,423', '6,754']","['7,947', '7,714', '7,458', '9,168']","['20,143', '21,585', '21,950', '22,844']","['13,467', '14,706', '15,501', '16,379']"
