,매출액_totlist,유동자산_totlist,유동부채_totlist,총자산_list,총부채_list
SBS미디어홀딩스,"['2,316', '1,756', '1,654', '1,336', '1,133', '17.9']","['3,557', '2,246', '3,477', '2,283']","['962', '541', '1,752', '378']","['8,802', '6,741', '7,163', '6,311']","['1,055', '736', '1,937', '571']"
SG세계물산,"['3,202', '2,461', '1,678', '1,357', '1,678', '-19.1']","['1,996', '1,452', '1,393', '1,245']","['957', '739', '683', '604']","['3,344', '2,877', '2,672', '3,084']","['1,375', '828', '710', '641']"
SG글로벌,"['1,345', '930', '851', '578', '851', '-32.1']","['525', '487', '480', '290']","['461', '575', '367', '131']","['1,996', '2,041', '1,989', '1,870']","['726', '740', '724', '640']"
SH에너지화학,"['1,836', '1,409', '936', '1,398', '936', '49.4']","['858', '836', '724', '783']","['67', '75', '74', '131']","['1,224', '1,234', '1,174', '1,196']","['170', '244', '273', '279']"
SIMPAC,"['3,062', '4,301', '3,659', '6,130', '3,659', '67.6']","['3,107', '2,892', '3,532', '5,422']","['2,285', '2,195', '2,491', '3,314']","['6,818', '6,791', '7,373', '9,032']","['2,467', '2,380', '2,733', '3,566']"
SJM,"['1,553', '1,577', '1,387', '1,457', '1,387', '5.1']","['1,315', '1,440', '1,472', '1,554']","['277', '327', '325', '369']","['2,001', '2,204', '2,249', '2,450']","['336', '454', '513', '555']"
SJM홀딩스,"['1,607', '1,608', '1,416', '1,497', '1,416', '5.7']","['1,775', '1,868', '1,751', '1,903']","['365', '402', '394', '464']","['2,895', '3,089', '3,083', '3,329']","['456', '561', '604', '661']"
SK,"['1,001,616', '978,115', '808,188', '983,250', '808,188', '21.7']","['371,284', '400,154', '380,523', '491,932']","['300,078', '356,271', '372,127', '449,749']","['1,194,570', '1,326,114', '1,376,679', '1,653,809']","['685,691', '804,354', '858,080', '998,157']"
SKC,"['27,678', '23,611', '24,659', '33,961', '24,659', '37.7']","['9,101', '9,927', '12,473', '18,200']","['10,815', '10,432', '17,339', '17,200']","['38,331', '39,730', '54,064', '61,801']","['21,383', '22,466', '34,913', '38,978']"
SK가스,"['68,592', '49,311', '44,123', '64,945', '44,123', '47.2']","['16,098', '17,138', '20,405', '24,058']","['15,006', '15,704', '12,716', '14,420']","['37,556', '40,824', '44,989', '51,215']","['21,128', '24,216', '26,002', '30,042']"
SK네트웍스,"['126,458', '130,542', '106,259', '110,181', '106,259', '3.7']","['32,532', '39,657', '26,387', '30,472']","['37,397', '45,220', '37,233', '38,976']","['77,690', '101,388', '87,735', '94,109']","['54,572', '78,335', '65,282', '70,219']"
SK디앤디,"['5,628', '4,547', '6,998', '7,910', '6,998', '13.0']","['9,143', '8,182', '10,058', '11,797']","['7,327', '5,674', '7,053', '4,656']","['14,901', '13,969', '17,124', '19,834']","['11,423', '10,355', '11,810', '13,442']"
