,종목_list,2018_매출액,2019_매출액,2020_매출액,2021_매출액,2018_유동자산,2019_유동자산,2020_유동자산,2021_유동자산,2018_유동부채,2019_유동부채,2020_유동부채,2021_유동부채,2018_총자산,2019_총자산,2020_총자산,2021_총자산,2018_총부채,2019_총부채,2020_총부채,2021_총부채,2017_roa,2018_roa,2019_roa,2020_roa,2021_roa,2018_이익잉여금,2019_이익잉여금,2020_이익잉여금,2021_이익잉여금
123,고려아연,"68,833","66,948","75,819","99,768","39,659","45,979","49,129","56,890","5,384","7,043","11,184","17,705","72,259","78,406","84,996","99,640","8,514","10,022","14,126","22,298",9.4,7.5,8.5,7.0,8.8,"61,381","65,917","69,397","75,184"
124,고려제강,"15,772","16,397","13,974","16,914","9,494","9,162","8,578","10,778","6,901","6,405","5,873","6,012","23,875","23,466","22,457","24,743","9,304","8,758","7,828","8,362",0.9,0.1,-0.2,0.1,5.7,"13,933","13,408","13,443","14,872"
125,상상인증권,9,-5,29,53,697,829,799,818, , , , ,"4,998","4,714","5,133","5,825", , , , ,-15.3,22.9,47.7,6.3,24.2,90,5,5,0
126,광동제약,"11,802","12,383","12,438","13,382","4,591","5,260","5,845","5,878","2,714","3,084","3,022","3,255","7,321","7,928","8,306","8,838","3,012","3,453","3,285","3,566",3.3,3.0,3.0,5.6,3.0,"3,495","3,693","4,118","4,332"
127,광명전기,"1,126","1,319","1,235","1,371",700,871,"1,030","1,126",363,451,499,491,"1,518","1,567","1,659","1,699",531,513,561,548,-1.4,1.8,4.6,2.8,3.5,462,539,586,641
128,광전자,"1,769","1,662","1,502","1,738","1,308","1,275","1,183","1,210",232,226,247,218,"2,621","2,603","2,434","2,390",377,379,421,283,1.2,2.5,1.3,-6.5,4.3,524,523,328,444
131,교보증권,"1,138","1,260","1,572","1,848","6,502","9,383","11,517","17,049", , , , ,"73,412","79,239","101,111","114,838", , , , ,8.7,8.3,15.7,7.6,3.5,0,0, , 
132,국도화학,"12,806","11,214","11,327","15,771","4,512","4,387","4,536","8,046","2,696","2,309","2,475","4,820","8,544","9,054","9,306","14,164","3,548","3,709","3,783","6,014",5.7,5.7,4.0,3.4,13.4,"4,295","4,670","4,880","6,392"
133,국동,"2,196","2,231","2,534","2,270",838,895,"1,330","1,031",632,429,843,526,"1,230","1,333","1,807","1,685",750,688,969,661,-7.8,2.6,-3.1,6.8,-4.6,86,60,159,60
134,국보,716,891,"1,099",969,118,705,506,595,281,753,534,612,482,"1,154",908,"1,023",348,868,600,705,-3.7,-6.6,-8.2,-19.9,-18.3,-72,-137,-292,-467
135,국제약품,"1,077","1,111","1,304","1,197",546,611,499,482,482,593,554,545,"1,262","1,346","1,456","1,398",575,736,751,712,0.8,1.7,-3.7,1.6,-1.1,79,5,31,11
136,극동유화,"8,309","7,956","6,229","9,648","1,268","1,185","1,113","1,459",689,807,825,"1,122","2,801","2,899","2,927","3,219","1,202","1,206","1,199","1,399",6.6,5.9,5.0,2.5,3.6,"1,460","1,548","1,569","1,646"
137,금강공업,"5,679","5,497","5,019","5,705","3,629","3,886","3,068","3,553","4,223","4,442","3,523","4,053","8,528","8,340","7,792","8,687","4,986","4,881","4,259","4,820",3.6,1.9,-0.6,0.3,2.7,"2,396","2,276","2,281","2,479"
138,금비,"2,014","2,193","2,286",565,"1,056",991,927,935,565,814,793,730,"2,602","3,340","3,379","3,396",966,"1,765","1,760","1,803",4.1,4.1,-1.2,1.5,-1.4,913,866,895,878
139,금양,"2,054","1,727","1,762","2,177","1,294","1,303","1,264","1,951","1,146","1,402",804,"1,278","2,048","2,242","2,199","3,148","1,253","1,559","1,401","1,974",9.9,10.1,-5.1,-1.8,5.0,403,262,224,355
140,금호건설,"13,767","15,977","18,296","20,651","6,189","10,143","7,816","9,891","6,397","7,631","8,314","8,699","11,822","13,374","13,772","17,360","8,259","9,609","9,870","10,832",7.5,0.0,0.9,2.0,9.5,"2,086","2,018","2,044","3,341"
141,금호석유,"55,849","49,615","48,095","84,618","13,487","12,614","17,055","34,452","17,589","12,756","12,102","23,603","46,167","45,380","50,273","81,157","22,686","19,085","18,780","30,328",4.8,10.9,6.4,12.2,29.9,"19,246","21,867","27,274","45,651"
142,금호에이치티,"2,093","2,511","2,196","2,340","1,555","2,049","2,049","1,918",867,"1,325","1,201","1,047","2,384","3,221","3,443","4,588","1,135","1,494","1,212","1,080",3.2,4.0,0.0,-3.0,-4.4,874,885,792,602
143,금호전기,636,592,450,416,613,355,457,652,"1,112",492,594,630,"1,703",731,678,839,"1,356",562,635,655,-4.6,-7.2,-27.3,-34.6,-13.0,-302,-493,-280,-181
144,금호타이어,"25,587","23,692","21,707","26,012","13,458","10,867","11,704","15,669","12,209","9,377","9,504","15,005","42,214","39,295","38,462","43,422","28,797","26,368","26,786","30,606",-2.3,-4.4,-1.1,-2.1,-1.8,"-3,138","-3,737","-4,822","-5,633"
145,기신정기,"1,190","1,247","1,285",970,"1,294","1,378","1,444","1,496",101,133,145,130,"2,458","2,517","2,596","2,624",121,144,155,142,4.1,6.2,3.5,3.8,3.6,"1,960","2,015","2,059","2,087"
146,기아,"541,698","581,460","591,681","698,624","197,118","215,554","260,934","292,055","148,347","172,766","210,976","215,626","517,866","553,448","604,904","668,500","245,431","263,667","305,988","319,374",1.9,2.2,3.4,2.6,7.5,"247,117","260,562","271,734","316,829"
149,깨끗한나라,"6,263","5,942","5,916","5,787","1,663","1,154","1,192","1,323","3,281","2,464","1,812","1,640","5,994","5,383","5,631","5,987","4,247","3,758","3,462","3,692",-4.1,-5.7,-2.1,7.0,1.4,-407,-533,435,501
150,에이프로젠 MED,510,782,"1,271","1,412","1,413","3,471","4,345","4,843",998,"1,087",851,"1,108","3,952","6,472","8,343","8,241","1,996","1,296","1,443","1,197",1.4,-9.7,3.5,-4.4,-1.5,-283,-390,-854,"-1,053"
151,남광토건,"1,572","2,362","2,380","3,567",990,"1,419","1,275","2,058",938,"1,403","1,309","1,712","1,489","2,026","2,040","2,740",998,"1,497","1,377","1,862",1.0,3.6,2.2,6.8,9.1,157,196,328,545
152,남선알미늄,"3,478","3,248","2,685","2,303","1,290","1,203","1,124","1,165",909,730,637,693,"3,030","2,955","2,952","3,552","1,343","1,164","1,056","1,193",7.7,8.6,4.8,3.6,12.8,"1,086","1,226","1,332","1,771"
153,남성,833,730,925,"1,023",781,814,850,"1,265","1,040",880,970,"1,197","2,051","2,048","2,330","2,888","1,223","1,189","1,265","1,702",0.7,-1.8,-1.1,-4.6,2.7,504,477,622,688
154,남양유업,"10,797","10,308","9,489","9,561","6,287","5,469","5,078","4,800","1,487","1,007",974,969,"10,527","10,564","10,011","9,374","1,638","1,441","1,279","1,244",0.5,0.2,2.8,-5.1,-6.1,"9,059","9,293","8,903","8,300"
155,비비안,"2,114","1,967","1,833","1,879",792,703,"1,034",886,324,234,342,269,"1,411","1,333","1,890","1,982",365,320,988,949,-1.1,-4.0,-1.8,-32.4,-1.7,769,736,206,174
156,남해화학,"12,427","11,872","10,098","14,519","3,410","3,738","3,831","5,033","1,084","1,267","1,188","2,321","5,479","5,811","5,894","7,191","1,232","1,472","1,365","2,475",4.9,1.5,2.8,4.3,3.3,"3,375","3,467","3,652","3,795"
157,넥센,"13,600","22,913","19,685","24,039","11,105","12,054","13,440","16,455","7,177","6,857","8,491","11,529","38,251","40,980","42,392","45,723","19,423","20,577","21,979","24,555",8.0,3.6,3.3,0.0,0.7,"7,841","8,569","8,712","9,068"
158,넥센타이어,"19,840","20,223","16,981","20,794","9,835","10,886","12,003","14,760","6,350","6,184","7,668","10,417","32,423","34,361","35,411","38,234","18,141","18,781","19,941","22,235",4.6,3.4,3.6,-0.5,0.1,"12,914","14,103","14,007","14,215"
159,넷마블,"20,213","21,787","24,848","25,069","25,906","25,601","18,207","19,626","5,870","6,646","16,335","30,562","54,330","58,061","82,234","106,638","8,815","11,577","25,728","46,561",9.9,4.0,3.0,4.8,2.6,"7,610","9,145","12,262","22,346"
160,노루페인트,"6,147","6,475","6,429","7,309","2,396","2,637","3,030","3,038","1,961","1,949","2,544","2,099","6,074","6,273","6,667","6,706","2,996","3,050","3,328","3,257",5.1,2.1,3.1,2.8,2.2,"1,938","2,075","2,202","2,290"
161,노루홀딩스,"8,360","8,843","8,480","9,552","4,491","4,528","4,849","4,951","2,725","2,714","3,359","3,083","9,871","10,074","10,511","10,555","4,256","4,399","4,731","4,720",6.3,0.3,2.0,2.8,1.0,"3,024","3,011","3,113","3,083"
162,녹십자,"13,349","13,571","15,041","15,378","8,934","9,618","11,320","10,956","3,035","4,014","5,894","5,529","17,234","19,593","21,514","24,621","5,972","7,752","8,821","9,624",3.5,2.0,-0.6,4.3,5.9,"7,018","6,795","7,573","8,674"
163,녹십자홀딩스,"15,487","14,936","17,193","18,406","11,446","11,237","15,358","14,249","6,618","6,763","11,028","9,259","26,286","27,739","32,412","34,968","11,755","12,673","15,677","15,861",2.9,0.8,-1.1,6.0,3.8,"7,578","7,453","9,063","9,452"
164,농심,"22,364","23,439","26,398","26,630","10,538","10,786","10,744","10,887","5,222","5,850","5,221","5,373","25,323","26,531","27,255","28,999","6,345","7,123","6,766","6,991",3.7,3.4,2.7,5.5,3.5,"18,425","18,780","20,007","20,831"
165,농심홀딩스,"5,432","5,367","5,836","6,415","2,132","2,208","2,082","2,292","2,316","2,477","2,290","2,407","11,948","12,165","12,481","13,286","2,989","2,944","2,746","2,897",3.5,4.0,3.0,5.6,3.8,"6,159","6,380","6,951","7,362"
166,다우기술,"22,024","29,018","47,329","60,870","142,703","205,307","344,794","386,423","102,939","131,624","199,048","222,258","193,457","247,416","386,222","463,224","169,051","220,774","353,771","417,060",2.1,1.4,1.8,2.1,2.2,"8,897","10,586","13,158","16,672"
167,키다리스튜디오,196,267,455,"1,191",72,223,253,800,20,82,202,649,187,420,482,"2,901",21,210,210,674,-10.3,0.7,7.5,0.2,2.1,68,92,92,132
169,대교,"7,631","7,619","6,270","6,384","2,852","2,726","2,202","2,249","1,522","1,788","1,779","1,835","8,303","9,199","8,452","8,136","2,135","3,066","2,863","2,972",4.9,2.3,2.0,-2.1,-5.1,"5,757","5,725","5,445","4,984"
170,대구백화점,"1,200","1,015",911,818,"1,347","1,826",351,"1,404","1,625","3,227","1,627","1,546","7,002","6,736","5,087","4,866","3,903","3,874","2,463","2,326",-2.2,-4.2,-2.8,-3.0,-1.2,"1,925","1,725","1,539","1,515"
172,대덕,"5,921", ,34,"13,717","5,310","5,225","6,096","7,264","1,405","1,469","2,435","2,439","11,369","12,019","16,387","17,240","1,530","1,621","2,925","3,511",6.1,30.4,5.5,10.4,3.3,"6,759","7,168","8,428","3,498"
173,대동,"6,548","8,344","8,958","11,792","4,478","4,737","4,664","6,882","4,308","4,815","4,971","6,917","7,727","8,274","9,387","12,606","5,552","6,085","6,104","8,747",1.4,0.2,0.3,2.4,3.2,"1,848","1,845","2,019","2,353"
174,대동전자,480,450,398,336,736,791,812,845,136,114,140,68,"1,710","1,790","2,050","2,087",331,320,410,346,0.4,2.1,2.6,1.7,5.1,"1,037","1,080","1,071","1,149"
175,대림B&Co,"2,472","2,364","2,324","2,604","1,142","1,138","1,268","1,116",753,683,796,"1,079","3,017","3,092","3,263","3,266","1,416","1,498","1,685","1,692",2.2,1.3,0.7,-0.6,0.3,"1,328","1,323","1,294","1,274"
176,DL,"109,845","16,604","15,661","23,854","63,666","67,397","93,278","25,127","45,300","42,714","83,677","14,609","128,337","134,452","139,019","83,230","67,835","67,085","106,905","37,927",3.9,5.2,5.4,4.2,7.9,"47,930","53,299","57,714","65,885"
177,삼일씨엔에스,"2,056","1,955","1,861","2,266","1,771","1,484","1,255","1,278",519,454,390,549,"3,389","3,372","3,264","3,519",624,584,490,748,1.2,-2.1,0.8,-0.3,-0.9,"1,897","1,919","1,905","1,875"
178,대림통상,"2,013","1,836","1,566","1,552","1,178","1,026",849,918,891,666,640,818,"1,993","1,795","1,597","1,658",925,878,832,897,-1.9,-0.6,-6.2,-7.6,0.2,176,30,-126,-81
179,대상,"29,568","29,640","31,132","34,700","9,049","10,778","13,022","15,234","7,385","7,951","7,815","9,538","21,990","23,896","25,283","28,705","12,703","13,749","14,268","16,233",2.3,2.9,4.8,5.2,5.4,"6,510","7,226","8,275","9,474"
180,대상홀딩스,"33,980","35,525","37,543","42,060","10,812","12,713","15,550","18,226","8,396","9,321","9,423","12,071","26,296","28,888","30,602","36,261","15,348","16,870","17,342","21,350",2.2,1.7,5.0,5.5,4.3,"2,390","2,975","3,790","4,215"
181,대성산업,"9,455","8,699","8,324","11,291","1,829","1,873","2,085","3,185","3,342","3,602","2,216","2,465","10,928","10,324","11,017","16,524","6,414","6,451","6,157","11,915",20.1,-0.6,-5.9,4.5,-2.8,"3,484","2,834","3,366","2,842"
182,대성에너지,"7,710","7,749","7,432","7,704","2,129","2,107","2,030","2,327","2,173","2,299","2,776","2,477","6,539","6,972","7,021","7,425","3,519","3,907","3,877","4,251",2.3,2.0,1.9,2.0,1.7,689,738,828,880
183,대성홀딩스,"9,098","9,186","8,843","9,405","3,447","3,034","3,149","3,466","3,064","3,259","3,562","2,865","11,173","11,358","11,811","12,440","5,847","5,960","5,995","6,471",2.9,2.1,1.6,4.1,2.0,"3,978","4,017","4,416","4,536"
184,대신증권,"2,042","1,570","1,833","2,325","21,276","23,576","41,391","41,325", , , , ,"191,513","194,373","215,038","227,632", , , , ,22.5,11.1,48.7,16.8,11.1,317,326,291,315
187,대우건설,"106,055","86,519","81,367","86,852","52,796","60,494","59,731","71,489","49,929","50,847","49,364","50,490","87,338","96,977","93,059","104,580","64,161","72,094","66,289","72,416",2.8,3.4,2.2,3.0,4.9,-138,"1,886","5,078","9,747"
189,대우조선해양,"96,444","83,587","70,302","44,866","73,500","68,711","59,532","64,811","53,568","48,075","51,627","74,645","119,185","112,761","103,208","106,232","80,783","75,212","64,518","84,056",4.9,2.7,-0.4,0.8,-16.2,"6,470","5,584","6,753","-10,013"
190,대웅,"12,313","13,657","13,553","15,114","7,342","7,578","8,363","8,480","3,825","2,949","3,678","5,140","15,922","16,709","18,375","19,337","6,279","6,548","7,206","7,767",5.7,2.1,4.3,6.8,5.3,"4,261","4,772","5,722","6,469"
191,대웅제약,"10,314","11,134","10,554","11,530","5,157","5,263","5,284","5,249","3,674","2,621","3,268","4,607","12,078","12,457","13,669","14,152","6,000","6,097","6,717","7,128",3.0,-1.3,2.4,1.9,2.2,"4,229","4,454","4,528","4,711"
192,대원강업,"9,954","9,602","8,612","8,622","3,522","3,219","3,296","3,468","3,796","3,720","3,638","3,425","10,858","10,480","10,179","9,830","5,150","4,607","4,458","4,060",2.1,2.1,2.0,-0.3,-0.3,"4,305","4,410","4,251","4,171"
193,대원전선,"4,295","4,013","3,673","4,750","1,473","1,426","1,420","1,949",992,950,935,"1,416","1,915","1,896","1,920","2,406","1,101","1,092","1,066","1,529",0.7,0.6,-0.4,1.2,0.6,433,421,441,457
194,대원제약,"2,867","3,178","3,085","3,542","1,067","1,215","1,173","1,804",577,617,560,"1,021","2,754","3,275","3,352","4,296",922,"1,233","1,224","2,112",4.7,9.3,8.9,5.2,1.7,"1,678","1,883","2,005","2,048"
195,대원화성,"1,146","1,331","1,088","1,133",748,616,620,721,445,399,470,565,"1,248","1,305","1,298","1,358",516,511,538,648,1.2,0.9,4.6,-1.7,-5.3,295,352,337,264
196,대유에이텍,"11,102","12,850","14,669","16,558","3,822","5,335","5,539","6,476","5,512","7,164","7,256","9,218","8,896","11,173","11,665","13,210","7,192","8,813","9,272","11,313",0.4,-4.5,1.8,1.9,-0.2,-154,-35,-80,-249
197,대유플러스,"5,034","4,573","4,529","5,120","2,455","8,486","1,991","3,197","1,989","8,712","2,874","3,405","10,000","10,891","4,731","5,944","8,631","9,282","3,522","4,555",-0.4,1.9,2.0,-0.7,0.4,-507,-405,-475,-480
198,대창,"9,513","8,990","9,336","12,776","3,082","3,236","3,529","4,963","2,950","3,259","3,051","3,676","5,694","5,761","6,203","8,107","3,536","3,611","3,989","5,366",2.5,2.2,0.8,1.2,3.7,771,785,844,"1,101"
199,대창단조,"3,205","2,773","2,645","3,544","1,586","1,621","1,716","1,970",374,329,346,522,"2,290","2,386","2,472","2,985",477,481,500,713,6.1,5.6,6.7,6.1,10.3,"1,599","1,722","1,827","2,072"
200,대한방직,"2,090","1,563","1,752","2,004","1,672",897,963,"1,109",682,573,497,645,"2,675","1,977","2,138","2,326",907,717,775,931,-2.6,4.0,-6.9,1.3,0.7,"1,445","1,270","1,289","1,309"
201,대한유화,"25,540","20,743","18,827","25,149","4,287","4,642","6,052","9,706","1,348",914,690,"3,075","19,839","20,265","21,276","24,789","2,828","2,479","2,334","4,497",11.5,13.0,5.3,6.1,6.5,"14,016","14,791","15,948","17,280"
202,대한전선,"16,488","15,547","15,968","19,977","6,318","7,186","7,215","9,392","3,667","8,822","8,009","7,578","11,729","12,351","11,995","14,209","8,510","9,224","8,398","10,331",-3.4,-0.5,-1.1,0.2,2.2,"2,093","1,897","1,932","2,229"
203,대한제강,"11,338","10,217","10,961","20,303","3,498","2,990","5,812","8,113","1,947","1,519","3,743","4,874","6,571","6,352","9,449","12,324","2,222","1,732","3,965","5,122",4.2,-2.5,4.6,6.7,15.0,"4,086","4,345","4,776","6,141"
204,대한제당,"12,084","12,044","12,145","12,613","5,065","5,224","5,330","5,725","3,894","4,043","3,913","4,233","11,354","11,431","11,462","11,823","6,835","6,788","6,677","6,711",0.9,0.9,1.3,2.0,1.7,"2,379","2,478","2,635","2,793"
205,대한제분,"8,646","9,339","9,702","11,113","4,680","4,310","4,739","6,839","1,543","1,783","2,307","3,801","9,197","10,051","10,849","13,216","1,707","2,453","3,041","4,410",5.9,5.7,1.8,2.0,7.3,"6,887","6,999","7,206","8,349"
206,대한항공,"130,116","123,843","76,105","90,168","37,500","35,747","40,025","66,410","75,568","87,773","79,878","84,449","258,425","270,141","251,901","266,719","226,799","242,333","218,783","198,062",3.3,-0.6,-2.4,-0.9,2.2,"2,126","-3,458","-5,225","1,101"
207,대한해운,"12,846","10,057","8,841","11,538","4,984","4,196","4,312","5,023","7,813","7,754","5,967","3,902","29,329","33,409","33,456","38,597","21,534","24,457","24,923","23,416",4.3,2.8,3.2,0.8,8.5,"3,302","3,936","4,024","6,526"
211,더존비즈온,"2,269","2,627","3,065","3,187","1,493","1,020","1,440","2,251",891,951,"1,246","3,854","2,787","7,270","8,041","9,003",965,"3,640","4,061","3,986",15.5,15.4,10.2,7.6,6.4,"1,451","1,809","2,149","2,533"
212,덕성,837,867,"1,177","1,152",584,609,608,752,280,334,344,369,"1,006","1,029","1,050","1,253",377,399,388,403,0.5,-2.0,0.2,3.5,5.1,464,466,499,552
213,덕양산업,"12,922","13,594","12,920","13,482","3,287","3,036","3,052","3,167","3,664","4,006","4,075","4,001","5,263","5,096","5,130","5,236","4,490","4,470","4,573","4,598",0.3,-0.5,-3.2,-1.8,0.3,72,-68,-111,-42
214,덴티움,"1,863","2,526","2,297","2,915","1,699","2,258","1,953","2,403","1,404","1,747","1,933","1,802","4,368","5,471","5,102","5,702","2,421","3,406","2,816","2,791",12.2,9.2,2.8,4.2,10.3,"1,597","1,721","1,950","2,477"
216,도화엔지니어링,"4,025","5,161","5,749","5,774","1,561","1,755","2,041","2,286","1,233","1,442","1,624","1,930","3,759","4,090","4,517","5,002","1,272","1,564","1,948","2,333",3.7,3.9,4.4,4.2,3.2,"2,028","2,102","2,171","2,237"
217,케이비아이동국실업,"6,509","6,156","5,308","5,214","2,034","2,111","2,236","2,140","3,406","3,386","3,333","3,126","5,703","5,597","5,661","5,680","3,909","3,833","3,964","3,979",-7.0,-1.8,0.1,-2.0,-4.2,"1,386","1,362","1,261","1,041"
218,동국제강,"59,649","56,584","52,062","72,403","21,739","19,408","18,462","26,828","32,291","28,493","28,058","31,192","57,302","54,390","54,185","63,341","36,980","34,939","32,823","35,517",0.1,-5.2,-1.5,1.3,9.5,"4,838","4,003","4,485","9,815"
220,동방,"5,264","6,330","5,921","5,959","1,318","1,829","1,284","1,425","3,277","3,739","2,546","1,744","5,541","6,284","5,268","5,313","4,239","5,128","4,101","3,998",-1.7,2.9,-1.5,2.3,-0.1,277,157,299,280
221,동방아그로,"1,211","1,246","1,295","1,341","1,262","1,340","1,390","1,543",276,312,333,454,"1,857","1,940","1,960","2,045",527,569,542,574,3.4,3.4,3.4,3.5,3.5,"1,314","1,350","1,373","1,401"
222,동부건설,"8,982","11,554","11,722","11,449","4,421","5,733","5,412","7,816","2,476","3,617","2,614","4,107","7,138","8,919","9,542","12,620","3,519","4,713","4,944","7,023",14.7,11.0,7.5,4.8,10.5,"1,704","2,180","2,561","3,532"
223,KG스틸,"25,451","24,283","23,424","33,548","8,859","7,608","6,492","11,232","10,191","6,418","4,760","8,156","25,061","23,553","22,577","27,711","24,996","14,658","12,850","16,209",-10.0,-2.6,-1.4,2.9,7.6,"-8,863","-9,215",719,"2,495"
226,동서,"5,635","5,054","4,930","5,353","7,127","7,298","7,555","7,804",585,571,559,587,"14,322","14,783","15,258","15,826","1,420","1,272","1,285","1,340",9.3,8.5,9.7,8.0,7.4,"11,610","12,269","12,755","13,226"
228,동성케미컬,"8,131","8,498","8,640","9,260","3,337","3,899","3,498","3,944","3,311","3,020","3,024","3,165","8,081","8,505","7,979","8,188","4,074","4,321","3,707","3,618",-0.7,-0.6,3.0,4.5,5.2,932,897,863,923
229,동성화학,"2,043","1,914","2,010","1,824","1,112","1,109","1,166","1,221",701,613,539,352,"1,902","1,841","1,886","1,881",798,712,648,472,8.6,2.6,2.9,7.3,15.0,590,771,876,"1,064"
230,동아쏘시오홀딩스,"7,075","7,697","7,833","8,819","2,917","3,153","3,294","3,586","3,199","4,144","3,484","4,673","12,419","13,586","15,111","16,914","5,062","6,117","6,224","7,063",2.3,-12.1,1.5,11.3,3.8,"4,780","4,846","6,394","6,939"
231,다스코,"2,408","2,162","2,245","3,636","1,277","1,205","1,174","1,588",753,810,857,"1,226","2,124","2,147","2,495","2,985",857,914,"1,301","1,732",9.7,8.3,0.9,-3.4,-0.2,988,971,892,866
232,동아에스티,"5,674","6,123","5,867","5,932","4,265","4,533","4,622","5,310","2,690","2,161","1,477","2,755","9,487","10,088","9,807","11,160","3,693","3,629","3,386","4,596",-0.6,0.9,7.3,2.7,1.2,"1,026","1,634","1,734","1,804"
233,동아지질,"3,607","3,809","3,146","2,895","2,104","2,178","2,433","2,396","1,090","1,266","1,360","1,450","2,848","3,223","3,348","3,508","1,100","1,284","1,433","1,464",6.2,6.9,6.3,0.6,1.4,"1,274","1,435","1,442","1,490"
234,동아타이어,"1,613","1,560","1,432","1,796",753,876,921,"1,172",252,284,275,421,"3,690","3,858","3,958","4,206",289,289,290,501, ,4.5,6.6,3.4,4.1,134,350,427,485
235,동양,"5,297","5,391","6,029","6,996","4,122","3,882","3,523","4,137","1,229","1,638","1,806","1,869","9,776","10,174","9,968","10,072","1,434","1,983","2,172","2,232",1.6,0.3,-0.2,-2.9,1.1,"1,490","1,368","1,071","1,176"
236,동양고속,"1,323","1,405",835,812,356,283,93,177,595,322,417,624,"1,959","1,868","1,679","1,688",833,546,608,843,-0.8,0.7,17.1,-9.3,-14.2,506,729,488,265
237,비케이탑스,700,116,99,129,"1,001",180,127,432,976,536,409,713,"1,906",986,692,"1,131","1,022",571,462,944,-20.5,-8.0,-27.4,-58.8,-32.4,-498,-971,"-1,459",-996
238,TYM,"5,899","6,174","7,133","8,415","3,616","3,943","4,067","4,101","3,235","3,941","3,863","3,810","5,815","6,286","6,569","7,074","4,773","4,815","4,861","4,582",-4.1,-4.1,0.9,1.0,5.8,453,490,533,813
240,동양철관,"1,620","1,634","1,738","1,820",808,794,695,"1,017",794,758,596,929,"1,636","1,642","1,534","1,860",846,844,659,"1,019",-19.7,-4.2,1.1,4.4,-2.2,-325,-316,-237,-275
241,동양피스톤,"3,322","3,648","3,215","3,546","1,373","1,599","1,548","1,698","1,697","1,775","1,962","1,746","3,176","3,503","3,461","3,626","2,221","2,421","2,505","2,494",3.2,3.8,3.0,-2.0,2.2,701,800,720,788
242,넥스트사이언스,132,300,354,450,879,580,411,603,624,314,317,458,"1,600","1,294","1,308","1,639",876,483,571,505,-1.1,-10.1,-15.8,-22.7,-8.9,-251,-485,-788,-895
243,동원F&B,"28,025","30,303","31,703","34,906","6,314","6,790","7,018","9,207","3,417","5,164","4,499","6,913","14,036","15,735","16,839","19,357","7,711","8,923","9,370","11,369",4.2,4.1,4.4,4.8,3.8,"5,260","5,801","6,465","7,025"
244,동원금속,"4,586","4,566","3,695","2,833","1,293","1,708","1,592","1,383","3,125","3,205","3,123","2,868","4,880","5,110","4,689","4,418","4,434","4,414","4,369","3,947",-2.4,-3.5,3.4,-5.7,3.5,29,233,-138,-19
245,동원산업,"24,446","26,826","28,573","28,022","10,090","12,018","11,833","12,891","8,558","9,517","10,607","8,464","25,922","29,860","31,060","30,519","16,186","19,076","18,109","15,650",7.5,2.8,1.8,8.0,5.6,"9,204","9,552","11,884","13,399"
246,동원수산,"1,420","1,640","1,454","1,446",583,662,676,668,258,274,350,323,954,987,982,"1,009",506,478,500,439,5.1,1.4,6.0,-3.4,7.4,63,115,86,162
247,동원시스템즈,"10,263","10,424","10,785","12,509","4,649","4,218","4,538","6,385","3,687","2,165","4,507","5,149","11,241","11,546","12,558","14,920","5,875","5,808","6,394","8,266",6.8,5.5,4.1,5.1,3.5,"1,909","2,162","2,548","2,792"
248,동일고무벨트,"2,630","2,619","2,432","2,775","1,549","1,535","1,504","1,694",817,715,593,884,"2,848","2,814","2,758","3,138",978,879,759,"1,048",0.4,3.7,2.9,2.6,2.1,783,845,908,943
249,DI동일,"9,093","6,849","6,797","8,131","3,189","2,565","2,635","3,495","3,221","2,650","2,389","3,065","9,476","8,884","8,826","9,931","4,350","3,930","3,659","4,196",-0.4,1.5,1.5,2.7,4.9,"5,074","5,052","5,219","5,609"
250,동일산업,"3,910","3,547","3,333","4,644","2,993","2,741","2,810","3,142",485,392,422,619,"4,097","4,049","4,175","4,738",548,510,570,717,6.1,3.9,0.9,2.0,9.8,"3,422","3,422","3,488","3,904"
252,동화약품,"3,066","3,072","2,721","2,930","2,279","2,355","2,227","2,202",608,557,675,665,"3,706","3,764","4,338","4,478",732,766,911,877,13.6,2.7,2.4,7.1,4.4,"2,431","2,456","2,702","2,903"
253,두산,"174,493","180,416","114,285","132,042","115,859","110,480","125,983","98,953","133,169","162,058","158,082","120,064","288,803","291,697","302,010","260,099","217,352","223,502","224,354","175,128",0.2,-1.2,1.5,-3.3,2.3,"9,601","12,507","11,593","14,681"
254,두산건설,"13,342","15,359","15,478","12,173","12,403","10,042","9,018","8,779","17,067","15,395","19,114","14,129","30,300","28,456","23,991","23,112","19,654","18,802","20,314","16,635",-11.1,-9.8,-6.3,-21.0,-1.3,"-1,284","5,986",-154,-538
255,두산밥캣,"39,708","45,096","42,821","58,162","16,837","15,196","18,620","26,459","9,635","11,391","10,117","14,982","64,463","67,042","69,606","85,809","27,067","27,252","28,868","42,596",4.4,4.2,4.1,3.6,5.0,"9,991","13,896","14,610","20,467"
256,HSD엔진,"5,113","6,743","8,300","5,990","2,818","3,802","2,766","3,449","4,903","6,207","4,976","4,311","7,434","8,301","7,233","7,956","5,124","6,416","5,292","5,865",-0.8,-1.9,-5.3,0.8,-5.2,61,-359,-296,-708
257,현대두산인프라코어,"77,301","81,858","39,881","45,937","44,268","43,049","50,496","32,398","37,786","44,844","38,826","27,688","110,292","113,386","120,269","47,823","72,084","70,710","75,379","34,125",2.9,3.7,3.5,2.4,6.8,"10,492","12,579","14,081","18,791"
