name,18_score,19_score,20_score,21_score,Sector,19-18,21-20
아모레퍼시픽,25.47,16.67,5.38,14.17,기타 화학제품 제조업,-8.8,8.79
메타랩스,-58.59,-79.99,-71.12,-58.23,봉제의복 제조업,-21.4,12.89
아세아,15.9,12.63,11.37,24.05,회사 본부 및 경영 컨설팅 서비스업,-3.27,12.68
아세아시멘트,5.06,6.05,5.41,17.7,시멘트,0.99,12.29
아세아제지,35.69,27.27,23.91,35.87,골판지,-8.42,11.96
아시아나항공,-6.91,-24.56,-12.25,-12.54,항공 여객 운송업,-17.65,-0.29
아이마켓코리아,10.03,11.6,12.07,16.85,상품 종합 도매업,1.57,4.78
아이에스동서,38.32,10.98,15.9,11.67,내화,-27.34,-4.23
HDC랩스,31.78,-3.68,27.09,12.18,전기 및 통신 공사업,-35.46,-14.91
알루코,2.67,-2.06,-13.11,2.09,1차 비철금속 제조업,-4.73,15.2
애경케미칼,40.67,24.92,33.18,31.21,기초 화학물질 제조업,-15.75,-1.97
에넥스,5.83,-5.19,-21.52,29.39,가구 제조업,-11.02,50.91
에스엘,7.68,17.34,12.17,15.79,자동차 신품 부품 제조업,9.66,3.62
에스원,25.03,31.84,29.37,26.17,경비,6.81,-3.2
에쓰씨엔지니어링,-9.75,-3.01,-1.36,-27.67,토목 건설업,6.74,-26.31
에이블씨엔씨,-5.48,-5.39,-91.02,-65.14,기타 화학제품 제조업,0.09,25.88
에이프로젠제약,-0.81,8.54,34.64,26.26,의약품 제조업,9.35,-8.38
엔씨소프트,47.51,41.52,56.29,33.26,소프트웨어 개발 및 공급업,-5.99,-23.03
엔케이,-42.03,-48.78,1.31,29.81,구조용 금속제품,-6.75,28.5
플레이그램,-76.41,-7.42,27.21,-59.19,기타 전문 도매업,68.99,-86.4
영보화학,15.33,13.53,10.19,12.32,플라스틱제품 제조업,-1.8,2.13
영원무역,17.58,22.78,22.49,36.92,상품 종합 도매업,5.2,14.43
영원무역홀딩스,19.58,24.16,23.53,40.0,기타 금융업,4.58,16.47
영풍,6.73,17.92,9.11,13.72,1차 비철금속 제조업,11.19,4.61
영풍제지,39.84,27.7,19.02,12.93,골판지,-12.14,-6.09
영흥,-3.89,3.33,-21.72,9.05,1차 철강 제조업,7.22,30.77
예스코홀딩스,-6.54,6.73,-14.83,7.76,기타 금융업,13.27,22.59
오뚜기,31.14,18.56,19.19,20.37,기타 식품 제조업,-12.58,1.18
오리엔트바이오,-71.25,-50.95,-68.13,21.08,의약품 제조업,20.3,89.21
오리온홀딩스,11.16,14.47,19.02,18.73,기타 금융업,3.31,-0.29
웰바이오텍,-52.85,-46.24,-236.63,-62.77,상품 중개업,6.61,173.86
용평리조트,4.95,-4.87,-6.09,4.16,일반 및 생활 숙박시설 운영업,-9.82,10.25
팜젠사이언스,20.33,2.77,27.95,61.75,의약품 제조업,-17.56,33.8
우리들휴브레인,-81.22,-23.17,35.94,17.93,기계장비 및 관련 물품 도매업,58.05,-18.01
우성,-2.56,15.06,8.92,-3.14,곡물가공품,17.62,-12.06
우신시스템,-2.92,7.31,-13.2,-12.21,특수 목적용 기계 제조업,10.23,0.99
우진,-10.09,-20.39,52.95,-6.11,측정,-10.3,-59.06
우진플라임,-13.77,-15.43,10.51,28.67,특수 목적용 기계 제조업,-1.66,18.16
웅진,-40.83,-42.59,-3.71,11.42,기타 금융업,-1.76,15.13
웅진씽크빅,14.63,-31.41,2.47,22.65,초등 교육기관,-46.04,20.18
원림,4.25,12.14,38.97,9.23,직물직조 및 직물제품 제조업,7.89,-29.74
윌비스,-5.68,-40.09,-1.92,-8.69,생활용품 도매업,-34.41,-6.77
유니드,13.12,23.57,26.49,52.63,기초 화학물질 제조업,10.45,26.14
유니온,-57.77,-11.73,16.4,11.19,시멘트,46.04,-5.21
유니온머티리얼,-18.47,6.27,-1.26,2.48,내화,24.74,3.74
유니켐,38.31,38.67,17.16,4.43,가죽,0.36,-12.73
유니퀘스트,14.53,24.98,21.54,49.11,기계장비 및 관련 물품 도매업,10.45,27.57
유성기업,10.02,20.23,0.99,11.87,자동차 신품 부품 제조업,10.21,10.88
유수홀딩스,17.93,0.79,44.51,30.57,회사 본부 및 경영 컨설팅 서비스업,-17.14,-13.94
와이투솔루션,-48.78,-35.82,-92.23,-25.37,반도체 제조업,12.96,66.86
유엔젤,16.13,-31.34,-4.64,92.64,자료처리,-47.47,97.28
유유제약,13.67,15.97,8.83,0.85,의약품 제조업,2.3,-7.98
유한양행,12.92,9.88,31.83,17.83,의약품 제조업,-3.04,-14.0
율촌화학,10.51,12.4,13.39,6.6,플라스틱제품 제조업,1.89,-6.79
이건산업,6.39,1.99,2.79,11.05,나무제품 제조업,-4.4,8.26
이노션,20.24,18.21,15.29,15.32,광고업,-2.03,0.03
이마트,11.31,5.51,7.22,20.7,종합 소매업,-5.8,13.48
이수페타시스,-3.2,-64.15,-10.31,-1.68,전자부품 제조업,-60.95,8.63
이수화학,1.57,-5.36,-45.0,31.59,기초 화학물질 제조업,-6.93,76.59
이아이디,-15.65,3.18,-32.4,6.08,기타 전문 도매업,18.83,38.48
이엔플러스,-38.19,-108.46,-44.82,-65.7,일반 목적용 기계 제조업,-70.27,-20.88
이연제약,5.47,10.1,7.42,6.44,의약품 제조업,4.63,-0.98
이화산업,-0.46,-4.34,-3.02,74.13,기타 전문 도매업,-3.88,77.15
인디에프,2.88,-5.7,-48.77,-49.2,봉제의복 제조업,-8.58,-0.43
인스코비,-51.03,-147.22,47.54,18.91,전기 통신업,-96.19,-28.63
인지컨트롤스,2.68,-3.6,-0.05,3.2,자동차 신품 부품 제조업,-6.28,3.25
인천도시가스,17.65,12.88,13.74,6.54,연료용 가스 제조 및 배관공급업,-4.77,-7.2
인터지스,-7.77,-30.93,5.77,14.4,도로 화물 운송업,-23.16,8.63
인팩,4.72,-3.7,8.14,7.1,자동차 신품 부품 제조업,-8.42,-1.04
일동제약,9.19,-6.3,-5.44,-50.13,의약품 제조업,-15.49,-44.69
일동홀딩스,-3.41,-22.09,-11.86,-51.04,의약품 제조업,-18.68,-39.18
일성건설,4.25,3.39,4.38,7.18,토목 건설업,-0.86,2.8
일신방직,11.82,6.36,7.36,24.98,방적 및 가공사 제조업,-5.46,17.62
일양약품,3.83,16.26,17.77,20.1,의약품 제조업,12.43,2.33
일정실업,-30.68,-67.81,-23.94,-54.34,편조원단 제조업,-37.13,-30.4
일진다이아,19.27,24.63,13.26,12.29,기타 화학제품 제조업,5.36,-0.97
일진디스플,5.85,-69.32,-101.7,-124.76,반도체 제조업,-75.17,-23.06
일진머티리얼즈,23.78,21.35,16.67,18.01,전자부품 제조업,-2.43,1.34
일진전기,-4.85,3.18,3.55,7.67,절연선 및 케이블 제조업,8.03,4.12
일진홀딩스,1.68,7.79,6.19,9.89,기타 금융업,6.11,3.7
잇츠한불,17.43,10.56,6.14,4.32,기타 화학제품 제조업,-6.87,-1.82
자화전자,3.65,4.48,-1.73,20.98,전자부품 제조업,0.83,22.71
전방,-19.58,-35.31,5.98,0.94,방적 및 가공사 제조업,-15.73,-5.04
제이에스코퍼레이션,15.22,18.28,3.54,32.61,가죽,3.06,29.07
제이준코스메틱,-0.38,-173.7,-68.22,-156.41,기타 화학제품 제조업,-173.32,-88.19
제일기획,22.91,23.85,25.98,26.0,광고업,0.94,0.02
제일연마,21.64,25.93,17.4,26.02,기타 비금속 광물제품 제조업,4.29,8.62
제일파마홀딩스,5.98,-33.71,7.54,-3.02,회사 본부 및 경영 컨설팅 서비스업,-39.69,-10.56
제주항공,27.29,-7.79,-76.84,-74.04,항공 여객 운송업,-35.08,2.8
조광페인트,-2.33,-0.51,6.67,-21.18,기타 화학제품 제조업,1.82,-27.85
조선내화,21.6,12.86,13.3,10.54,내화,-8.74,-2.76
종근당,22.65,25.95,37.3,16.98,의약품 제조업,3.3,-20.32
종근당바이오,18.78,22.22,10.04,-5.6,의약품 제조업,3.44,-15.64
종근당홀딩스,24.0,29.53,34.4,8.72,의약품 제조업,5.53,-25.68
주연테크,-26.54,-23.59,-14.21,21.22,컴퓨터 및 주변장치 제조업,2.95,35.43
지엠비코리아,1.58,3.55,-3.16,9.15,자동차 신품 부품 제조업,1.97,12.31
지역난방공사,-12.25,-0.46,2.5,1.76,증기,11.79,-0.74
지코,17.17,-53.31,-53.33,-97.06,자동차 신품 부품 제조업,-70.48,-43.73
지투알,9.6,10.72,7.35,12.11,회사 본부 및 경영 컨설팅 서비스업,1.12,4.76
진도,14.03,-3.47,-1.38,11.69,기타 전문 도매업,-17.5,13.07
진양산업,19.59,46.92,29.79,30.13,플라스틱제품 제조업,27.33,0.34
진양폴리,10.74,66.09,14.6,29.82,플라스틱제품 제조업,55.35,15.22
진양홀딩스,5.6,17.41,21.21,11.2,플라스틱제품 제조업,11.81,-10.01
진원생명과학,-82.3,-50.21,-64.02,-24.51,의약품 제조업,32.09,39.51
참엔지니어링,6.74,-6.95,3.81,0.16,특수 목적용 기계 제조업,-13.69,-3.65
센트럴인사이트,7.53,-88.35,-107.45,-81.19,일반 목적용 기계 제조업,-95.88,26.26
체시스,-13.0,-15.7,-8.57,-21.25,자동차 신품 부품 제조업,-2.7,-12.68
카카오,2.63,-11.9,7.17,32.78,자료처리,-14.53,25.61
케이씨,151.29,33.82,28.14,26.55,측정,-117.47,-1.59
코리아써키트,-13.39,6.19,-3.08,27.09,전자부품 제조업,19.58,30.17
코스맥스,8.41,6.68,-6.47,10.25,기타 화학제품 제조업,-1.73,16.72
코스맥스비티아이,6.09,-4.49,-5.41,2.55,기타 금융업,-10.58,7.96
코스모화학,-5.07,-8.49,-7.85,12.64,기타 화학제품 제조업,-3.42,20.49
코아스,0.77,10.54,-6.18,-21.57,가구 제조업,9.77,-15.39
코오롱,0.95,-0.83,16.53,16.06,기타 금융업,-1.78,-0.47
코오롱글로벌,4.07,7.0,12.91,19.95,토목 건설업,2.93,7.04
코오롱인더,4.0,2.78,14.75,14.21,화학섬유 제조업,-1.22,-0.54
코오롱플라스틱,13.69,7.49,5.38,23.33,합성고무 및 플라스틱 물질 제조업,-6.2,17.95
코웨이,52.84,43.45,47.62,47.02,그외 기타 개인 서비스업,-9.39,-0.6
콤텍시스템,23.08,5.63,0.89,7.7,컴퓨터 프로그래밍,-17.45,6.81
쿠쿠홀딩스,50.77,39.4,46.09,53.41,기타 금융업,-11.37,7.32
크라운해태홀딩스,3.97,-4.8,13.02,4.74,기타 금융업,-8.77,-8.28
아센디오,-71.92,-238.2,-49.82,-43.88,영화,-166.28,5.94
태경산업,11.57,17.66,7.76,19.17,기초 화학물질 제조업,6.09,11.41
태경케미컬,13.76,30.71,24.51,29.57,기초 화학물질 제조업,16.95,5.06
태광산업,23.22,16.85,17.14,27.9,화학섬유 제조업,-6.37,10.76
태림포장,17.33,14.36,4.84,14.32,골판지,-2.97,9.48
태양금속,-3.18,-18.2,-6.65,-8.22,자동차 신품 부품 제조업,-15.02,-1.57
태영건설,17.98,7.07,37.78,7.1,토목 건설업,-10.91,-30.68
태평양물산,8.27,8.15,-4.82,-5.07,봉제의복 제조업,-0.12,-0.25
테이팩스,12.1,19.08,32.35,39.47,플라스틱제품 제조업,6.98,7.12
텔코웨어,23.75,17.29,12.12,12.17,자료처리,-6.46,0.05
토니모리,-10.74,-7.05,-59.18,-14.41,기타 화학제품 제조업,3.69,44.77
티에이치엔,9.39,25.53,-19.29,19.32,기타 전기장비 제조업,16.14,38.61
티웨이홀딩스,30.69,-21.98,-57.95,-68.84,시멘트,-52.67,-10.89
팜스코,3.06,-1.44,5.74,2.41,곡물가공품,-4.5,-3.33
팬오션,13.99,13.28,8.16,34.34,해상 운송업,-0.71,26.18
페이퍼코리아,-19.96,-15.07,0.55,6.67,펄프,4.89,6.12
평화산업,-80.24,-11.52,-11.74,1.85,자동차 신품 부품 제조업,68.72,13.59
평화홀딩스,-40.63,-13.41,-4.55,-8.73,자동차 신품 부품 제조업,27.22,-4.18
포스코스틸리온,11.44,4.45,7.6,64.67,1차 철강 제조업,-6.99,57.07
포스코인터내셔널,7.08,10.79,12.38,16.11,상품 중개업,3.71,3.73
풀무원,5.76,-0.02,4.01,1.66,기타 식품 제조업,-5.78,-2.35
풍산,9.9,4.61,11.76,30.6,1차 비철금속 제조업,-5.29,18.84
풍산홀딩스,17.58,11.93,7.35,61.26,기타 금융업,-5.65,53.91
하나투어,7.12,-3.7,-84.28,-40.59,여행사 및 기타 여행보조 서비스업,-10.82,43.69
하이스틸,-7.89,2.17,0.09,17.27,1차 철강 제조업,10.06,17.18
하이트진로,2.69,-3.51,9.48,7.73,알코올음료 제조업,-6.2,-1.75
하이트진로홀딩스,1.22,-2.63,9.96,6.25,기타 금융업,-3.85,-3.71
한국가스공사,5.64,1.66,-0.37,8.88,연료용 가스 제조 및 배관공급업,-3.98,9.25
한국공항,19.18,15.84,-32.52,6.67,기타 운송관련 서비스업,-3.34,39.19
한국내화,14.27,9.94,5.72,9.44,내화,-4.33,3.72
한국단자,19.96,16.96,24.78,23.81,전동기,-3.0,-0.97
한국석유,7.89,-5.52,9.68,14.35,기타 비금속 광물제품 제조업,-13.41,4.67
한국전력,-0.9,-3.01,4.22,-7.46,전기업,-2.11,-11.68
한국전자홀딩스,3.12,-18.42,-27.33,24.36,기타 금융업,-21.54,51.69
한국주철관,11.03,17.56,13.9,60.95,1차 철강 제조업,6.53,47.05
한국카본,2.55,19.67,47.69,13.62,구조용 금속제품,17.12,-34.07
한국콜마,9.72,5.95,22.97,7.08,기타 화학제품 제조업,-3.77,-15.89
한국콜마홀딩스,38.32,25.17,46.28,18.25,기타 금융업,-13.15,-28.03
한국타이어앤테크놀로지,20.97,17.16,15.13,20.83,고무제품 제조업,-3.81,5.7
한국앤컴퍼니,29.64,25.2,24.5,24.45,기타 금융업,-4.44,-0.05
한국프랜지,1.12,7.77,7.65,11.75,자동차 신품 부품 제조업,6.65,4.1
한국항공우주,6.65,14.76,5.97,4.26,항공기,8.11,-1.71
한국화장품,-23.33,-61.97,-30.85,-37.03,생활용품 도매업,-38.64,-6.18
한독,5.41,17.54,12.99,2.99,의약품 제조업,12.13,-10.0
한라,-1.43,1.26,23.48,22.11,토목 건설업,2.69,-1.37
한라홀딩스,4.0,9.37,9.21,17.85,기타 금융업,5.37,8.64
한미글로벌,14.84,40.75,18.96,23.33,건축기술,25.91,4.37
한미반도체,68.07,30.96,61.2,95.86,특수 목적용 기계 제조업,-37.11,34.66
한미사이언스,9.07,14.12,11.23,18.36,기타 금융업,5.05,7.13
한미약품,8.06,12.94,4.31,15.68,의약품 제조업,4.88,11.37
한샘,35.18,16.12,21.38,18.5,생활용품 도매업,-19.06,-2.88
한섬,23.33,26.45,24.94,29.49,봉제의복 제조업,3.12,4.55
한세실업,-11.29,-2.69,10.71,22.16,봉제의복 제조업,8.6,11.45
한세엠케이,10.83,-70.54,-42.54,-70.84,섬유,-81.37,-28.3
한세예스24홀딩스,-6.75,2.8,15.47,14.15,봉제의복 제조업,9.55,-1.32
한솔PNS,15.9,13.76,12.52,14.29,기타 전문 도매업,-2.14,1.77
한솔로지스틱스,9.56,16.97,19.39,37.36,기타 운송관련 서비스업,7.41,17.97
한솔제지,8.92,8.88,12.52,4.02,펄프,-0.04,-8.5
한솔케미칼,31.41,36.68,46.66,50.48,기초 화학물질 제조업,5.27,3.82
한솔테크닉스,-10.84,7.07,18.72,-2.09,전자부품 제조업,17.91,-20.81
한솔홀딩스,-8.71,10.64,41.15,17.04,기타 금융업,19.35,-24.11
한솔홈데코,14.44,-3.27,2.39,7.6,제재 및 목재 가공업,-17.71,5.21
한신공영,30.84,15.56,22.26,9.08,건물 건설업,-15.28,-13.18
한신기계,18.8,11.74,18.14,19.38,일반 목적용 기계 제조업,-7.06,1.24
한온시스템,22.11,19.07,6.6,14.53,일반 목적용 기계 제조업,-3.04,7.93
한올바이오파마,9.32,38.5,35.56,18.27,의약품 제조업,29.18,-17.29
한익스프레스,12.27,9.44,-0.15,6.07,도로 화물 운송업,-2.83,6.22
한일홀딩스,54.22,7.08,13.05,11.64,시멘트,-47.14,-1.41
한일철강,-6.88,-9.98,-3.58,28.81,1차 철강 제조업,-3.1,32.39
한전KPS,47.27,42.91,25.73,28.04,전기 및 통신 공사업,-4.36,2.31
한전기술,7.95,14.38,12.44,10.94,건축기술,6.43,-1.5
한전산업,29.71,38.58,30.5,20.63,건축기술,8.87,-9.87
한진,7.22,0.69,2.01,15.06,도로 화물 운송업,-6.53,13.05
HJ중공업,-122.84,38.67,11.32,-20.08,토목 건설업,161.51,-31.4
한진중공업홀딩스,0.18,5.36,-0.59,-0.79,연료용 가스 제조 및 배관공급업,5.18,-0.2
한진칼,-0.37,-30.17,-36.19,-3.21,항공 여객 운송업,-29.8,32.98
한창,6.34,-4.97,-69.83,-73.83,기계장비 및 관련 물품 도매업,-11.31,-4.0
한화,2.02,0.7,1.68,4.0,기타 화학제품 제조업,-1.32,2.32
한화솔루션,5.04,-3.98,7.98,12.87,기초 화학물질 제조업,-9.02,4.89
한화에어로스페이스,3.96,7.9,7.17,10.92,항공기,3.94,3.75
해성디에스,25.95,21.95,30.8,57.93,전자부품 제조업,-4.0,27.13
해태제과식품,2.45,-13.81,14.79,1.06,기타 식품 제조업,-16.26,-13.73
핸즈코퍼레이션,3.73,4.47,-1.94,-23.44,자동차 신품 부품 제조업,0.74,-21.5
HDC현대EP,7.49,10.73,11.78,9.49,기타 화학제품 제조업,3.24,-2.29
현대건설,11.83,12.89,6.7,12.2,토목 건설업,1.06,5.5
현대그린푸드,18.59,10.59,12.22,7.6,종합 소매업,-8.0,-4.62
현대글로비스,20.55,20.61,22.09,25.72,기타 운송관련 서비스업,0.06,3.63
현대로템,-23.93,-28.21,2.71,5.08,철도장비 제조업,-4.28,2.37
현대리바트,23.04,12.35,14.62,8.45,가구 제조업,-10.69,-6.17
현대모비스,18.46,20.29,13.9,18.88,자동차 신품 부품 제조업,1.83,4.98
현대미포조선,9.81,9.24,1.54,-11.94,선박 및 보트 건조업,-0.57,-13.48
현대백화점,16.17,12.97,5.92,10.42,종합 소매업,-3.2,4.5
현대비앤지스틸,14.21,15.55,16.04,36.17,1차 철강 제조업,1.34,20.13
HDC,64.52,26.07,10.96,9.3,기타 금융업,-38.45,-1.66
현대코퍼레이션,2.92,7.99,15.52,11.55,상품 종합 도매업,5.07,-3.97
HMM,-67.2,-34.7,5.02,131.43,해상 운송업,32.5,126.41
현대퓨처넷,25.51,23.25,-11.69,31.37,텔레비전 방송업,-2.26,43.06
현대엘리베이,1.73,7.19,13.86,14.4,일반 목적용 기계 제조업,5.46,0.54
현대위아,-0.24,5.05,4.45,4.61,자동차 신품 부품 제조업,5.29,0.16
현대제철,5.77,2.11,-2.65,15.69,1차 철강 제조업,-3.66,18.34
한국조선해양,-3.35,5.3,-8.7,-12.24,선박 및 보트 건조업,8.65,-3.54
현대차,4.43,6.98,4.56,9.78,자동차용 엔진 및 자동차 제조업,2.55,5.22
현대코퍼레이션홀딩스,13.24,18.26,29.83,20.74,음·식료품 및 담배 도매업,5.02,-9.09
현대홈쇼핑,27.19,14.07,17.15,16.05,무점포 소매업,-13.12,-1.1
형지엘리트,-21.91,-0.76,0.13,8.89,봉제의복 제조업,21.15,8.76
혜인,0.97,8.65,10.01,10.64,기계장비 및 관련 물품 도매업,7.68,0.63
호전실업,7.51,5.52,-18.39,15.71,봉제의복 제조업,-1.99,34.1
호텔신라,18.96,21.32,-27.46,5.08,기타 상품 전문 소매업,2.36,32.54
화성산업,29.46,6.79,21.38,16.49,건물 건설업,-22.67,-4.89
화승코퍼레이션,-7.53,7.71,-9.96,-9.25,자동차 신품 부품 제조업,15.24,0.71
화승엔터프라이즈,9.86,26.5,14.66,-0.51,신발 및 신발 부분품 제조업,16.64,-15.17
화승인더,10.86,25.43,13.92,0.43,플라스틱제품 제조업,14.57,-13.49
화신,-20.41,4.91,-20.18,11.67,자동차 신품 부품 제조업,25.32,31.85
화천기공,14.65,10.58,7.62,10.63,특수 목적용 기계 제조업,-4.07,3.01
환인제약,33.34,28.6,31.85,33.42,의약품 제조업,-4.74,1.57
황금에스티,17.49,22.87,18.31,28.65,1차 비철금속 제조업,5.38,10.34
효성,110.04,9.7,3.48,40.24,기타 금융업,-100.34,36.76
효성ITX,22.45,28.21,29.29,25.81,기타 사업지원 서비스업,5.76,-3.48
후성,26.26,1.34,2.91,19.31,기초 화학물질 제조업,-24.92,16.4
휠라홀딩스,23.76,33.78,19.56,30.03,생활용품 도매업,10.02,10.47
휴비스,8.75,1.91,33.37,3.79,화학섬유 제조업,-6.84,-29.58
휴스틸,11.91,-3.91,7.68,18.66,1차 철강 제조업,-15.82,10.98
TKG휴켐스,43.83,29.52,22.74,32.05,기타 화학제품 제조업,-14.31,9.31
흥아해운,-34.17,-27.56,-47.47,20.91,해상 운송업,6.61,68.38
