name,18_score,19_score,20_score,21_score,Sector,19-18,21-20
SK하이닉스,97.42,13.35,26.22,40.46,반도체 제조업,-84.07,14.24
SPC삼립,22.63,9.51,-0.82,14.09,기타 식품 제조업,-13.12,14.91
STX,7.67,-17.32,-4.0,-10.31,상품 종합 도매업,-24.99,-6.31
STX엔진,11.2,8.25,8.52,0.47,일반 목적용 기계 제조업,-2.95,-8.05
STX중공업,-54.41,-23.94,1.25,-5.1,일반 목적용 기계 제조업,30.47,-6.35
TCC스틸,13.15,7.3,0.51,30.53,1차 철강 제조업,-5.85,30.02
WISCOM,11.76,9.26,4.66,10.01,플라스틱제품 제조업,-2.5,5.35
가온전선,3.06,6.68,8.88,6.11,절연선 및 케이블 제조업,3.62,-2.77
강남제비스코,25.47,13.25,16.21,22.79,기타 화학제품 제조업,-12.22,6.58
강원랜드,28.6,30.33,-15.77,4.14,유원지 및 기타 오락관련 서비스업,1.73,19.91
경농,6.66,5.66,14.07,16.29,비료,-1.0,2.22
경동나비엔,17.59,17.99,22.8,34.37,가정용 기기 제조업,0.4,11.57
경동인베스트,19.99,8.35,13.17,12.18,기타 금융업,-11.64,-0.99
경방,6.99,12.66,5.08,7.87,종합 소매업,5.67,2.79
경인양행,14.12,14.21,-3.62,18.19,기초 화학물질 제조업,0.09,21.81
경인전자,9.69,16.84,18.45,27.45,전자부품 제조업,7.15,9.0
계룡건설,20.66,14.89,17.34,25.46,토목 건설업,-5.77,8.12
계양전기,15.57,3.79,14.07,-3.62,일반 목적용 기계 제조업,-11.78,-17.69
고려산업,7.97,9.59,12.45,8.34,곡물가공품,1.62,-4.11
고려아연,31.95,34.77,28.69,33.64,1차 비철금속 제조업,2.82,4.95
고려제강,2.88,1.99,3.06,21.73,1차 철강 제조업,-0.89,18.67
광동제약,13.35,13.22,22.0,13.34,의약품 제조업,-0.13,-8.66
광명전기,8.48,18.05,12.03,14.6,전동기,9.57,2.57
광전자,13.26,9.21,-17.32,20.16,반도체 제조업,-4.05,37.48
국도화학,22.11,16.31,14.31,47.05,기초 화학물질 제조업,-5.8,32.74
국동,11.05,-7.51,24.8,-12.49,생활용품 도매업,-18.56,-37.29
국보,-20.68,-26.31,-64.64,-59.84,도로 화물 운송업,-5.63,4.8
국제약품,7.32,-10.87,6.72,-2.24,의약품 제조업,-18.19,-8.96
극동유화,24.22,20.98,12.12,16.49,석유 정제품 제조업,-3.24,4.37
금강공업,7.67,-0.6,2.46,10.38,1차 철강 제조업,-8.27,7.92
금비,16.03,-2.34,6.59,-3.49,유리 및 유리제품 제조업,-18.37,-10.08
금양,35.07,-15.68,-4.41,17.95,기초 화학물질 제조업,-50.75,22.36
금호건설,1.64,4.83,8.33,33.25,건물 건설업,3.19,24.92
금호석유,38.28,23.71,43.1,101.66,기초 화학물질 제조업,-14.57,58.56
금호에이치티,15.61,2.12,-7.53,-11.65,자동차 신품 부품 제조업,-13.49,-4.12
금호전기,-23.83,-90.27,-114.29,-42.5,전구 및 조명장치 제조업,-66.44,71.79
금호타이어,-13.69,-2.83,-6.22,-5.25,고무제품 제조업,10.86,0.97
기신정기,34.23,23.65,24.19,24.48,특수 목적용 기계 제조업,-10.58,0.29
기아,9.75,13.68,10.87,27.24,자동차용 엔진 및 자동차 제조업,3.93,16.37
깨끗한나라,-17.95,-6.0,24.51,6.01,펄프,11.95,-18.5
남광토건,13.42,8.79,24.1,32.05,토목 건설업,-4.63,7.95
남선알미늄,30.94,18.63,14.69,44.93,1차 비철금속 제조업,-12.31,30.24
남성,-4.93,-2.55,-13.96,10.04,기타 전문 도매업,2.38,24.0
남양유업,6.7,15.75,-10.04,-13.45,낙농제품 및 식용빙과류 제조업,9.05,-3.41
비비안,-8.81,-1.37,-104.81,-3.51,봉제의복 제조업,7.44,101.3
남해화학,10.66,14.4,19.3,15.25,비료,3.74,-4.05
넥센,13.22,12.49,1.46,3.77,고무제품 제조업,-0.73,2.31
넥센타이어,13.0,13.71,0.0,1.95,고무제품 제조업,0.71,1.95
넷마블,17.31,13.31,17.69,9.77,소프트웨어 개발 및 공급업,-4.0,-7.92
노루페인트,9.09,12.49,11.35,9.63,기타 화학제품 제조업,3.4,-1.72
노루홀딩스,3.28,8.89,11.37,5.57,기타 금융업,5.61,-5.8
녹십자,9.49,0.47,16.54,21.78,의약품 제조업,-9.02,5.24
녹십자홀딩스,4.6,-1.81,21.52,14.34,회사 본부 및 경영 컨설팅 서비스업,-6.41,-7.18
농심,15.17,12.64,22.2,15.6,기타 식품 제조업,-2.53,-6.6
농심홀딩스,16.15,12.92,21.84,15.93,기타 금융업,-3.23,-5.91
다우기술,5.14,6.55,7.6,7.93,자료처리,1.41,0.33
키다리스튜디오,8.94,26.71,2.78,9.45,자료처리,17.77,6.67
대교,11.4,9.62,-4.06,-14.09,초등 교육기관,-1.78,-10.03
대구백화점,-12.89,-8.53,-8.96,-2.74,종합 소매업,4.36,6.22
대동,2.1,2.51,9.47,12.03,특수 목적용 기계 제조업,0.41,2.56
대동전자,10.99,12.88,9.32,21.22,통신 및 방송 장비 제조업,1.89,11.9
대림B&Co,6.56,4.49,0.02,2.91,내화,-2.07,2.89
DL,19.24,19.32,14.82,28.34,기타 금융업,0.08,13.52
삼일씨엔에스,-2.43,7.25,4.11,0.88,시멘트,9.68,-3.23
대림통상,0.01,-18.55,-23.5,2.11,기타 금속 가공제품 제조업,-18.56,25.61
대상,11.86,18.09,19.56,20.19,기타 식품 제조업,6.23,0.63
대상홀딩스,7.56,18.44,20.24,16.14,기타 금융업,10.88,-4.1
대성산업,-0.41,-18.1,16.51,-8.04,연료 소매업,-17.69,-24.55
대성에너지,8.44,7.96,8.18,7.24,연료용 가스 제조 및 배관공급업,-0.48,-0.94
대성홀딩스,8.83,7.1,15.34,8.48,회사 본부 및 경영 컨설팅 서비스업,-1.73,-6.86
대우건설,12.68,8.51,11.21,17.63,건물 건설업,-4.17,6.42
대우조선해양,10.28,0.01,3.87,-53.12,선박 및 보트 건조업,-10.27,-56.99
