,종목_list,매출액,유동자산,유동부채,자산총계,부채총계,ROA,이익잉여금,자기자본,x1,x2,x3,x4,x5,z_score
0,AJ네트웍스,10267,2739,5252,13550,9925,5.2,2479,3625,-0.19,0.18,5.2,0.37,0.76,18.17
1,CJ제일제당,262892,77256,79159,268558,160490,3.4,49402,108068,-0.01,0.18,3.4,0.67,0.98,12.84
2,LG헬로비전,10801,4353,2682,14881,8357,1.8,2686,6524,0.11,0.18,1.8,0.78,0.73,7.52
3,CS홀딩스,1590,1891,292,3537,415,6.2,2007,3122,0.45,0.57,6.2,7.52,0.45,26.76
4,DB,3269,845,506,6020,1642,4.0,772,4378,0.06,0.13,4.0,2.67,0.54,15.6
6,DB하이텍,12147,8152,3353,15499,4439,23.2,8320,11060,0.31,0.54,23.2,2.49,0.78,79.96
7,DRB동일,5513,3848,3118,8320,3564,-0.4,4168,4756,0.09,0.5,-0.4,1.33,0.66,0.95
8,DSR,2724,1857,1156,3026,1246,4.5,1513,1780,0.23,0.5,4.5,1.43,0.9,17.58
9,E1,51523,16290,13117,39993,26259,3.6,13006,13734,0.08,0.33,3.6,0.52,1.29,14.04
10,F&F홀딩스,7271,6832,5736,29123,5980,108.2,24625,23143,0.04,0.85,108.2,3.87,0.25,360.87
11,GKL,851,2370,1011,5313,1478,-18.3,3314,3835,0.26,0.62,-18.3,2.59,0.16,-57.5
12,GS,202401,53889,55018,311913,169883,5.8,111313,142030,-0.0,0.36,5.8,0.84,0.65,20.8
13,GS건설,90366,81951,67693,151837,103110,3.0,34057,48727,0.09,0.22,3.0,0.47,0.6,11.2
14,GS글로벌,38490,10387,9266,14427,11002,1.8,71,3425,0.08,0.0,1.8,0.31,2.67,8.89
15,GS리테일,97657,11839,20552,94560,50416,9.6,28531,44144,-0.09,0.3,9.6,0.88,1.03,33.55
16,IHQ,600,1201,1185,2386,1204,-5.3,-522,1182,0.01,-0.22,-5.3,0.98,0.25,-16.95
17,JW생명과학,1698,644,839,2195,880,6.0,703,1315,-0.09,0.32,6.0,1.49,0.77,21.8
18,JW중외제약,6066,3665,2827,6331,4445,-0.2,586,1886,0.13,0.09,-0.2,0.42,0.96,0.83
19,JW홀딩스,7889,4450,4951,10658,7610,0.4,24,3048,-0.05,0.0,0.4,0.4,0.74,2.24
20,KCC,58749,36681,27000,128789,75028,-0.4,46784,53761,0.08,0.36,-0.4,0.72,0.46,0.17
21,KCTC,6947,1582,1354,5323,3033,4.4,1641,2290,0.04,0.31,4.4,0.76,1.31,16.77
22,KC그린홀딩스,7508,4989,4652,9066,6466,1.2,806,2600,0.04,0.09,1.2,0.4,0.83,5.2
23,KC코트렐,3550,3142,2653,3851,3351,3.6,-105,500,0.13,-0.03,3.6,0.15,0.92,13.0
24,KEC,2675,2005,978,4006,1214,2.7,-534,2792,0.26,-0.13,2.7,2.3,0.67,11.09
25,컨버즈,409,219,171,330,234,-4.9,-1096,96,0.15,-3.32,-4.9,0.41,1.24,-19.15
26,KG케미칼,49315,18855,18159,48849,30974,6.1,3746,17875,0.01,0.08,6.1,0.58,1.01,21.61
27,KISCO홀딩스,15808,12584,2306,16881,2674,11.0,6977,14207,0.61,0.41,11.0,5.31,0.94,41.73
28,KPX케미칼,10208,4533,1885,7771,1991,7.0,5116,5780,0.34,0.66,7.0,2.9,1.31,27.48
29,KPX홀딩스,12387,7756,3424,18149,4454,4.7,5523,13695,0.24,0.3,4.7,3.07,0.68,18.74
30,KR모터스,1335,697,955,1684,1182,-7.4,-287,502,-0.15,-0.17,-7.4,0.42,0.79,-23.8
31,KSS해운,3240,681,3816,14462,11034,4.5,3088,3428,-0.22,0.21,4.5,0.31,0.22,15.29
32,KT,248980,118584,100724,371593,205922,4.1,132874,165671,0.05,0.36,4.1,0.8,0.67,15.24
33,KT&G,52284,62559,20639,116373,24284,8.4,85504,92089,0.36,0.73,8.4,3.79,0.45,31.9
35,KTcs,9657,3030,1896,4168,2342,4.8,1410,1826,0.27,0.34,4.8,0.78,2.32,19.43
36,LF,17931,11644,6132,25411,10428,5.4,9948,14983,0.22,0.39,5.4,1.44,0.71,20.2
37,LG,68590,55479,28193,256698,37296,10.8,188914,219402,0.11,0.74,10.8,5.88,0.27,40.61
38,LG디스플레이,298780,131871,139948,381545,233920,3.6,85415,147625,-0.02,0.22,3.6,0.63,0.78,13.32
39,LX인터내셔널,166865,43765,34309,67469,43626,8.9,15222,23843,0.14,0.23,8.9,0.55,2.47,32.66
40,LG생활건강,80915,24729,15258,75552,20574,12.0,54840,54978,0.13,0.73,12.0,2.67,1.07,43.45
41,LG유플러스,138511,51644,50737,193705,114120,3.8,43641,79585,0.0,0.23,3.8,0.7,0.72,14.0
42,LG이노텍,149456,41134,33103,77414,44271,12.9,20481,33143,0.1,0.26,12.9,0.75,1.93,45.43
43,LG전자,747216,274878,236199,534815,333834,2.8,144336,200981,0.07,0.27,2.8,0.6,1.4,11.46
44,LX하우시스,34720,11487,12201,25474,16840,0.5,2180,8634,-0.03,0.09,0.5,0.51,1.36,3.4
45,LG화학,426547,204138,150621,511353,279253,8.6,180919,232100,0.1,0.35,8.6,0.83,0.83,30.32
46,LIG넥스원,18222,14859,14811,25768,18135,4.1,4439,7633,0.0,0.17,4.1,0.42,0.71,14.73
47,LS,130891,74855,51739,126259,79157,2.9,31575,47102,0.18,0.25,2.9,0.6,1.04,11.53
48,LS네트웍스,3905,2801,1714,13094,7557,4.7,2345,5537,0.08,0.18,4.7,0.73,0.3,16.6
49,LS ELECTRIC,26683,18877,8453,27967,13233,3.2,13569,14734,0.37,0.49,3.2,1.11,0.95,13.31
50,LS전선아시아,7506,3813,3076,4953,3229,3.5,496,1724,0.15,0.1,3.5,0.53,1.52,13.71
51,MH에탄올,1021,521,2973,4515,3668,1.9,684,847,-0.54,0.15,1.9,0.23,0.23,6.2
52,NAVER,68176,55279,39233,336910,96636,65.0,230804,240274,0.05,0.69,65.0,2.49,0.2,217.22
53,NHN,19237,13599,7197,30272,9286,4.7,6538,20986,0.21,0.22,4.7,2.26,0.64,18.07
55,NICE,24499,16971,15107,30838,17633,3.5,4868,13205,0.06,0.16,3.5,0.75,0.79,13.09
56,NPC,4869,1576,1345,5000,1768,5.8,2715,3232,0.05,0.54,5.8,1.83,0.97,22.02
57,OCI,32440,33390,12365,57041,25803,12.9,20927,31238,0.37,0.37,12.9,1.21,0.57,44.83
58,POSCO홀딩스,763323,466216,210836,914716,366667,8.4,515329,548049,0.28,0.56,8.4,1.49,0.83,30.56
59,SNT에너지,1711,1997,662,3321,873,3.8,2111,2448,0.4,0.64,3.8,2.8,0.52,16.12
60,SNT모티브,9417,6663,2347,11498,2922,7.1,6950,8576,0.38,0.6,7.1,2.93,0.82,27.3
61,SNT중공업,3360,4483,1243,8796,2267,6.9,6282,6529,0.37,0.71,6.9,2.88,0.38,26.32
62,SNT홀딩스,14041,13275,4125,23723,5922,6.5,6267,17801,0.39,0.26,6.5,3.01,0.59,24.68
63,S-Oil,274639,83774,85050,186932,117052,8.0,53337,69880,-0.01,0.29,8.0,0.6,1.47,28.62
64,SBS,10790,9127,5155,14622,7406,11.0,5023,7216,0.27,0.34,11.0,0.97,0.74,38.42
65,SBS미디어홀딩스,1336,2283,378,6311,571,9.9,938,5740,0.3,0.15,9.9,10.05,0.21,39.48
66,SG세계물산,1357,1245,604,3084,641,16.3,1044,2443,0.21,0.34,16.3,3.81,0.44,57.24
67,SG글로벌,578,290,131,1870,640,-2.9,552,1230,0.09,0.3,-2.9,1.92,0.31,-7.58
68,SH에너지화학,1398,783,131,1196,279,0.5,312,917,0.55,0.26,0.5,3.29,1.17,5.82
69,SIMPAC,6130,5422,3314,9032,3566,11.1,3978,5466,0.23,0.44,11.1,1.53,0.68,39.12
70,SJM,1457,1554,369,2450,555,3.2,1287,1895,0.48,0.53,3.2,3.41,0.59,14.51
71,SJM홀딩스,1497,1903,464,3329,661,2.8,1303,2668,0.43,0.39,2.8,4.04,0.45,13.18
72,SK,983250,491932,449749,1653809,998157,3.8,140656,655652,0.03,0.09,3.8,0.66,0.59,13.69
73,SKC,33961,18200,17200,61801,38978,5.9,15438,22823,0.02,0.25,5.9,0.59,0.55,20.75
74,SK가스,64945,24058,14420,51215,30042,5.2,19011,21173,0.19,0.37,5.2,0.7,1.27,19.59
75,SK네트웍스,110181,30472,38976,94109,70219,1.1,8973,23890,-0.09,0.1,1.1,0.34,1.17,5.03
76,SK디앤디,7910,11797,4656,19834,13442,7.2,3281,6392,0.36,0.17,7.2,0.48,0.4,25.12
77,SK이노베이션,468429,214817,145124,495574,299242,1.1,102112,196332,0.14,0.21,1.1,0.66,0.95,5.44
79,SK디스커버리,66143,28016,19775,68819,38126,4.4,25124,30693,0.12,0.37,4.4,0.81,0.96,16.63
80,SK텔레콤,167486,63527,69604,309113,185761,6.1,224373,123352,-0.02,0.73,6.1,0.66,0.54,22.06
81,SK하이닉스,429978,268705,147694,963865,341954,11.5,557841,621911,0.13,0.58,11.5,1.82,0.45,40.46
82,SPC삼립,29467,4451,5772,12230,8880,3.4,3168,3350,-0.11,0.26,3.4,0.38,2.41,14.09
83,STX,9255,3662,4484,6761,5536,-3.5,-519,1225,-0.12,-0.08,-3.5,0.22,1.37,-10.31
84,STX엔진,4935,4271,4908,8375,5535,0.1,-3960,2840,-0.08,-0.47,0.1,0.51,0.59,0.47
85,STX중공업,1639,1824,2449,4304,2764,-1.7,-80,1540,-0.15,-0.02,-1.7,0.56,0.38,-5.1
86,TCC스틸,5367,2020,1387,3670,2118,8.5,1005,1552,0.17,0.27,8.5,0.73,1.46,30.53
87,WISCOM,1176,674,136,1353,151,0.9,885,1202,0.4,0.65,0.9,7.96,0.87,10.01
88,YG PLUS,1543,1109,580,2231,774,12.1,9,1457,0.24,0.0,12.1,1.88,0.69,42.04
89,가온전선,10704,4019,2465,6590,3909,1.0,2293,2681,0.24,0.35,1.0,0.69,1.62,6.11
90,강남제비스코,5910,2969,1344,9040,2421,5.9,5204,6619,0.18,0.58,5.9,2.73,0.65,22.79
91,강원랜드,7884,16570,5068,38273,5745,-0.3,31906,32528,0.3,0.83,-0.3,5.66,0.21,4.14
92,경농,2703,2065,1231,3888,1520,4.2,1503,2368,0.21,0.39,4.2,1.56,0.7,16.29
93,경동나비엔,11029,4756,4347,9339,4835,9.7,3786,4504,0.04,0.41,9.7,0.93,1.18,34.37
95,경동인베스트,2985,2323,611,5777,1379,2.4,6076,4398,0.3,1.05,2.4,3.19,0.52,12.18
96,경방,3834,1255,2307,12708,5187,1.8,7710,7521,-0.08,0.61,1.8,1.45,0.3,7.87
97,경인양행,4033,3256,2692,5795,3276,5.0,1700,2519,0.1,0.29,5.0,0.77,0.7,18.19
98,경인전자,274,496,50,659,63,6.0,348,596,0.68,0.53,6.0,9.46,0.42,27.45
99,계룡건설,25618,15981,10922,23271,15727,7.1,6356,7544,0.22,0.27,7.1,0.48,1.1,25.46
100,계양전기,3923,1518,919,2851,1018,-2.1,1219,1833,0.21,0.43,-2.1,1.8,1.38,-3.62
101,고려산업,2135,990,1179,2386,1318,2.0,788,1068,-0.08,0.33,2.0,0.81,0.89,8.34
102,고려아연,99768,56890,17705,99640,22298,8.8,75184,77342,0.39,0.75,8.8,3.47,1.0,33.64
103,고려제강,16914,10778,6012,24743,8362,5.7,14872,16381,0.19,0.6,5.7,1.96,0.68,21.73
105,광동제약,13382,5878,3255,8838,3566,3.0,4332,5272,0.3,0.49,3.0,1.48,1.51,13.34
106,광명전기,1371,1126,491,1699,548,3.5,641,1151,0.37,0.38,3.5,2.1,0.81,14.6
107,광전자,1738,1210,218,2390,283,4.3,444,2107,0.42,0.19,4.3,7.45,0.73,20.16
109,국도화학,15771,8046,4820,14164,6014,13.4,6392,8150,0.23,0.45,13.4,1.36,1.11,47.05
110,국동,2270,1031,526,1685,661,-4.6,60,1024,0.3,0.04,-4.6,1.55,1.35,-12.49
111,국보,969,595,612,1023,705,-18.3,-467,318,-0.02,-0.46,-18.3,0.45,0.95,-59.84
112,국제약품,1197,482,545,1398,712,-1.1,11,686,-0.05,0.01,-1.1,0.96,0.86,-2.24
113,극동유화,9648,1459,1122,3219,1399,3.6,1646,1820,0.1,0.51,3.6,1.3,3.0,16.49
114,금강공업,5705,3553,4053,8687,4820,2.7,2479,3867,-0.06,0.29,2.7,0.8,0.66,10.38
115,금비,565,935,730,3396,1803,-1.4,878,1593,0.06,0.26,-1.4,0.88,0.17,-3.49
116,금양,2177,1951,1278,3148,1974,5.0,355,1174,0.21,0.11,5.0,0.59,0.69,17.95
117,금호건설,20651,9891,8699,17360,10832,9.5,3341,6528,0.07,0.19,9.5,0.6,1.19,33.25
118,금호석유,84618,34452,23603,81157,30328,29.9,45651,50829,0.13,0.56,29.9,1.68,1.04,101.66
119,금호에이치티,2340,1918,1047,4588,1080,-4.4,602,3508,0.19,0.13,-4.4,3.25,0.51,-11.65
120,금호전기,416,652,630,839,655,-13.0,-181,184,0.03,-0.22,-13.0,0.28,0.5,-42.5
121,금호타이어,26012,15669,15005,43422,30606,-1.8,-5633,12816,0.02,-0.13,-1.8,0.42,0.6,-5.25
122,기신정기,970,1496,130,2624,142,3.6,2087,2482,0.52,0.8,3.6,17.48,0.37,24.48
123,기아,698624,292055,215626,668500,319374,7.5,316829,349126,0.11,0.47,7.5,1.09,1.05,27.24
124,깨끗한나라,5787,1323,1640,5987,3692,1.4,501,2295,-0.05,0.08,1.4,0.62,0.97,6.01
125,에이프로젠 MED,1412,4843,1108,8241,1197,-1.5,-1053,7044,0.45,-0.13,-1.5,5.88,0.17,-0.89
