,종목_list,매출액,유동자산,유동부채,자산총계,부채총계,ROA,이익잉여금,자기자본,x1,x2,x3,x4,x5,z_score
126,남광토건,3567,2058,1712,2740,1862,9.1,545,878,0.13,0.2,9.1,0.47,1.3,32.05
127,남선알미늄,2303,1165,693,3552,1193,12.8,1771,2359,0.13,0.5,12.8,1.98,0.65,44.93
128,남성,1023,1265,1197,2888,1702,2.7,688,1186,0.02,0.24,2.7,0.7,0.35,10.04
129,남양유업,9561,4800,969,9374,1244,-6.1,8300,8130,0.41,0.89,-6.1,6.54,1.02,-13.45
130,비비안,1879,886,269,1982,949,-1.7,174,1033,0.31,0.09,-1.7,1.09,0.95,-3.51
131,남해화학,14519,5033,2321,7191,2475,3.3,3795,4716,0.38,0.53,3.3,1.91,2.02,15.25
132,넥센,24039,16455,11529,45723,24555,0.7,9068,21168,0.11,0.2,0.7,0.86,0.53,3.77
133,넥센타이어,20794,14760,10417,38234,22235,0.1,14215,15999,0.11,0.37,0.1,0.72,0.54,1.95
134,넷마블,25069,19626,30562,106638,46561,2.6,22346,60077,-0.1,0.21,2.6,1.29,0.24,9.77
135,노루페인트,7309,3038,2099,6706,3257,2.2,2290,3449,0.14,0.34,2.2,1.06,1.09,9.63
136,노루홀딩스,9552,4951,3083,10555,4720,1.0,3083,5835,0.18,0.29,1.0,1.24,0.9,5.57
137,녹십자,15378,10956,5529,24621,9624,5.9,8674,14997,0.22,0.35,5.9,1.56,0.62,21.78
138,녹십자홀딩스,18406,14249,9259,34968,15861,3.8,9452,19107,0.14,0.27,3.8,1.2,0.53,14.34
139,농심,26630,10887,5373,28999,6991,3.5,20831,22008,0.19,0.72,3.5,3.15,0.92,15.6
140,농심홀딩스,6415,2292,2407,13286,2897,3.8,7362,10389,-0.01,0.55,3.8,3.59,0.48,15.93
141,다우기술,60870,386423,222258,463224,417060,2.2,16672,46164,0.35,0.04,2.2,0.11,0.13,7.93
142,키다리스튜디오,1191,800,649,2901,674,2.1,132,2227,0.05,0.05,2.1,3.3,0.41,9.45
143,대교,6384,2249,1835,8136,2972,-5.1,4984,5164,0.05,0.61,-5.1,1.74,0.78,-14.09
144,대구백화점,818,1404,1546,4866,2326,-1.2,1515,2540,-0.03,0.31,-1.2,1.09,0.17,-2.74
146,대동,11792,6882,6917,12606,8747,3.2,2353,3859,-0.0,0.19,3.2,0.44,0.94,12.03
147,대동전자,336,845,68,2087,346,5.1,1149,1741,0.37,0.55,5.1,5.03,0.16,21.22
148,대림B&Co,2604,1116,1079,3266,1692,0.3,1274,1574,0.01,0.39,0.3,0.93,0.8,2.91
149,DL,23854,25127,14609,83230,37927,7.9,65885,45303,0.13,0.79,7.9,1.19,0.29,28.34
150,삼일씨엔에스,2266,1278,549,3519,748,-0.9,1875,2771,0.21,0.53,-0.9,3.7,0.64,0.88
151,대림통상,1552,918,818,1658,897,0.2,-81,761,0.06,-0.05,0.2,0.85,0.94,2.11
152,대상,34700,15234,9538,28705,16233,5.4,9474,12472,0.2,0.33,5.4,0.77,1.21,20.19
153,대상홀딩스,42060,18226,12071,36261,21350,4.3,4215,14911,0.17,0.12,4.3,0.7,1.16,16.14
154,대성산업,11291,3185,2465,16524,11915,-2.8,2842,4609,0.04,0.17,-2.8,0.39,0.68,-8.04
155,대성에너지,7704,2327,2477,7425,4251,1.7,880,3174,-0.02,0.12,1.7,0.75,1.04,7.24
156,대성홀딩스,9405,3466,2865,12440,6471,2.0,4536,5969,0.05,0.36,2.0,0.92,0.76,8.48
158,대우건설,86852,71489,50490,104580,72416,4.9,9747,32164,0.2,0.09,4.9,0.44,0.83,17.63
159,대우조선해양,44866,64811,74645,106232,84056,-16.2,-10013,22176,-0.09,-0.09,-16.2,0.26,0.42,-53.12
160,대웅,15114,8480,5140,19337,7767,5.3,6469,11570,0.17,0.33,5.3,1.49,0.78,19.83
161,대웅제약,11530,5249,4607,14152,7128,2.2,4711,7024,0.05,0.33,2.2,0.99,0.81,9.19
162,대원강업,8622,3468,3425,9830,4060,-0.3,4171,5770,0.0,0.42,-0.3,1.42,0.88,1.33
163,대원전선,4750,1949,1416,2406,1529,0.6,457,877,0.22,0.19,0.6,0.57,1.97,4.82
164,대원제약,3542,1804,1021,4296,2112,1.7,2048,2184,0.18,0.48,1.7,1.03,0.82,7.94
165,대원화성,1133,721,565,1358,648,-5.3,264,710,0.11,0.19,-5.3,1.1,0.83,-15.6
166,대유에이텍,16558,6476,9218,13210,11313,-0.2,-249,1897,-0.21,-0.02,-0.2,0.17,1.25,0.41
167,대유플러스,5120,3197,3405,5944,4555,0.4,-480,1389,-0.03,-0.08,0.4,0.3,0.86,2.21
168,대창,12776,4963,3676,8107,5366,3.7,1101,2741,0.16,0.14,3.7,0.51,1.58,14.48
169,대창단조,3544,1970,522,2985,713,10.3,2072,2272,0.49,0.69,10.3,3.19,1.19,38.65
170,대한방직,2004,1109,645,2326,931,0.7,1309,1395,0.2,0.56,0.7,1.5,0.86,5.09
171,대한유화,25149,9706,3075,24789,4497,6.5,17280,20292,0.27,0.7,6.5,4.51,1.01,26.47
172,대한전선,19977,9392,7578,14209,10331,2.2,2229,3878,0.13,0.16,2.2,0.38,1.41,9.28
173,대한제강,20303,8113,4874,12324,5122,15.0,6141,7202,0.26,0.5,15.0,1.41,1.65,53.01
174,대한제당,12613,5725,4233,11823,6711,1.7,2793,5112,0.13,0.24,1.7,0.76,1.07,7.63
175,대한제분,11113,6839,3801,13216,4410,7.3,8349,8806,0.23,0.63,7.3,2.0,0.84,27.29
176,대한항공,90168,66410,84449,266719,198062,2.2,1101,68657,-0.07,0.0,2.2,0.35,0.34,7.73
177,대한해운,11538,5023,3902,38597,23416,8.5,6526,15181,0.03,0.17,8.5,0.65,0.3,29.01
178,더존비즈온,3187,2251,3854,9003,3986,6.4,2533,5017,-0.18,0.28,6.4,1.26,0.35,22.4
179,덕성,1152,752,369,1253,403,5.1,552,850,0.31,0.44,5.1,2.11,0.92,20.0
180,덕양산업,13482,3167,4001,5236,4598,0.3,-42,638,-0.16,-0.01,0.3,0.14,2.57,3.44
181,덴티움,2915,2403,1802,5702,2791,10.3,2477,2911,0.11,0.43,10.3,1.04,0.51,35.86
182,도화엔지니어링,5774,2286,1930,5002,2333,3.2,2237,2669,0.07,0.45,3.2,1.14,1.15,13.11
183,케이비아이동국실업,5214,2140,3126,5680,3979,-4.2,1041,1701,-0.17,0.18,-4.2,0.43,0.92,-12.63
184,동국제강,72403,26828,31192,63341,35517,9.5,9815,27824,-0.07,0.15,9.5,0.78,1.14,33.08
185,동방,5959,1425,1744,5313,3998,-0.1,280,1315,-0.06,0.05,-0.1,0.33,1.12,0.98
186,동방아그로,1341,1543,454,2045,574,3.5,1401,1471,0.53,0.69,3.5,2.56,0.66,15.35
187,동부건설,11449,7816,4107,12620,7023,10.5,3532,5597,0.29,0.28,10.5,0.8,0.91,36.78
188,KG스틸,33548,11232,8156,27711,16209,7.6,2495,11502,0.11,0.09,7.6,0.71,1.21,26.97
189,동서,5353,7804,587,15826,1340,7.4,13226,14486,0.46,0.84,7.4,10.81,0.34,32.97
190,동성케미컬,9260,3944,3165,8188,3618,5.2,923,4570,0.1,0.11,5.2,1.26,1.13,19.32
191,동성화학,1824,1221,352,1881,472,15.0,1064,1409,0.46,0.57,15.0,2.99,0.97,53.61
192,동아쏘시오홀딩스,8819,3586,4673,16914,7063,3.8,6939,9851,-0.06,0.41,3.8,1.39,0.52,14.4
193,다스코,3636,1588,1226,2985,1732,-0.2,866,1253,0.12,0.29,-0.2,0.72,1.22,1.54
194,동아에스티,5932,5310,2755,11160,4596,1.2,1804,6564,0.23,0.16,1.2,1.43,0.53,5.85
195,동아지질,2895,2396,1450,3508,1464,1.4,1490,2044,0.27,0.42,1.4,1.4,0.83,7.2
197,동양,6996,4137,1869,10072,2232,1.1,1176,7840,0.23,0.12,1.1,3.51,0.69,6.87
198,동양고속,812,177,624,1688,843,-14.2,265,845,-0.26,0.16,-14.2,1.0,0.48,-45.87
199,비케이탑스,129,432,713,1131,944,-32.4,-996,187,-0.25,-0.88,-32.4,0.2,0.11,-108.22
200,TYM,8415,4101,3810,7074,4582,5.8,813,2492,0.04,0.11,5.8,0.54,1.19,20.85
201,동양철관,1820,1017,929,1860,1019,-2.2,-275,841,0.05,-0.15,-2.2,0.83,0.98,-5.93
202,동양피스톤,3546,1698,1746,3626,2494,2.2,788,1132,-0.01,0.22,2.2,0.45,0.98,8.81
203,넥스트사이언스,450,603,458,1639,505,-8.9,-895,1134,0.09,-0.55,-8.9,2.25,0.27,-28.41
204,동원F&B,34906,9207,6913,19357,11369,3.8,7025,7988,0.12,0.36,3.8,0.7,1.8,15.41
205,동원금속,2833,1383,2868,4418,3947,3.5,-19,471,-0.34,-0.0,3.5,0.12,0.64,11.85
206,동원산업,28022,12891,8464,30519,15650,5.6,13399,14869,0.15,0.44,5.6,0.95,0.92,20.77
207,동원수산,1446,668,323,1009,439,7.4,162,570,0.34,0.16,7.4,1.3,1.43,27.26
208,동원시스템즈,12509,6385,5149,14920,8266,3.5,2792,6654,0.08,0.19,3.5,0.8,0.84,13.23
209,동일고무벨트,2775,1694,884,3138,1048,2.1,943,2090,0.26,0.3,2.1,1.99,0.88,9.74
210,DI동일,8131,3495,3065,9931,4196,4.9,5609,5735,0.04,0.56,4.9,1.37,0.82,18.64
211,동일산업,4644,3142,619,4738,717,9.8,3904,4021,0.53,0.82,9.8,5.61,0.98,38.47
212,동화약품,2930,2202,665,4478,877,4.4,2903,3601,0.34,0.65,4.4,4.11,0.65,18.95
213,두산,132042,98953,120064,260099,175128,2.3,14681,84971,-0.08,0.06,2.3,0.49,0.51,8.38
214,두산건설,12173,8779,14129,23112,16635,-1.3,-538,6477,-0.23,-0.02,-1.3,0.39,0.53,-3.83
215,두산밥캣,58162,26459,14982,85809,42596,5.0,20467,43213,0.13,0.24,5.0,1.01,0.68,18.28
216,HSD엔진,5990,3449,4311,7956,5865,-5.2,-708,2091,-0.11,-0.09,-5.2,0.36,0.75,-16.45
217,현대두산인프라코어,45937,32398,27688,47823,34125,6.8,18791,13698,0.1,0.39,6.8,0.4,0.96,24.31
218,두산중공업,112836,84176,101258,237205,149130,2.6,7732,88075,-0.07,0.03,2.6,0.59,0.48,9.37
219,두올,4956,2580,1490,4241,2268,3.8,941,1973,0.26,0.22,3.8,0.87,1.17,14.85
220,디아이,2266,1211,632,2491,953,6.3,950,1538,0.23,0.38,6.3,1.61,0.91,23.47
221,디아이씨,5901,2171,4284,6289,4963,4.8,-728,1326,-0.34,-0.12,4.8,0.27,0.94,16.37
222,디와이,9984,5340,3011,8600,3618,1.4,2388,4982,0.27,0.28,1.4,1.38,1.16,7.32
223,디와이파워,4372,2252,1071,3420,1161,9.9,1109,2259,0.35,0.32,9.9,1.95,1.28,35.99
224,디티알오토모티브,9308,10771,5581,14850,7710,7.0,9788,7140,0.35,0.66,7.0,0.93,0.63,25.63
225,스틱인베스트먼트,3127,1964,965,3420,1098,19.7,1711,2322,0.29,0.5,19.7,2.11,0.91,68.23
226,락앤락,5430,5420,1013,8297,1358,2.0,3691,6939,0.53,0.44,2.0,5.11,0.65,11.57
227,롯데관광개발,1071,915,2404,13024,12497,-16.1,-5447,527,-0.11,-0.42,-16.1,0.04,0.08,-53.75
228,롯데쇼핑,155736,70002,89942,334265,216295,-0.8,89966,117970,-0.06,0.27,-0.8,0.55,0.47,-1.53
229,롯데정밀화학,17803,8669,3090,27235,5248,25.5,17685,21987,0.2,0.65,25.5,4.19,0.65,88.46
231,롯데지주,99249,47725,45670,199219,102926,0.8,50808,96293,0.01,0.26,0.8,0.94,0.5,4.08
232,롯데칠성,25061,9945,9710,35968,21518,3.9,19615,14450,0.01,0.55,3.9,0.67,0.7,14.75
233,롯데케미칼,181205,94307,45791,228700,74188,6.8,133075,154512,0.21,0.58,6.8,2.08,0.79,25.54
234,롯데푸드,16078,4824,2573,12715,4855,-0.1,9699,7860,0.18,0.76,-0.1,1.62,1.26,3.18
235,마니커,2527,698,889,1965,1492,-25.8,-1410,473,-0.1,-0.72,-25.8,0.32,1.29,-84.79
236,만도,61474,29443,21296,57044,36601,3.4,9155,20443,0.14,0.16,3.4,0.56,1.08,13.03
237,쎌마테라퓨틱스,75,258,292,287,297,-36.0,-754,-10,-0.12,-2.63,-36.0,-0.03,0.26,-122.38
239,명문제약,1448,669,1125,2227,1368,-2.9,-400,859,-0.2,-0.18,-2.9,0.63,0.65,-9.03
240,모나미,1322,1123,645,2025,980,7.9,556,1045,0.24,0.27,7.9,1.07,0.65,28.03
241,모토닉,1961,3766,254,4480,292,2.7,3861,4188,0.78,0.86,2.7,14.34,0.44,20.09
242,무림P&P,6137,3432,5274,14836,8647,1.4,3365,6189,-0.12,0.23,1.4,0.72,0.41,5.64
243,무림페이퍼,10553,6754,9168,22844,16379,0.0,1111,6465,-0.11,0.05,0.0,0.39,0.46,0.63
244,무학,1269,560,1436,6466,1481,-2.6,4933,4985,-0.14,0.76,-2.6,3.37,0.2,-5.46
245,미래산업,483,701,291,1177,331,7.0,-557,846,0.35,-0.47,7.0,2.56,0.41,24.81
247,미원상사,3598,1716,466,3724,764,16.5,2838,2960,0.34,0.76,16.5,3.87,0.97,59.21
249,미원홀딩스,4214,1351,1097,4268,1911,10.6,1029,2357,0.06,0.24,10.6,1.23,0.99,37.12
250,미창석유,4063,2604,392,3476,456,10.1,3004,3020,0.64,0.86,10.1,6.62,1.17,40.44
252,방림,423,1628,468,2474,562,-0.3,936,1912,0.47,0.38,-0.3,3.4,0.17,2.32
253,백광산업,1911,547,1255,3592,1697,4.4,387,1895,-0.2,0.11,4.4,1.12,0.53,15.64
254,태경비케이,1952,1238,660,3324,975,4.9,793,2349,0.17,0.24,4.9,2.41,0.59,18.75
255,백산,3711,2098,1482,3302,1831,6.2,1011,1471,0.19,0.31,6.2,0.8,1.12,22.72
256,범양건영,1119,1224,731,1985,1123,2.4,240,862,0.25,0.12,2.4,0.77,0.56,9.41
257,벽산,4714,2076,1578,5054,2151,-0.3,1750,2903,0.1,0.35,-0.3,1.35,0.93,1.36
