종목_list,2018_총자산,2019_총자산,2020_총자산,2021_총자산
코스모화학,"4,930","5,170","6,685","6,813"
코아스,785,773,732,793
코오롱,"34,739","36,186","37,081","39,663"
코오롱글로벌,"20,334","22,054","24,699","25,757"
코오롱머티리얼,"2,067","1,250","1,080","1,053"
코오롱인더,"55,729","52,931","50,437","56,013"
코오롱플라스틱,"3,410","3,387","3,179","3,691"
코웨이,"23,789","28,550","30,290","38,006"
콤텍시스템,"1,135","1,615","1,853","3,491"
쿠쿠홀딩스,"7,470","8,126","9,251","10,709"
크라운제과,"3,328","3,329","3,270","3,246"
크라운해태홀딩스,"12,865","12,382","10,934","11,157"
키움증권,"186,643","239,438","375,909","453,011"
아센디오,"1,242",568,274,681
태경산업,"5,427","5,614","5,413","5,847"
태경케미컬,"1,232","1,356","1,407","1,607"
태광산업,"45,027","43,571","40,602","49,238"
태림포장,"6,068","5,663","5,668","6,009"
태양금속,"3,963","3,899","4,423","4,477"
태영건설,"49,586","59,161","37,983","37,348"
태원물산,383,382,383,374
태평양물산,"5,565","6,133","6,760","7,650"
테이팩스,"1,602","1,450","1,626","1,808"
텔코웨어,"1,258","1,274","1,231","1,222"
토니모리,"2,042","2,409","1,942","2,021"
트러스제7호,"1,026","1,025","1,028","1,040"
티에이치엔,"2,124","2,654","2,796","3,399"
티웨이홀딩스,"4,975","8,710","7,661","8,053"
시디즈,720,671,958,848
파미셀,591,633,697,958
팜스코,"8,832","9,792","9,893","11,076"
팬오션,"41,195","44,542","46,593","64,888"
퍼스텍,"1,607","1,821","1,807","1,856"
퍼시스,"4,842","4,818","4,989","5,755"
페이퍼코리아,"5,884","6,279","5,089","4,972"
평화산업,"1,784","1,942","2,032","2,201"
평화홀딩스,"4,954","5,029","5,223","5,181"
포스코스틸리온,"4,542","5,034","4,854","5,864"
포스코인터내셔널,"98,810","89,594","83,280","107,707"
풀무원,"12,169","14,846","16,936","19,694"
풍산,"26,681","25,625","25,520","31,483"
풍산홀딩스,"8,793","9,386","9,753","10,520"
KH 필룩스,"3,041","4,168","3,831","5,394"
하나금융지주,"3,850,086","4,214,671","4,609,470","5,024,453"
하나니켈1호, , , , 
하나니켈2호, , , , 
하나투어,"7,161","10,076","7,033","4,306"
하이골드12호,369,364,343,367
하이골드3호,373,333,289,460
하이골드8호,534,389,393,346
하이스틸,"2,330","2,343","2,397","2,597"
하이트론,648,556,614,474
하이트진로,"34,281","32,709","32,978","36,311"
하이트진로홀딩스,"39,893","38,367","39,050","42,363"
한국가스공사,"396,897","393,119","359,098","436,699"
한국공항,"4,244","4,647","4,254","3,839"
한국금융지주,"640,037","607,663","704,377","820,366"
한국내화,"2,046","2,093","2,028","3,579"
한국단자,"8,605","8,856","9,852","11,252"
한국석유,"3,073","2,928","3,165","3,421"
한국쉘석유,"1,446","1,411","1,486","1,657"
한국유리,"6,785","7,107","8,529","7,196"
한국자산신탁,"10,081","12,375","12,076","12,647"
한국전력,"1,852,491","1,975,978","2,031,421","2,111,089"
한국전자홀딩스,"3,908","3,899","4,122","4,636"
한국제지,"7,714","7,582","8,506","8,650"
한국종합기술,"2,279","2,998","3,321","3,394"
한국주강,603,485,465,502
한국주철관,"3,520","3,567","3,575","4,231"
한국철강,"9,090","8,732","8,688","9,087"
한국카본,"3,601","3,976","4,783","4,984"
한국콜마,"21,864","24,003","24,896","26,060"
한국콜마홀딩스,"8,817","10,919","12,185","12,097"
한국타이어앤테크놀로지,"97,964","101,646","106,585","117,039"
한국앤컴퍼니,"34,986","36,071","37,925","40,812"
한국토지신탁,"13,759","14,472","15,445","17,214"
한국특강,"3,417","3,175","3,523","4,587"
한국프랜지,"6,406","6,523","6,680","6,994"
한국항공우주,"37,559","43,671","51,591","58,552"
한국화장품,950,813,754,485
한국화장품제조,718,842,777,765
한농화성,"1,625","1,634","1,714","2,170"
한독,"6,526","7,487","8,189","8,416"
한라,"17,938","15,882","16,536","15,214"
한라홀딩스,"17,241","17,604","19,615","22,950"
한미글로벌,"2,097","2,036","2,187","2,853"
한미반도체,"2,460","2,575","3,270","4,293"
한미사이언스,"9,165","9,108","9,232","9,499"
한미약품,"16,912","19,137","18,820","19,367"
한샘,"9,402","12,026","12,295","12,464"
한섬,"12,727","13,236","14,385","15,571"
한성기업,"2,222","2,336","1,958","1,999"
한세실업,"11,707","11,795","10,211","12,162"
한세엠케이,"2,056","1,847","1,497","1,291"
한세예스24홀딩스,"16,783","17,314","18,400","22,413"
한솔PNS,913,"1,034","1,071","1,097"
한솔로지스틱스,"1,268","1,668","1,960","2,666"
한솔제지,"17,927","17,433","17,404","18,878"
한솔케미칼,"7,917","9,392","9,992","11,972"
한솔테크닉스,"5,130","4,953","5,914","7,887"
한솔홀딩스,"13,474","6,664","6,271","6,537"
한솔홈데코,"3,081","2,958","2,950","3,147"
한신공영,"17,784","16,510","17,343","21,199"
한신기계,907,940,952,"1,011"
한양증권,"18,447","18,222","19,677","16,334"
한온시스템,"53,558","70,824","78,074","82,337"
한올바이오파마,"1,623","1,914","2,201","1,985"
한익스프레스,"1,996","2,758","3,017","3,748"
한일홀딩스,"32,542","33,000","33,201","32,638"
한일철강,"3,122","3,194","2,951","3,387"
한전KPS,"12,809","13,594","13,499","14,269"
한전기술,"7,715","7,352","7,003","7,055"
한전산업,"1,485","1,667","1,636","1,633"
한진,"26,614","35,484","37,887","38,776"
HJ중공업,"27,336","24,702","21,939","23,852"
한진중공업홀딩스,"18,736","18,607","18,372","18,378"
한진칼,"28,501","26,937","34,886","37,547"
한창,"1,062",918,"1,178","1,343"
한창제지,"1,547","1,720","1,811","2,486"
한화,"1,695,486","1,822,862","1,911,783","2,023,664"
한화갤러리아타임월드,"4,840","4,893","4,518","3,485"
한화생명,"1,320,845","1,418,501","1,487,748","1,635,914"
한화손해보험,"167,339","182,572","195,183","202,850"
한화솔루션,"152,315","156,811","151,373","200,076"
한화에어로스페이스,"73,967","87,084","94,648","110,458"
한화투자증권,"73,441","98,783","118,590","117,910"
해성디에스,"3,062","3,266","3,832","4,749"
해태제과식품,"7,950","7,569","6,212","6,549"
핸즈코퍼레이션,"7,053","8,511","8,441","8,950"
HDC현대EP,"6,004","5,473","5,249","5,829"
현대건설,"180,546","182,270","179,393","196,373"
현대건설기계,"31,265","31,881","33,559","35,543"
현대그린푸드,"28,374","29,666","30,685","31,100"
현대글로비스,"86,878","101,297","108,987","121,709"
HD현대,"233,478","257,155","265,590","358,157"
현대로템,"40,022","40,843","41,974","41,072"
현대리바트,"6,789","7,528","8,033","8,636"
현대모비스,"430,711","466,061","484,977","514,825"
현대미포조선,"34,637","33,806","35,990","38,783"
현대백화점,"69,886","76,231","87,070","89,692"
현대비앤지스틸,"6,056","6,086","6,485","7,688"
HDC,"34,097","42,090","96,171","106,515"
현대코퍼레이션,"10,982","14,446","12,191","17,074"
HMM,"41,214","71,602","93,734","178,761"
한일현대시멘트,"5,489","5,602","5,629","5,968"
현대약품,"1,461","1,464","1,575","1,639"
현대퓨처넷,"7,805","8,135","10,071","10,340"
현대엘리베이,"23,748","25,477","26,262","29,874"
현대위아,"71,074","67,743","77,199","77,495"
현대일렉트릭,"23,261","22,565","22,726","22,150"
현대제철,"333,049","343,663","348,450","370,423"
한국조선해양,"247,299","250,554","252,442","272,931"
현대차,"1,806,558","1,945,122","2,093,442","2,339,464"
현대차증권,"66,012","70,307","91,679","88,061"
현대코퍼레이션홀딩스,"1,888","2,414","2,169","2,510"
현대해상,"440,922","463,938","491,941","528,180"
현대홈쇼핑,"25,627","25,038","26,931","26,003"
형지엘리트,"1,208","1,143","1,304","1,233"
혜인,"2,284","2,183","2,079","1,947"
호전실업,"2,875","2,923","2,721","3,027"
호텔신라,"23,037","35,273","28,938","26,565"
화성산업,"6,409","6,126","5,805","8,080"
화승코퍼레이션,"12,118","12,116","11,839","11,552"
화승엔터프라이즈,"7,605","9,789","11,550","13,303"
화승인더,"9,913","12,707","14,335","16,371"
화신,"8,282","8,084","8,227","8,708"
화인베스틸,"2,281","2,108","1,778","1,832"
화천기계,"1,621","1,583","1,465","1,559"
화천기공,"3,856","3,749","3,784","4,254"
환인제약,"2,877","3,049","3,296","3,532"
황금에스티,"4,062","3,902","4,523","4,316"
효성,"64,079","65,271","44,298","52,579"
효성ITX,"1,214","1,593","1,617","2,414"
후성,"4,415","5,289","5,401","6,163"
휠라홀딩스,"33,043","37,702","37,584","42,889"
휴니드,"2,273","2,610","2,479","2,673"
휴비스,"9,581","8,772","8,729","8,434"
휴스틸,"6,035","5,791","6,041","9,519"
TKG휴켐스,"8,647","9,139","8,666","9,493"
흥국화재,"119,389","126,485","132,112","137,623"
흥아해운,"8,037","4,310","2,868","2,473"
