종목_list,2018_총자산,2019_총자산,2020_총자산,2021_총자산
광주은행,"197,763","226,195","234,191","234,036"
교보증권,"73,412","79,239","101,111","114,838"
국도화학,"8,544","9,054","9,306","14,164"
국동,"1,230","1,333","1,807","1,685"
국보,482,"1,154",908,"1,023"
국제약품,"1,262","1,346","1,456","1,398"
극동유화,"2,801","2,899","2,927","3,219"
금강공업,"8,528","8,340","7,792","8,687"
금비,"2,602","3,340","3,379","3,396"
금양,"2,048","2,242","2,199","3,148"
금호건설,"11,822","13,374","13,772","17,360"
금호석유,"46,167","45,380","50,273","81,157"
금호에이치티,"2,384","3,221","3,443","4,588"
금호전기,"1,703",731,678,839
금호타이어,"42,214","39,295","38,462","43,422"
기신정기,"2,458","2,517","2,596","2,624"
기아,"517,866","553,448","604,904","668,500"
기업은행,"2,895,094","3,181,110","3,616,162","3,980,719"
까뮤이앤씨,"1,422","1,689","1,662","1,951"
깨끗한나라,"5,994","5,383","5,631","5,987"
에이프로젠 MED,"3,952","6,472","8,343","8,241"
남광토건,"1,489","2,026","2,040","2,740"
남선알미늄,"3,030","2,955","2,952","3,552"
남성,"2,051","2,048","2,330","2,888"
남양유업,"10,527","10,564","10,011","9,374"
비비안,"1,411","1,333","1,890","1,982"
남해화학,"5,479","5,811","5,894","7,191"
넥센,"38,251","40,980","42,392","45,723"
넥센타이어,"32,423","34,361","35,411","38,234"
넷마블,"54,330","58,061","82,234","106,638"
노루페인트,"6,074","6,273","6,667","6,706"
노루홀딩스,"9,871","10,074","10,511","10,555"
녹십자,"17,234","19,593","21,514","24,621"
녹십자홀딩스,"26,286","27,739","32,412","34,968"
농심,"25,323","26,531","27,255","28,999"
농심홀딩스,"11,948","12,165","12,481","13,286"
다우기술,"193,457","247,416","386,222","463,224"
키다리스튜디오,187,420,482,"2,901"
큐로,"1,973","2,170","1,977","1,659"
대교,"8,303","9,199","8,452","8,136"
대구백화점,"7,002","6,736","5,087","4,866"
대덕GDS,"5,263","5,131","5,687","5,653"
대덕,"11,369","12,019","16,387","17,240"
대동,"7,727","8,274","9,387","12,606"
대동전자,"1,710","1,790","2,050","2,087"
대림B&Co,"3,017","3,092","3,263","3,266"
DL,"128,337","134,452","139,019","83,230"
삼일씨엔에스,"3,389","3,372","3,264","3,519"
대림통상,"1,993","1,795","1,597","1,658"
대상,"21,990","23,896","25,283","28,705"
대상홀딩스,"26,296","28,888","30,602","36,261"
대성산업,"10,928","10,324","11,017","16,524"
대성에너지,"6,539","6,972","7,021","7,425"
대성홀딩스,"11,173","11,358","11,811","12,440"
대신증권,"191,513","194,373","215,038","227,632"
대양금속,923,905,"1,163","1,575"
대영포장,"2,187","2,122","2,080","2,461"
대우건설,"87,338","96,977","93,059","104,580"
대우부품,708,775,920,944
대우조선해양,"119,185","112,761","103,208","106,232"
대웅,"15,922","16,709","18,375","19,337"
대웅제약,"12,078","12,457","13,669","14,152"
대원강업,"10,858","10,480","10,179","9,830"
대원전선,"1,915","1,896","1,920","2,406"
대원제약,"2,754","3,275","3,352","4,296"
대원화성,"1,248","1,305","1,298","1,358"
대유에이텍,"8,896","11,173","11,665","13,210"
대유플러스,"10,000","10,891","4,731","5,944"
대창,"5,694","5,761","6,203","8,107"
대창단조,"2,290","2,386","2,472","2,985"
대한방직,"2,675","1,977","2,138","2,326"
대한유화,"19,839","20,265","21,276","24,789"
대한전선,"11,729","12,351","11,995","14,209"
대한제강,"6,571","6,352","9,449","12,324"
대한제당,"11,354","11,431","11,462","11,823"
대한제분,"9,197","10,051","10,849","13,216"
대한항공,"258,425","270,141","251,901","266,719"
대한해운,"29,329","33,409","33,456","38,597"
대한화섬,"5,835","6,094","7,223","9,078"
