종목_list,2018_유동부채,2019_유동부채,2020_유동부채,2021_유동부채
남양유업,"1,487","1,007",974,969
비비안,324,234,342,269
남해화학,"1,084","1,267","1,188","2,321"
넥센,"7,177","6,857","8,491","11,529"
넥센타이어,"6,350","6,184","7,668","10,417"
넷마블,"5,870","6,646","16,335","30,562"
노루페인트,"1,961","1,949","2,544","2,099"
노루홀딩스,"2,725","2,714","3,359","3,083"
녹십자,"3,035","4,014","5,894","5,529"
녹십자홀딩스,"6,618","6,763","11,028","9,259"
농심,"5,222","5,850","5,221","5,373"
농심홀딩스,"2,316","2,477","2,290","2,407"
다우기술,"102,939","131,624","199,048","222,258"
키다리스튜디오,20,82,202,649
큐로,"1,221","1,088",839,625
대교,"1,522","1,788","1,779","1,835"
대구백화점,"1,625","3,227","1,627","1,546"
대덕GDS, , , , 
대덕,"1,405","1,469","2,435","2,439"
대동,"4,308","4,815","4,971","6,917"
대동전자,136,114,140,68
대림B&Co,753,683,796,"1,079"
DL,"45,300","42,714","83,677","14,609"
삼일씨엔에스,519,454,390,549
대림통상,891,666,640,818
대상,"7,385","7,951","7,815","9,538"
대상홀딩스,"8,396","9,321","9,423","12,071"
대성산업,"3,342","3,602","2,216","2,465"
대성에너지,"2,173","2,299","2,776","2,477"
대성홀딩스,"3,064","3,259","3,562","2,865"
대신증권, , , , 
대양금속,535,210,314,435
대영포장,572,459,416,406
대우건설,"49,929","50,847","49,364","50,490"
대우부품,264,345,482,510
대우조선해양,"53,568","48,075","51,627","74,645"
대웅,"3,825","2,949","3,678","5,140"
대웅제약,"3,674","2,621","3,268","4,607"
대원강업,"3,796","3,720","3,638","3,425"
대원전선,992,950,935,"1,416"
대원제약,577,617,560,"1,021"
대원화성,445,399,470,565
대유에이텍,"5,512","7,164","7,256","9,218"
대유플러스,"1,989","8,712","2,874","3,405"
대창,"2,950","3,259","3,051","3,676"
대창단조,374,329,346,522
대한방직,682,573,497,645
대한유화,"1,348",914,690,"3,075"
대한전선,"3,667","8,822","8,009","7,578"
대한제강,"1,947","1,519","3,743","4,874"
대한제당,"3,894","4,043","3,913","4,233"
대한제분,"1,543","1,783","2,307","3,801"
대한항공,"75,568","87,773","79,878","84,449"
대한해운,"7,813","7,754","5,967","3,902"
대한화섬,338,249,148,273
대현,545,482,388,512
대호에이엘,502,449,613,672
더존비즈온,891,951,"1,246","3,854"
덕성,280,334,344,369
덕양산업,"3,664","4,006","4,075","4,001"
덴티움,"1,404","1,747","1,933","1,802"
도레이케미칼, , , , 
도화엔지니어링,"1,233","1,442","1,624","1,930"
케이비아이동국실업,"3,406","3,386","3,333","3,126"
동국제강,"32,291","28,493","28,058","31,192"
동남합성,184,113,285,351
동방,"3,277","3,739","2,546","1,744"
동방아그로,276,312,333,454
동부건설,"2,476","3,617","2,614","4,107"
KG스틸,"10,191","6,418","4,760","8,156"
동북아12호,2,2,2,2
동북아13호,1,1,1,1
동서,585,571,559,587
동성제약,504,406,478,376
동성케미컬,"3,311","3,020","3,024","3,165"
동성화학,701,613,539,352
