종목_list,2018_유동부채,2019_유동부채,2020_유동부채,2021_유동부채
한전기술,"2,484","2,235","1,873","1,836"
한전산업,450,496,537,526
한진,"7,830","5,162","7,552","8,659"
HJ중공업,"21,401","18,452","10,346","9,500"
한진중공업홀딩스,"4,868","6,253","5,502","5,581"
한진칼,"6,521","5,994","8,886","13,071"
한창,665,372,575,895
한창제지,468,608,649,635
한화,"148,700","160,027","156,521","164,690"
한화갤러리아타임월드,"1,680","2,061","1,713","1,857"
한화생명, , , ,"13,567"
한화손해보험, , , , 
한화솔루션,"51,325","58,310","52,511","57,879"
한화에어로스페이스,"31,441","33,290","39,004","43,301"
한화투자증권, , , , 
해성디에스,649,885,"1,200","1,548"
해태제과식품,"2,689","3,087","2,056","2,525"
핸즈코퍼레이션,"3,232","3,226","3,512","4,995"
HDC현대EP,"2,612","2,171","1,558","1,886"
현대건설,"68,609","67,709","64,677","76,132"
현대건설기계,"9,451","10,528","11,565","14,991"
현대그린푸드,"4,554","5,272","5,467","5,885"
현대글로비스,"28,848","34,135","35,477","39,430"
HD현대,"86,602","80,223","63,364","116,859"
현대로템,"17,295","22,920","22,303","20,907"
현대리바트,"2,122","2,481","2,588","3,205"
현대모비스,"82,422","89,623","100,822","100,770"
현대미포조선,"10,764","10,016","11,910","16,120"
현대백화점,"12,932","14,434","22,762","19,785"
현대비앤지스틸,"1,436",921,"1,187","1,861"
HDC,"6,882","9,344","33,284","39,204"
현대코퍼레이션,"7,296","6,754","4,613","8,738"
HMM,"11,056","16,837","28,807","25,247"
한일현대시멘트,"2,430","2,764","2,372","1,563"
현대약품,495,493,518,459
현대퓨처넷,472,641,"1,218","1,684"
현대엘리베이,"7,450","9,346","9,298","10,824"
현대위아,"18,628","18,614","19,857","21,263"
현대일렉트릭,"11,233","11,238","12,753","12,525"
현대제철,"67,025","64,203","60,727","74,668"
한국조선해양,"94,103","89,419","95,115","112,865"
현대차,"494,384","533,141","594,595","642,368"
현대차증권, , , , 
현대코퍼레이션홀딩스,204,403,181,271
현대해상, , , , 
현대홈쇼핑,"7,679","5,378","7,474","5,443"
형지엘리트,470,424,496,412
혜인,"1,331","1,164","1,023",802
호전실업,"1,440","1,198","1,225","1,328"
호텔신라,"10,027","14,381","7,753","10,118"
화성산업,"1,572","1,759","1,364","2,236"
화승코퍼레이션,"8,671","8,386","7,933","7,850"
화승엔터프라이즈,"4,080","5,196","5,605","6,954"
화승인더,"5,420","6,845","7,133","8,547"
화신,"4,668","3,831","4,482","4,630"
화인베스틸,"1,161","1,040",959,952
화천기계,367,327,251,296
화천기공,592,459,464,650
환인제약,237,247,267,309
황금에스티,"1,237",585,"1,216",714
효성,"22,479","22,384","10,903","15,612"
효성ITX,652,815,889,"1,068"
후성,706,921,"1,460","1,620"
휠라홀딩스,"6,723","8,674","9,955","10,514"
휴니드,"1,110","1,383","1,194","1,273"
휴비스,"4,522","3,422","2,980","3,313"
휴스틸,"1,778","1,462","1,248","1,756"
TKG휴켐스,"1,007","1,680",908,"1,832"
흥국화재, , , , 
흥아해운,"3,125","2,023","1,528",267
