2018_매출액,2019_매출액,2020_매출액,2021_매출액,2018_유동자산,2019_유동자산,2020_유동자산,2021_유동자산,2018_유동부채,2019_유동부채,2020_유동부채,2021_유동부채,2018_총자산,2019_총자산,2020_총자산,2021_총자산,2018_총부채,2019_총부채,2020_총부채,2021_총부채,2017_roa,2018_roa,2019_roa,2020_roa,2021_roa,2018_이익잉여금,2019_이익잉여금,2020_이익잉여금,2021_이익잉여금,2018_자기자본,2019_자기자본,2020_자기자본,2021_자기자본,종목,번호,category
8309,7956,6229,9648,1268,1185,1113,1459,689,807,825,1122,2801,2899,2927,3219,1202,1206,1199,1399,6.6,5.9,5.0,2.5,3.6,1460,1548,1569,1646,1599,1693,1728,1820,극동유화,014530,1027
5679,5497,5019,5705,3629,3886,3068,3553,4223,4442,3523,4053,8528,8340,7792,8687,4986,4881,4259,4820,3.6,1.9,-0.6,0.3,2.7,2396,2276,2281,2479,3542,3459,3533,3867,금강공업,014280,1027
2014,2193,2286,565,1056,991,927,935,565,814,793,730,2602,3340,3379,3396,966,1765,1760,1803,4.1,4.1,-1.2,1.5,-1.4,913,866,895,878,1636,1575,1619,1593,금비,008870,1027
2054,1727,1762,2177,1294,1303,1264,1951,1146,1402,804,1278,2048,2242,2199,3148,1253,1559,1401,1974,9.9,10.1,-5.1,-1.8,5.0,403,262,224,355,795,683,798,1174,금양,001570,1027
13767,15977,18296,20651,6189,10143,7816,9891,6397,7631,8314,8699,11822,13374,13772,17360,8259,9609,9870,10832,7.5,0.0,0.9,2.0,9.5,2086,2018,2044,3341,3563,3765,3902,6528,금호건설,002990,1018
55849,49615,48095,84618,13487,12614,17055,34452,17589,12756,12102,23603,46167,45380,50273,81157,22686,19085,18780,30328,4.8,10.9,6.4,12.2,29.9,19246,21867,27274,45651,23481,26295,31493,50829,금호석유,011780,1027
2093,2511,2196,2340,1555,2049,2049,1918,867,1325,1201,1047,2384,3221,3443,4588,1135,1494,1212,1080,3.2,4.0,0.0,-3.0,-4.4,874,885,792,602,1249,1727,2231,3508,금호에이치티,214330,1027
636,592,450,416,613,355,457,652,1112,492,594,630,1703,731,678,839,1356,562,635,655,-4.6,-7.2,-27.3,-34.6,-13.0,-302,-493,-280,-181,347,169,43,184,금호전기,001210,1027
25587,23692,21707,26012,13458,10867,11704,15669,12209,9377,9504,15005,42214,39295,38462,43422,28797,26368,26786,30606,-2.3,-4.4,-1.1,-2.1,-1.8,-3138,-3737,-4822,-5633,13417,12927,11676,12816,금호타이어,073240,1027
1190,1247,1285,970,1294,1378,1444,1496,101,133,145,130,2458,2517,2596,2624,121,144,155,142,4.1,6.2,3.5,3.8,3.6,1960,2015,2059,2087,2337,2373,2441,2482,기신정기,092440,1027
541698,581460,591681,698624,197118,215554,260934,292055,148347,172766,210976,215626,517866,553448,604904,668500,245431,263667,305988,319374,1.9,2.2,3.4,2.6,7.5,247117,260562,271734,316829,272435,289781,298916,349126,기아,000270,1027
6263,5942,5916,5787,1663,1154,1192,1323,3281,2464,1812,1640,5994,5383,5631,5987,4247,3758,3462,3692,-4.1,-5.7,-2.1,7.0,1.4,-407,-533,435,501,1747,1625,2169,2295,깨끗한나라,004540,1027
510,782,1271,1412,1413,3471,4345,4843,998,1087,851,1108,3952,6472,8343,8241,1996,1296,1443,1197,1.4,-9.7,3.5,-4.4,-1.5,-283,-390,-854,-1053,1956,5176,6900,7044,에이프로젠 MED,007460,1027
1572,2362,2380,3567,990,1419,1275,2058,938,1403,1309,1712,1489,2026,2040,2740,998,1497,1377,1862,1.0,3.6,2.2,6.8,9.1,157,196,328,545,491,529,663,878,남광토건,001260,1018
3478,3248,2685,2303,1290,1203,1124,1165,909,730,637,693,3030,2955,2952,3552,1343,1164,1056,1193,7.7,8.6,4.8,3.6,12.8,1086,1226,1332,1771,1687,1791,1896,2359,남선알미늄,008350,1027
833,730,925,1023,781,814,850,1265,1040,880,970,1197,2051,2048,2330,2888,1223,1189,1265,1702,0.7,-1.8,-1.1,-4.6,2.7,504,477,622,688,828,859,1065,1186,남성,004270,1016
10797,10308,9489,9561,6287,5469,5078,4800,1487,1007,974,969,10527,10564,10011,9374,1638,1441,1279,1244,0.5,0.2,2.8,-5.1,-6.1,9059,9293,8903,8300,8889,9123,8732,8130,남양유업,003920,1027
2114,1967,1833,1879,792,703,1034,886,324,234,342,269,1411,1333,1890,1982,365,320,988,949,-1.1,-4.0,-1.8,-32.4,-1.7,769,736,206,174,1046,1013,902,1033,비비안,002070,1027
12427,11872,10098,14519,3410,3738,3831,5033,1084,1267,1188,2321,5479,5811,5894,7191,1232,1472,1365,2475,4.9,1.5,2.8,4.3,3.3,3375,3467,3652,3795,4247,4339,4529,4716,남해화학,025860,1027
13600,22913,19685,24039,11105,12054,13440,16455,7177,6857,8491,11529,38251,40980,42392,45723,19423,20577,21979,24555,8.0,3.6,3.3,0.0,0.7,7841,8569,8712,9068,18828,20403,20413,21168,넥센,005720,1027
19840,20223,16981,20794,9835,10886,12003,14760,6350,6184,7668,10417,32423,34361,35411,38234,18141,18781,19941,22235,4.6,3.4,3.6,-0.5,0.1,12914,14103,14007,14215,14282,15580,15470,15999,넥센타이어,002350,1027
20213,21787,24848,25069,25906,25601,18207,19626,5870,6646,16335,30562,54330,58061,82234,106638,8815,11577,25728,46561,9.9,4.0,3.0,4.8,2.6,7610,9145,12262,22346,45515,46484,56506,60077,넷마블,251270,1026
6147,6475,6429,7309,2396,2637,3030,3038,1961,1949,2544,2099,6074,6273,6667,6706,2996,3050,3328,3257,5.1,2.1,3.1,2.8,2.2,1938,2075,2202,2290,3078,3223,3339,3449,노루페인트,090350,1027
8360,8843,8480,9552,4491,4528,4849,4951,2725,2714,3359,3083,9871,10074,10511,10555,4256,4399,4731,4720,6.3,0.3,2.0,2.8,1.0,3024,3011,3113,3083,5615,5675,5780,5835,노루홀딩스,000320,1021
13349,13571,15041,15378,8934,9618,11320,10956,3035,4014,5894,5529,17234,19593,21514,24621,5972,7752,8821,9624,3.5,2.0,-0.6,4.3,5.9,7018,6795,7573,8674,11262,11841,12693,14997,녹십자,006280,1027
15487,14936,17193,18406,11446,11237,15358,14249,6618,6763,11028,9259,26286,27739,32412,34968,11755,12673,15677,15861,2.9,0.8,-1.1,6.0,3.8,7578,7453,9063,9452,14531,15066,16735,19107,녹십자홀딩스,005250,1026
22364,23439,26398,26630,10538,10786,10744,10887,5222,5850,5221,5373,25323,26531,27255,28999,6345,7123,6766,6991,3.7,3.4,2.7,5.5,3.5,18425,18780,20007,20831,18978,19408,20489,22008,농심,004370,1027
5432,5367,5836,6415,2132,2208,2082,2292,2316,2477,2290,2407,11948,12165,12481,13286,2989,2944,2746,2897,3.5,4.0,3.0,5.6,3.8,6159,6380,6951,7362,8959,9221,9735,10389,농심홀딩스,072710,1021
22024,29018,47329,60870,142703,205307,344794,386423,102939,131624,199048,222258,193457,247416,386222,463224,169051,220774,353771,417060,2.1,1.4,1.8,2.1,2.2,8897,10586,13158,16672,24406,26642,32451,46164,다우기술,023590,1026
196,267,455,1191,72,223,253,800,20,82,202,649,187,420,482,2901,21,210,210,674,-10.3,0.7,7.5,0.2,2.1,68,92,92,132,166,210,272,2227,키다리스튜디오,020120,1026
7631,7619,6270,6384,2852,2726,2202,2249,1522,1788,1779,1835,8303,9199,8452,8136,2135,3066,2863,2972,4.9,2.3,2.0,-2.1,-5.1,5757,5725,5445,4984,6168,6133,5589,5164,대교,019680,1026
1200,1015,911,818,1347,1826,351,1404,1625,3227,1627,1546,7002,6736,5087,4866,3903,3874,2463,2326,-2.2,-4.2,-2.8,-3.0,-1.2,1925,1725,1539,1515,3099,2862,2624,2540,대구백화점,006370,1016
6548,8344,8958,11792,4478,4737,4664,6882,4308,4815,4971,6917,7727,8274,9387,12606,5552,6085,6104,8747,1.4,0.2,0.3,2.4,3.2,1848,1845,2019,2353,2175,2189,3283,3859,대동,000490,1027
480,450,398,336,736,791,812,845,136,114,140,68,1710,1790,2050,2087,331,320,410,346,0.4,2.1,2.6,1.7,5.1,1037,1080,1071,1149,1379,1470,1640,1741,대동전자,008110,1027
2472,2364,2324,2604,1142,1138,1268,1116,753,683,796,1079,3017,3092,3263,3266,1416,1498,1685,1692,2.2,1.3,0.7,-0.6,0.3,1328,1323,1294,1274,1601,1594,1578,1574,대림B&Co,005750,1027
109845,16604,15661,23854,63666,67397,93278,25127,45300,42714,83677,14609,128337,134452,139019,83230,67835,67085,106905,37927,3.9,5.2,5.4,4.2,7.9,47930,53299,57714,65885,60502,67367,32114,45303,DL,000210,1021
2056,1955,1861,2266,1771,1484,1255,1278,519,454,390,549,3389,3372,3264,3519,624,584,490,748,1.2,-2.1,0.8,-0.3,-0.9,1897,1919,1905,1875,2765,2788,2774,2771,삼일씨엔에스,004440,1027
2013,1836,1566,1552,1178,1026,849,918,891,666,640,818,1993,1795,1597,1658,925,878,832,897,-1.9,-0.6,-6.2,-7.6,0.2,176,30,-126,-81,1068,917,765,761,대림통상,006570,1027
29568,29640,31132,34700,9049,10778,13022,15234,7385,7951,7815,9538,21990,23896,25283,28705,12703,13749,14268,16233,2.3,2.9,4.8,5.2,5.4,6510,7226,8275,9474,9287,10147,11015,12472,대상,001680,1027
33980,35525,37543,42060,10812,12713,15550,18226,8396,9321,9423,12071,26296,28888,30602,36261,15348,16870,17342,21350,2.2,1.7,5.0,5.5,4.3,2390,2975,3790,4215,10948,12018,13260,14911,대상홀딩스,084690,1021
9455,8699,8324,11291,1829,1873,2085,3185,3342,3602,2216,2465,10928,10324,11017,16524,6414,6451,6157,11915,20.1,-0.6,-5.9,4.5,-2.8,3484,2834,3366,2842,4514,3873,4860,4609,대성산업,128820,1016
7710,7749,7432,7704,2129,2107,2030,2327,2173,2299,2776,2477,6539,6972,7021,7425,3519,3907,3877,4251,2.3,2.0,1.9,2.0,1.7,689,738,828,880,3020,3065,3144,3174,대성에너지,117580,1017
9098,9186,8843,9405,3447,3034,3149,3466,3064,3259,3562,2865,11173,11358,11811,12440,5847,5960,5995,6471,2.9,2.1,1.6,4.1,2.0,3978,4017,4416,4536,5326,5398,5816,5969,대성홀딩스,016710,1026
106055,86519,81367,86852,52796,60494,59731,71489,49929,50847,49364,50490,87338,96977,93059,104580,64161,72094,66289,72416,2.8,3.4,2.2,3.0,4.9,-138,1886,5078,9747,23177,24883,26770,32164,대우건설,047040,1018
96444,83587,70302,44866,73500,68711,59532,64811,53568,48075,51627,74645,119185,112761,103208,106232,80783,75212,64518,84056,4.9,2.7,-0.4,0.8,-16.2,6470,5584,6753,-10013,38402,37549,38690,22176,대우조선해양,042660,1027
12313,13657,13553,15114,7342,7578,8363,8480,3825,2949,3678,5140,15922,16709,18375,19337,6279,6548,7206,7767,5.7,2.1,4.3,6.8,5.3,4261,4772,5722,6469,9643,10161,11169,11570,대웅,003090,1021
10314,11134,10554,11530,5157,5263,5284,5249,3674,2621,3268,4607,12078,12457,13669,14152,6000,6097,6717,7128,3.0,-1.3,2.4,1.9,2.2,4229,4454,4528,4711,6078,6360,6952,7024,대웅제약,069620,1027
9954,9602,8612,8622,3522,3219,3296,3468,3796,3720,3638,3425,10858,10480,10179,9830,5150,4607,4458,4060,2.1,2.1,2.0,-0.3,-0.3,4305,4410,4251,4171,5708,5873,5721,5770,대원강업,000430,1027
4295,4013,3673,4750,1473,1426,1420,1949,992,950,935,1416,1915,1896,1920,2406,1101,1092,1066,1529,0.7,0.6,-0.4,1.2,0.6,433,421,441,457,814,804,854,877,대원전선,006340,1027
2867,3178,3085,3542,1067,1215,1173,1804,577,617,560,1021,2754,3275,3352,4296,922,1233,1224,2112,4.7,9.3,8.9,5.2,1.7,1678,1883,2005,2048,1832,2042,2128,2184,대원제약,003220,1027
1146,1331,1088,1133,748,616,620,721,445,399,470,565,1248,1305,1298,1358,516,511,538,648,1.2,0.9,4.6,-1.7,-5.3,295,352,337,264,732,794,760,710,대원화성,024890,1027
11102,12850,14669,16558,3822,5335,5539,6476,5512,7164,7256,9218,8896,11173,11665,13210,7192,8813,9272,11313,0.4,-4.5,1.8,1.9,-0.2,-154,-35,-80,-249,1704,2360,2393,1897,대유에이텍,002880,1027
5034,4573,4529,5120,2455,8486,1991,3197,1989,8712,2874,3405,10000,10891,4731,5944,8631,9282,3522,4555,-0.4,1.9,2.0,-0.7,0.4,-507,-405,-475,-480,1369,1609,1209,1389,대유플러스,000300,1027
9513,8990,9336,12776,3082,3236,3529,4963,2950,3259,3051,3676,5694,5761,6203,8107,3536,3611,3989,5366,2.5,2.2,0.8,1.2,3.7,771,785,844,1101,2158,2150,2214,2741,대창,012800,1027
3205,2773,2645,3544,1586,1621,1716,1970,374,329,346,522,2290,2386,2472,2985,477,481,500,713,6.1,5.6,6.7,6.1,10.3,1599,1722,1827,2072,1813,1905,1972,2272,대창단조,015230,1027
2090,1563,1752,2004,1672,897,963,1109,682,573,497,645,2675,1977,2138,2326,907,717,775,931,-2.6,4.0,-6.9,1.3,0.7,1445,1270,1289,1309,1768,1260,1363,1395,대한방직,001070,1027
25540,20743,18827,25149,4287,4642,6052,9706,1348,914,690,3075,19839,20265,21276,24789,2828,2479,2334,4497,11.5,13.0,5.3,6.1,6.5,14016,14791,15948,17280,17011,17786,18942,20292,대한유화,006650,1027
16488,15547,15968,19977,6318,7186,7215,9392,3667,8822,8009,7578,11729,12351,11995,14209,8510,9224,8398,10331,-3.4,-0.5,-1.1,0.2,2.2,2093,1897,1932,2229,3219,3127,3597,3878,대한전선,001440,1027
11338,10217,10961,20303,3498,2990,5812,8113,1947,1519,3743,4874,6571,6352,9449,12324,2222,1732,3965,5122,4.2,-2.5,4.6,6.7,15.0,4086,4345,4776,6141,4349,4620,5484,7202,대한제강,084010,1027
12084,12044,12145,12613,5065,5224,5330,5725,3894,4043,3913,4233,11354,11431,11462,11823,6835,6788,6677,6711,0.9,0.9,1.3,2.0,1.7,2379,2478,2635,2793,4519,4643,4785,5112,대한제당,001790,1027
8646,9339,9702,11113,4680,4310,4739,6839,1543,1783,2307,3801,9197,10051,10849,13216,1707,2453,3041,4410,5.9,5.7,1.8,2.0,7.3,6887,6999,7206,8349,7490,7598,7808,8806,대한제분,001130,1027
130116,123843,76105,90168,37500,35747,40025,66410,75568,87773,79878,84449,258425,270141,251901,266719,226799,242333,218783,198062,3.3,-0.6,-2.4,-0.9,2.2,2126,-3458,-5225,1101,31626,27808,33118,68657,대한항공,003490,1019
12846,10057,8841,11538,4984,4196,4312,5023,7813,7754,5967,3902,29329,33409,33456,38597,21534,24457,24923,23416,4.3,2.8,3.2,0.8,8.5,3302,3936,4024,6526,7795,8952,8533,15181,대한해운,005880,1019
2269,2627,3065,3187,1493,1020,1440,2251,891,951,1246,3854,2787,7270,8041,9003,965,3640,4061,3986,15.5,15.4,10.2,7.6,6.4,1451,1809,2149,2533,1822,3630,3980,5017,더존비즈온,012510,1026
837,867,1177,1152,584,609,608,752,280,334,344,369,1006,1029,1050,1253,377,399,388,403,0.5,-2.0,0.2,3.5,5.1,464,466,499,552,629,630,662,850,덕성,004830,1027
12922,13594,12920,13482,3287,3036,3052,3167,3664,4006,4075,4001,5263,5096,5130,5236,4490,4470,4573,4598,0.3,-0.5,-3.2,-1.8,0.3,72,-68,-111,-42,773,626,557,638,덕양산업,024900,1027
1863,2526,2297,2915,1699,2258,1953,2403,1404,1747,1933,1802,4368,5471,5102,5702,2421,3406,2816,2791,12.2,9.2,2.8,4.2,10.3,1597,1721,1950,2477,1947,2065,2286,2911,덴티움,145720,1027
4025,5161,5749,5774,1561,1755,2041,2286,1233,1442,1624,1930,3759,4090,4517,5002,1272,1564,1948,2333,3.7,3.9,4.4,4.2,3.2,2028,2102,2171,2237,2487,2526,2569,2669,도화엔지니어링,002150,1026
6509,6156,5308,5214,2034,2111,2236,2140,3406,3386,3333,3126,5703,5597,5661,5680,3909,3833,3964,3979,-7.0,-1.8,0.1,-2.0,-4.2,1386,1362,1261,1041,1794,1764,1697,1701,케이비아이동국실업,001620,1027
59649,56584,52062,72403,21739,19408,18462,26828,32291,28493,28058,31192,57302,54390,54185,63341,36980,34939,32823,35517,0.1,-5.2,-1.5,1.3,9.5,4838,4003,4485,9815,20322,19451,21362,27824,동국제강,001230,1027
5264,6330,5921,5959,1318,1829,1284,1425,3277,3739,2546,1744,5541,6284,5268,5313,4239,5128,4101,3998,-1.7,2.9,-1.5,2.3,-0.1,277,157,299,280,1302,1156,1167,1315,동방,004140,1019
1211,1246,1295,1341,1262,1340,1390,1543,276,312,333,454,1857,1940,1960,2045,527,569,542,574,3.4,3.4,3.4,3.5,3.5,1314,1350,1373,1401,1330,1371,1418,1471,동방아그로,007590,1027
8982,11554,11722,11449,4421,5733,5412,7816,2476,3617,2614,4107,7138,8919,9542,12620,3519,4713,4944,7023,14.7,11.0,7.5,4.8,10.5,1704,2180,2561,3532,3619,4206,4598,5597,동부건설,005960,1018
25451,24283,23424,33548,8859,7608,6492,11232,10191,6418,4760,8156,25061,23553,22577,27711,24996,14658,12850,16209,-10.0,-2.6,-1.4,2.9,7.6,-8863,-9215,719,2495,65,8895,9727,11502,KG스틸,016380,1027
5635,5054,4930,5353,7127,7298,7555,7804,585,571,559,587,14322,14783,15258,15826,1420,1272,1285,1340,9.3,8.5,9.7,8.0,7.4,11610,12269,12755,13226,12902,13511,13973,14486,동서,026960,1016
8131,8498,8640,9260,3337,3899,3498,3944,3311,3020,3024,3165,8081,8505,7979,8188,4074,4321,3707,3618,-0.7,-0.6,3.0,4.5,5.2,932,897,863,923,4007,4184,4272,4570,동성케미컬,102260,1026
7075,7697,7833,8819,2917,3153,3294,3586,3199,4144,3484,4673,12419,13586,15111,16914,5062,6117,6224,7063,2.3,-12.1,1.5,11.3,3.8,4780,4846,6394,6939,7357,7469,8887,9851,동아쏘시오홀딩스,000640,1021
2408,2162,2245,3636,1277,1205,1174,1588,753,810,857,1226,2124,2147,2495,2985,857,914,1301,1732,9.7,8.3,0.9,-3.4,-0.2,988,971,892,866,1267,1233,1194,1253,다스코,058730,1027
5674,6123,5867,5932,4265,4533,4622,5310,2690,2161,1477,2755,9487,10088,9807,11160,3693,3629,3386,4596,-0.6,0.9,7.3,2.7,1.2,1026,1634,1734,1804,5794,6459,6421,6564,동아에스티,170900,1027
3607,3809,3146,2895,2104,2178,2433,2396,1090,1266,1360,1450,2848,3223,3348,3508,1100,1284,1433,1464,6.2,6.9,6.3,0.6,1.4,1274,1435,1442,1490,1748,1939,1915,2044,동아지질,028100,1018
5297,5391,6029,6996,4122,3882,3523,4137,1229,1638,1806,1869,9776,10174,9968,10072,1434,1983,2172,2232,1.6,0.3,-0.2,-2.9,1.1,1490,1368,1071,1176,8342,8191,7796,7840,동양,001520,1027
1323,1405,835,812,356,283,93,177,595,322,417,624,1959,1868,1679,1688,833,546,608,843,-0.8,0.7,17.1,-9.3,-14.2,506,729,488,265,1126,1322,1071,845,동양고속,084670,1019
700,116,99,129,1001,180,127,432,976,536,409,713,1906,986,692,1131,1022,571,462,944,-20.5,-8.0,-27.4,-58.8,-32.4,-498,-971,-1459,-996,884,415,230,187,비케이탑스,030790,1026
5899,6174,7133,8415,3616,3943,4067,4101,3235,3941,3863,3810,5815,6286,6569,7074,4773,4815,4861,4582,-4.1,-4.1,0.9,1.0,5.8,453,490,533,813,1042,1471,1708,2492,TYM,002900,1027
1620,1634,1738,1820,808,794,695,1017,794,758,596,929,1636,1642,1534,1860,846,844,659,1019,-19.7,-4.2,1.1,4.4,-2.2,-325,-316,-237,-275,790,798,875,841,동양철관,008970,1027
3322,3648,3215,3546,1373,1599,1548,1698,1697,1775,1962,1746,3176,3503,3461,3626,2221,2421,2505,2494,3.2,3.8,3.0,-2.0,2.2,701,800,720,788,955,1082,956,1132,동양피스톤,092780,1027
28025,30303,31703,34906,6314,6790,7018,9207,3417,5164,4499,6913,14036,15735,16839,19357,7711,8923,9370,11369,4.2,4.1,4.4,4.8,3.8,5260,5801,6465,7025,6325,6812,7469,7988,동원F&B,049770,1027
4586,4566,3695,2833,1293,1708,1592,1383,3125,3205,3123,2868,4880,5110,4689,4418,4434,4414,4369,3947,-2.4,-3.5,3.4,-5.7,3.5,29,233,-138,-19,446,696,320,471,동원금속,018500,1027
10263,10424,10785,12509,4649,4218,4538,6385,3687,2165,4507,5149,11241,11546,12558,14920,5875,5808,6394,8266,6.8,5.5,4.1,5.1,3.5,1909,2162,2548,2792,5366,5738,6164,6654,동원시스템즈,014820,1027
2630,2619,2432,2775,1549,1535,1504,1694,817,715,593,884,2848,2814,2758,3138,978,879,759,1048,0.4,3.7,2.9,2.6,2.1,783,845,908,943,1870,1935,1999,2090,동일고무벨트,163560,1027
9093,6849,6797,8131,3189,2565,2635,3495,3221,2650,2389,3065,9476,8884,8826,9931,4350,3930,3659,4196,-0.4,1.5,1.5,2.7,4.9,5074,5052,5219,5609,5126,4954,5167,5735,DI동일,001530,1016
3910,3547,3333,4644,2993,2741,2810,3142,485,392,422,619,4097,4049,4175,4738,548,510,570,717,6.1,3.9,0.9,2.0,9.8,3422,3422,3488,3904,3549,3539,3605,4021,동일산업,004890,1027
3066,3072,2721,2930,2279,2355,2227,2202,608,557,675,665,3706,3764,4338,4478,732,766,911,877,13.6,2.7,2.4,7.1,4.4,2431,2456,2702,2903,2974,2998,3427,3601,동화약품,000020,1027
174493,180416,114285,132042,115859,110480,125983,98953,133169,162058,158082,120064,288803,291697,302010,260099,217352,223502,224354,175128,0.2,-1.2,1.5,-3.3,2.3,9601,12507,11593,14681,71451,68195,77656,84971,두산,000150,1026
39708,45096,42821,58162,16837,15196,18620,26459,9635,11391,10117,14982,64463,67042,69606,85809,27067,27252,28868,42596,4.4,4.2,4.1,3.6,5.0,9991,13896,14610,20467,37396,39790,40738,43213,두산밥캣,241560,1027
5113,6743,8300,5990,2818,3802,2766,3449,4903,6207,4976,4311,7434,8301,7233,7956,5124,6416,5292,5865,-0.8,-1.9,-5.3,0.8,-5.2,61,-359,-296,-708,2310,1885,1941,2091,HSD엔진,082740,1027
77301,81858,39881,45937,44268,43049,50496,32398,37786,44844,38826,27688,110292,113386,120269,47823,72084,70710,75379,34125,2.9,3.7,3.5,2.4,6.8,10492,12579,14081,18791,38208,42676,44890,13698,현대두산인프라코어,042670,1027
147611,156597,91715,112836,97822,93516,99468,84176,115046,137732,130705,101258,248149,248092,255672,237205,185965,186073,184607,149130,-0.4,-1.7,-0.4,-3.3,2.6,-1489,-9742,-20466,7732,62184,62019,71065,88075,두산중공업,034020,1027
4831,4659,4658,4956,1820,1980,2433,2580,1322,1538,1584,1490,3466,3643,4057,4241,1827,1873,2223,2268,5.1,4.4,3.7,1.5,3.8,672,788,816,941,1639,1770,1834,1973,두올,016740,1027
1960,1095,1623,2266,887,1010,1031,1211,492,559,547,632,2105,2148,2289,2491,664,725,905,953,10.2,7.1,0.2,2.6,6.3,783,768,816,950,1441,1423,1384,1538,디아이,003160,1027
5532,5378,4934,5901,3287,3090,2100,2171,5038,4722,4553,4284,8103,7798,6046,6289,6238,5937,5340,4963,0.1,-0.9,-7.0,-17.2,4.8,702,157,-1041,-728,1865,1861,706,1326,디아이씨,092200,1027
8910,8543,7894,9984,4129,4038,4629,5340,2151,2145,2590,3011,7425,7545,7956,8600,2967,2802,3284,3618,5.6,3.1,4.3,0.4,1.4,2487,2606,2456,2388,4458,4743,4672,4982,디와이,013570,1021
3857,3435,3048,4372,1458,1480,1776,2252,917,802,819,1071,2585,2626,2878,3420,1084,956,988,1161,12.6,9.9,7.3,9.2,9.9,631,795,820,1109,1501,1670,1890,2259,디와이파워,210540,1027
9085,9298,8031,9308,4547,4319,4761,10771,2843,2684,2909,5581,8708,9117,9618,14850,3072,2856,3071,7710,5.7,7.1,7.7,5.2,7.0,8317,8880,9193,9788,5636,6261,6547,7140,디티알오토모티브,007340,1027
1577,1645,1741,3127,1203,1251,1441,1964,441,589,638,965,1937,2209,2495,3420,460,644,690,1098,3.9,6.1,5.4,8.5,19.7,920,1000,1165,1711,1477,1565,1805,2322,스틱인베스트먼트,026890,1021
4343,4860,5020,5430,3777,4095,4140,5420,616,674,701,1013,7394,7999,7832,8297,788,1159,1179,1358,4.7,4.2,2.1,1.5,2.0,3761,3864,3750,3691,6606,6840,6653,6939,락앤락,115390,1027
761,884,168,1071,2201,531,1248,915,745,2507,2124,2404,5068,5750,11985,13024,2258,2693,9724,12497,0.9,-24.9,-2.7,-9.3,-16.1,-2452,-2643,-3455,-5447,2810,3057,2261,527,롯데관광개발,032350,1026
178208,176220,161844,155736,57084,61073,62907,70002,66037,82019,87800,89942,262593,339726,328294,334265,138319,221816,217406,216295,-0.1,-1.7,-2.7,-2.1,-0.8,109916,99102,91766,89966,124274,117910,110888,117970,롯데쇼핑,023530,1016
13717,13113,12636,17803,7164,8605,5168,8669,2285,2825,1697,3090,17000,17927,18746,27235,3221,2996,2249,5248,5.6,12.9,9.6,10.8,25.5,9460,10631,12191,17685,13779,14931,16497,21987,롯데정밀화학,004000,1027
72712,88562,90866,99249,154769,31266,49026,47725,163397,37869,47455,45670,276183,156058,166800,199219,191849,78132,88489,102926,3.8,0.5,-1.9,-1.5,0.8,60294,49072,47663,50808,84334,77926,78311,96293,롯데지주,004990,1021
23463,24295,22580,25061,6887,7884,8933,9945,6890,9416,8649,9710,33113,32565,34661,35968,20739,20285,21612,21518,3.0,-1.5,-4.4,-0.5,3.9,20833,19083,18762,19615,12374,12280,13049,14450,롯데칠성,005300,1027
160731,151235,122230,181205,81439,72209,68765,94307,39614,27400,28677,45791,207991,200431,193865,228700,72548,59900,56742,74188,12.9,8.1,3.7,0.9,6.8,117847,121584,120769,133075,135443,140531,137123,154512,롯데케미칼,011170,1027
18108,17880,15223,16078,4502,6245,5520,4824,1810,4538,3178,2573,12083,13212,12865,12715,5258,6136,5253,4855,7.4,3.5,3.0,5.4,-0.1,9117,9229,9816,9699,6825,7076,7612,7860,롯데푸드,002270,1027
2691,2417,2148,2527,370,301,462,698,792,589,892,889,1933,1830,1921,1965,899,952,1202,1492,-4.5,-5.1,-9.3,-18.8,-25.8,-374,-549,-911,-1410,1034,878,719,473,마니커,027740,1027
56648,59819,55635,61474,19727,21098,24070,29443,18358,17568,20316,21296,44373,45956,49383,57044,29555,30100,32288,36601,0.4,2.5,2.6,0.3,3.4,6812,7545,7223,9155,14818,15856,17095,20443,만도,204320,1027
378,77,97,75,108,108,278,258,154,122,312,292,195,154,334,287,159,128,318,297,-48.0,-56.7,-145.0,-80.9,-36.0,-222,-475,-671,-754,36,26,16,-10,쎌마테라퓨틱스,015540,1026
1475,1493,1279,1448,1070,1007,806,669,1234,1334,1253,1125,2431,2644,2430,2227,1500,1842,1523,1368,3.6,0.1,-8.2,-10.9,-2.9,151,-83,-337,-400,931,802,907,859,명문제약,017180,1027
1352,1320,1278,1322,777,813,743,1123,551,822,583,645,1706,2007,1957,2025,961,1096,1059,980,1.7,0.5,0.7,0.0,7.9,297,423,413,556,745,911,898,1045,모나미,005360,1016
1953,2076,1786,1961,3389,3416,3605,3766,254,268,232,254,4324,4409,4424,4480,295,330,278,292,2.9,2.0,2.6,3.4,2.7,3699,3746,3823,3861,4029,4079,4146,4188,모토닉,009680,1027
6512,6313,5279,6137,4149,3190,3617,3432,4625,3924,4320,5274,13560,13503,14304,14836,7216,7298,8290,8647,3.3,5.7,0.8,-0.5,1.4,3448,3401,3209,3365,6344,6205,6014,6189,무림P&P,009580,1027
11091,11237,9497,10553,6705,5957,6423,6754,7947,7714,7458,9168,20143,21585,21950,22844,13467,14706,15501,16379,2.1,3.1,-0.3,-1.7,0.0,1680,1554,1166,1111,6676,6879,6449,6465,무림페이퍼,009200,1027
