2018_매출액,2019_매출액,2020_매출액,2021_매출액,2018_유동자산,2019_유동자산,2020_유동자산,2021_유동자산,2018_유동부채,2019_유동부채,2020_유동부채,2021_유동부채,2018_총자산,2019_총자산,2020_총자산,2021_총자산,2018_총부채,2019_총부채,2020_총부채,2021_총부채,2017_roa,2018_roa,2019_roa,2020_roa,2021_roa,2018_이익잉여금,2019_이익잉여금,2020_이익잉여금,2021_이익잉여금,2018_자기자본,2019_자기자본,2020_자기자본,2021_자기자본,종목,번호,category
12828,20684,36864,49315,6642,14417,13218,18855,7231,15878,14342,18159,15086,41515,43235,48849,9044,28000,28159,30974,0.7,1.9,7.8,3.7,6.1,1698,2609,3043,3746,6042,13515,15076,17875,KG케미칼,001390,1027
12886,11830,10646,15808,11179,10948,11363,12584,2419,1931,1967,2306,15452,15573,15646,16881,2661,2298,2298,2674,-0.5,2.4,4.1,2.3,11.0,5309,5695,5968,6977,12791,13275,13348,14207,KISCO홀딩스,001940,1027
7667,7657,7467,10208,3193,2747,3542,4533,817,496,937,1885,5353,5379,6370,7771,916,556,1034,1991,5.0,2.2,8.0,11.0,7.0,3872,4241,4757,5116,4437,4823,5336,5780,KPX케미칼,025000,1027
10224,9727,9532,12387,5804,4968,6527,7756,2360,1850,2526,3424,14166,14490,16987,18149,2907,2677,3619,4454,4.3,1.0,5.3,12.3,4.7,3654,3890,5192,5523,11259,11813,13368,13695,KPX홀딩스,092230,1027
366,1326,1178,1335,870,527,610,697,706,864,841,955,1549,1441,1559,1684,850,1089,1060,1182,-24.5,-18.6,-27.5,-7.7,-7.4,-525,-937,-1020,-287,699,352,499,502,KR모터스,000040,1027
2025,2312,2262,3240,447,642,725,681,1195,1682,2401,3816,9045,9572,10695,14462,6532,6762,8007,11034,3.3,2.3,2.5,1.3,4.5,2310,2525,2603,3088,2513,2810,2688,3428,KSS해운,044450,1019
234601,243421,239167,248980,118943,118972,111542,118584,93877,101481,91925,100724,321888,345401,336625,371593,174576,193566,181111,205922,1.9,2.5,2.0,2.1,4.1,113289,116338,121554,132874,147312,151835,155514,165671,KT,030200,1020
44715,49632,50553,52284,64134,64172,67504,62559,16407,16001,19915,20639,101979,107524,114684,116373,20297,20129,23768,24284,12.3,8.9,9.9,10.6,8.4,71015,75147,80801,85504,81682,87395,90916,92089,KT&G,033780,1027
10161,9449,9317,9657,2955,2710,2899,3030,1786,1630,1757,1896,3503,3781,3849,4168,1886,2140,2152,2342,2.2,3.3,2.1,3.0,4.8,1177,1199,1278,1410,1617,1641,1697,1826,KTcs,058850,1026
17067,18517,16105,17931,9701,9620,10829,11644,2986,7100,7208,6132,16518,24171,24794,25411,4684,10256,10650,10428,4.4,5.0,3.4,1.2,5.4,8362,8861,8893,9948,11834,13915,14144,14983,LF,093050,1027
77434,65345,51991,68590,46131,39391,58959,55479,30395,22448,21333,28193,228359,224346,242823,256698,46714,34136,34210,37296,11.8,8.5,4.9,6.6,10.8,150486,156993,167824,188914,181645,190210,208613,219402,LG,003550,1021
243366,234756,242616,298780,88001,102483,110995,131871,99545,109850,110069,139948,331757,355746,350660,381545,182895,230863,223346,233920,7.2,-0.6,-8.4,-0.2,3.6,102400,75033,75188,85415,148862,124883,127314,147625,LG디스플레이,034220,1027
99882,105309,112826,166865,25584,24840,31628,43765,21674,21263,25183,34309,50381,48760,53959,67469,34885,33274,36376,43626,1.7,-0.7,-0.3,7.0,8.9,8801,8972,11870,15222,15496,15486,17583,23843,LX인터내셔널,001120,1016
67475,76854,78445,80915,16912,21631,19828,24729,13589,17712,14797,15258,52759,64937,68014,75552,16819,22566,19522,20574,13.3,13.8,13.4,12.2,12.0,35634,41749,48054,54840,35940,42371,48492,54978,LG생활건강,051900,1027
117257,123820,134176,138511,42472,48055,49509,51644,38330,46489,43283,50737,139399,179411,183502,193705,70866,105914,106990,114120,4.6,3.7,2.8,2.6,3.8,34472,36736,39686,43641,68533,73497,76512,79585,LG유플러스,032640,1020
79821,79754,95418,149456,22333,25309,31618,41134,15844,20462,22842,33103,57561,57708,60386,77414,36378,35662,36109,44271,3.4,2.8,1.8,4.0,12.9,9067,9893,12215,20481,21183,22046,24277,33143,LG이노텍,011070,1027
613417,623062,580579,747216,193629,197535,232394,274878,171350,176579,202075,236199,443284,448599,482042,534815,280215,284347,306621,333834,4.7,3.4,0.4,4.4,2.8,120754,118573,136528,144336,163069,164252,175421,200981,LG전자,066570,1027
32665,31868,30380,34720,10809,10224,10727,11487,7368,9745,9715,12201,25097,25656,23854,25474,15930,16496,15482,16840,2.8,-2.1,0.5,-3.2,0.5,2774,2836,2061,2180,9167,9160,8372,8634,LX하우시스,108670,1027
281830,273531,300589,426547,120885,118697,163197,204138,72735,89415,126242,150621,289441,340244,413889,511353,116220,166406,225985,279253,8.9,5.6,1.2,1.8,8.6,149943,147987,151753,180919,173221,173838,187904,232100,LG화학,051910,1027
14775,14527,16003,18222,14198,13809,15457,14859,13059,12375,13804,14811,23221,23175,25956,25768,16720,16835,19231,18135,-0.5,0.2,0.1,2.4,4.1,3270,3107,3580,4439,6501,6340,6725,7633,LIG넥스원,079550,1027
100927,101518,104443,130891,59775,60164,66922,74855,39566,39734,43405,51739,104903,107635,116605,126259,61307,64922,72120,79157,3.7,4.8,0.9,1.7,2.9,28318,28086,29003,31575,43596,42713,44485,47102,LS,006260,1021
4459,4028,3349,3905,2597,2677,2779,2801,2105,1701,5938,1714,12736,11736,12284,13094,6355,6543,7352,7557,1.6,1.3,-5.7,-2.1,4.7,2682,1987,1740,2345,6381,5193,4932,5537,LS네트웍스,000680,1016
24850,23468,24027,26683,15361,16669,16498,18877,7002,7538,6442,8453,24058,25381,25404,27967,11084,11755,11269,13233,4.7,5.7,4.2,3.4,3.2,11833,12464,12981,13569,12974,13626,14135,14734,LS ELECTRIC,010120,1027
4413,5203,5796,7506,2402,2447,3062,3813,1895,1917,2482,3076,3496,3597,4166,4953,2060,1984,2677,3229,5.1,3.4,4.8,2.1,3.5,281,392,410,496,1436,1613,1489,1724,LS전선아시아,229640,1021
728,809,946,1021,296,328,377,521,1411,2824,1461,2973,4402,4515,4497,4515,3486,3721,3693,3668,1.5,-2.6,-1.7,0.8,1.9,642,611,655,684,916,794,804,847,MH에탄올,023150,1027
55869,43562,53041,68176,53856,56437,105447,55279,26197,37731,79118,39233,98812,122995,170142,336910,39321,57956,87591,96636,10.7,7.0,3.6,5.8,65.0,52292,57121,66548,230804,59491,65039,82551,240274,NAVER,035420,1026
12646,14886,16412,19237,10063,10587,10869,13599,5625,5328,5588,7197,24947,25003,25509,30272,6746,6716,7068,9286,0.4,4.5,0.9,1.1,4.7,3862,4002,4341,6538,18201,18287,18441,20986,NHN,181710,1026
14702,18738,20555,24499,12084,15015,15453,16971,9176,11317,12328,15107,21730,25648,27304,30838,11330,13412,14808,17633,5.9,5.1,3.3,2.0,3.5,4080,4274,4352,4868,10400,12236,12496,13205,NICE,034310,1026
4149,4545,4313,4869,1734,1664,1656,1576,1225,995,983,1345,3928,4038,4106,5000,1318,1196,1152,1768,3.0,3.1,3.6,4.6,5.8,2216,2349,2496,2715,2610,2842,2954,3232,NPC,004250,1027
31121,26051,20025,32440,20187,21607,20360,33390,10929,8458,8597,12365,56596,48112,44372,57041,21670,21255,20515,25803,3.8,1.8,-15.4,-5.4,12.9,25288,17041,14548,20927,34926,26857,23857,31238,OCI,010060,1027
649778,643668,577928,763323,336510,348424,358308,466216,189380,163237,168550,210836,782483,790587,790870,914716,314887,312640,314124,366667,3.8,2.4,2.5,2.3,8.4,442160,450801,461115,515329,467596,477947,476746,548049,POSCO홀딩스,005490,1027
1395,2133,2374,1711,1555,2050,2037,1997,316,675,809,662,2810,3339,3354,3321,497,889,996,873,1.4,0.6,5.0,2.9,3.8,1873,2024,2037,2111,2313,2450,2358,2448,SNT에너지,100840,1027
9189,9763,9407,9417,6801,6259,6439,6663,2815,2411,2741,2347,11965,10389,10929,11498,3717,3029,3322,2922,4.8,4.7,0.3,5.1,7.1,6130,5990,6262,6950,8248,7360,7607,8576,SNT모티브,064960,1027
3963,3751,3018,3360,4137,4114,3841,4483,1180,1063,1213,1243,8457,8414,8334,8796,2382,2243,2359,2267,-3.6,2.4,2.0,1.0,6.9,5686,5782,5759,6282,6075,6171,5975,6529,SNT중공업,003570,1027
14013,15121,14358,14041,11680,12665,12420,13275,3816,4056,4614,4125,21138,22367,22705,23723,6106,6107,6530,5922,1.2,3.5,5.7,3.5,6.5,4721,5280,5556,6267,15032,16260,16175,17801,SNT홀딩스,036530,1021
254633,243942,168297,274639,58545,56289,49965,83774,57890,57487,65651,85050,159550,163334,156905,186932,94858,98368,100080,117052,8.6,1.7,0.4,-5.0,8.0,48231,48482,40357,53337,64692,64966,56825,69880,S-Oil,010950,1027
9140,8177,8603,10790,4935,7170,6582,9127,2102,3930,2414,5155,9576,12478,11691,14622,3892,6006,5980,7406,1.6,0.6,1.9,-4.8,11.0,4175,4309,3607,5023,5684,6472,5711,7216,SBS,034120,1026
3202,2461,1678,1357,1996,1452,1393,1245,957,739,683,604,3344,2877,2672,3084,1375,828,710,641,-2.1,2.0,3.1,-3.7,16.3,584,680,574,1044,1969,2049,1962,2443,SG세계물산,004060,1016
1345,930,851,578,525,487,480,290,461,575,367,131,1996,2041,1989,1870,726,740,724,640,0.2,1.6,0.4,-1.1,-2.9,620,623,601,552,1270,1301,1265,1230,SG글로벌,001380,1027
1836,1409,936,1398,858,836,724,783,67,75,74,131,1224,1234,1174,1196,170,244,273,279,7.9,1.6,-2.5,-5.8,0.5,424,364,298,312,1054,990,901,917,SH에너지화학,002360,1027
3062,4301,3659,6130,3107,2892,3532,5422,2285,2195,2491,3314,6818,6791,7373,9032,2467,2380,2733,3566,3.2,13.0,1.4,4.8,11.1,2741,2800,3105,3978,4351,4411,4640,5466,SIMPAC,009160,1027
1553,1577,1387,1457,1315,1440,1472,1554,277,327,325,369,2001,2204,2249,2450,336,454,513,555,2.8,1.8,3.6,1.9,3.2,1148,1198,1210,1287,1665,1750,1736,1895,SJM,123700,1027
1607,1608,1416,1497,1775,1868,1751,1903,365,402,394,464,2895,3089,3083,3329,456,561,604,661,6.8,2.1,3.1,1.6,2.8,1233,1260,1268,1303,2439,2528,2479,2668,SJM홀딩스,025530,1016
1001616,978115,808188,983250,371284,400154,380523,491932,300078,356271,372127,449749,1194570,1326114,1376679,1653809,685691,804354,858080,998157,4.8,5.4,1.3,-0.1,3.8,122173,125566,124967,140656,508879,521760,518599,655652,SK,034730,1021
27678,23611,24659,33961,9101,9927,12473,18200,10815,10432,17339,17200,38331,39730,54064,61801,21383,22466,34913,38978,3.8,3.8,1.7,1.6,5.9,13254,13500,13639,15438,16948,17264,19151,22823,SKC,011790,1027
68592,49311,44123,64945,16098,17138,20405,24058,15006,15704,12716,14420,37556,40824,44989,51215,21128,24216,26002,30042,3.6,1.4,3.9,6.2,5.2,12215,14567,16909,19011,16428,16608,18987,21173,SK가스,018670,1016
126458,130542,106259,110181,32532,39657,26387,30472,37397,45220,37233,38976,77690,101388,87735,94109,54572,78335,65282,70219,0.4,0.1,-1.4,0.4,1.1,9791,8127,8190,8973,23118,23053,22453,23890,SK네트웍스,001740,1016
