,종목_list,매출액,유동자산,유동부채,자산총계,부채총계,ROA,이익잉여금,자기자본,x1,x2,x3,x4,x5,z_score
0,AJ네트웍스,10455,15121,16091,25751,20833,1.5,1572,4918,-0.04,0.06,1.5,0.24,0.41,5.54
1,CJ제일제당,186701,55224,66804,194970,121888,5.1,36943,73082,-0.06,0.19,5.1,0.6,0.96,18.34
2,LG헬로비전,11780,3339,3545,19370,8843,2.1,6690,10527,-0.01,0.35,2.1,1.19,0.61,8.73
3,CS홀딩스,1226,1885,208,3044,297,4.2,1699,2747,0.55,0.56,4.2,9.25,0.4,21.25
4,DB,2371,837,605,2884,1508,-1.6,436,1376,0.08,0.15,-1.6,0.91,0.82,-3.61
6,DB하이텍,6693,3834,1568,10665,5081,8.4,2869,5584,0.21,0.27,8.4,1.1,0.63,29.64
7,DRB동일,5454,3073,2144,7162,2680,1.6,4155,4482,0.13,0.58,1.6,1.67,0.76,8.01
8,DSR,2360,1189,728,2250,776,3.5,1244,1474,0.2,0.55,3.5,1.9,1.05,14.75
9,E1,46302,14464,13625,35654,22495,2.3,11898,13159,0.02,0.33,2.3,0.58,1.3,9.72
10,F&F홀딩스,6683,2911,998,4958,1010,24.4,3839,3948,0.39,0.77,24.4,3.91,1.35,85.76
11,GKL,4803,4556,1686,7658,2037,10.4,5099,5621,0.37,0.67,10.4,2.76,0.63,37.99
12,GS,177444,32851,45688,226310,121060,4.6,99059,105250,-0.06,0.44,4.6,0.87,0.78,17.03
13,GS건설,131394,78282,63597,120333,84086,4.6,24871,36247,0.12,0.21,4.6,0.43,1.09,16.96
14,GS글로벌,40585,8009,7495,13360,9329,1.5,840,4031,0.04,0.06,1.5,0.43,3.04,8.38
15,GS리테일,86916,7095,17204,50989,26405,2.6,18598,24584,-0.2,0.36,2.6,0.93,1.7,11.1
16,IHQ,1094,784,224,2313,267,-4.1,419,2046,0.24,0.18,-4.1,7.66,0.47,-7.92
17,JW생명과학,1552,579,731,2009,916,7.9,413,1093,-0.08,0.21,7.9,1.19,0.77,27.75
18,JW중외제약,5372,3739,2284,5938,3337,1.3,1217,2601,0.25,0.2,1.3,0.78,0.9,6.24
19,JW홀딩스,7254,6435,5013,12756,8746,2.8,604,4010,0.11,0.05,2.8,0.46,0.57,10.29
20,KCC,30810,26456,14222,89654,32241,-0.3,54447,57413,0.14,0.61,-0.3,1.78,0.34,1.44
21,KCTC,4004,861,1022,3760,1864,2.0,1299,1896,-0.04,0.35,2.0,1.02,1.06,8.71
22,KC그린홀딩스,5347,3418,2757,6708,3841,3.2,1135,2867,0.1,0.17,3.2,0.75,0.8,12.17
