종목_list,2018_총부채,2019_총부채,2020_총부채,2021_총부채
기아,"245,431","263,667","305,988","319,374"
기업은행,"2,684,153","2,953,344","3,364,738","3,705,381"
까뮤이앤씨,827,979,835,962
깨끗한나라,"4,247","3,758","3,462","3,692"
에이프로젠 MED,"1,996","1,296","1,443","1,197"
남광토건,998,"1,497","1,377","1,862"
남선알미늄,"1,343","1,164","1,056","1,193"
남성,"1,223","1,189","1,265","1,702"
남양유업,"1,638","1,441","1,279","1,244"
비비안,365,320,988,949
남해화학,"1,232","1,472","1,365","2,475"
넥센,"19,423","20,577","21,979","24,555"
넥센타이어,"18,141","18,781","19,941","22,235"
넷마블,"8,815","11,577","25,728","46,561"
노루페인트,"2,996","3,050","3,328","3,257"
노루홀딩스,"4,256","4,399","4,731","4,720"
녹십자,"5,972","7,752","8,821","9,624"
녹십자홀딩스,"11,755","12,673","15,677","15,861"
농심,"6,345","7,123","6,766","6,991"
농심홀딩스,"2,989","2,944","2,746","2,897"
다우기술,"169,051","220,774","353,771","417,060"
키다리스튜디오,21,210,210,674
큐로,"1,277","1,192",903,678
대교,"2,135","3,066","2,863","2,972"
대구백화점,"3,903","3,874","2,463","2,326"
대덕GDS,526,471,736,714
대덕,"1,530","1,621","2,925","3,511"
대동,"5,552","6,085","6,104","8,747"
대동전자,331,320,410,346
대림B&Co,"1,416","1,498","1,685","1,692"
DL,"67,835","67,085","106,905","37,927"
삼일씨엔에스,624,584,490,748
대림통상,925,878,832,897
대상,"12,703","13,749","14,268","16,233"
대상홀딩스,"15,348","16,870","17,342","21,350"
대성산업,"6,414","6,451","6,157","11,915"
대성에너지,"3,519","3,907","3,877","4,251"
대성홀딩스,"5,847","5,960","5,995","6,471"
대신증권, , , , 
대양금속,606,238,405,580
대영포장,784,617,541,788
대우건설,"64,161","72,094","66,289","72,416"
대우부품,315,405,571,594
대우조선해양,"80,783","75,212","64,518","84,056"
대웅,"6,279","6,548","7,206","7,767"
대웅제약,"6,000","6,097","6,717","7,128"
대원강업,"5,150","4,607","4,458","4,060"
대원전선,"1,101","1,092","1,066","1,529"
대원제약,922,"1,233","1,224","2,112"
대원화성,516,511,538,648
대유에이텍,"7,192","8,813","9,272","11,313"
대유플러스,"8,631","9,282","3,522","4,555"
대창,"3,536","3,611","3,989","5,366"
대창단조,477,481,500,713
대한방직,907,717,775,931
대한유화,"2,828","2,479","2,334","4,497"
대한전선,"8,510","9,224","8,398","10,331"
대한제강,"2,222","1,732","3,965","5,122"
대한제당,"6,835","6,788","6,677","6,711"
대한제분,"1,707","2,453","3,041","4,410"
대한항공,"226,799","242,333","218,783","198,062"
대한해운,"21,534","24,457","24,923","23,416"
대한화섬,850,760,"1,151","1,658"
대현,733,645,494,591
대호에이엘,594,546,738,760
더존비즈온,965,"3,640","4,061","3,986"
덕성,377,399,388,403
