종목_list,2018_총부채,2019_총부채,2020_총부채,2021_총부채
한국토지신탁, , , , 
한국특강,"2,470","2,461","2,509","3,167"
한국프랜지,"4,202","4,241","4,310","4,368"
한국항공우주,"27,030","31,840","39,248","45,578"
한국화장품,422,461,459,265
한국화장품제조,215,362,334,336
한농화성,501,431,405,693
한독,"3,392","4,047","4,371","4,576"
한라,"15,281","13,271","12,794","11,048"
한라홀딩스,"8,589","8,743","10,746","12,805"
한미글로벌,"1,064",795,899,"1,411"
한미반도체,305,378,699,825
한미사이언스,"2,635","2,651","2,645","2,596"
한미약품,"9,020","10,914","10,501","10,085"
한샘,"3,657","5,893","6,006","6,247"
한섬,"2,820","2,781","3,125","3,167"
한성기업,"1,682","1,837","1,453","1,554"
한세실업,"6,781","7,245","5,997","7,518"
한세엠케이,571,841,718,821
한세예스24홀딩스,"10,606","11,355","10,942","12,919"
한솔PNS,528,624,635,597
한솔로지스틱스,705,"1,197","1,413","1,880"
한솔제지,"12,052","11,312","11,056","12,085"
한솔케미칼,"3,445","4,186","3,769","4,293"
한솔테크닉스,"3,112","2,335","3,123","5,104"
한솔홀딩스,"9,154","2,103","1,007","1,044"
한솔홈데코,"1,464","1,416","1,404","1,548"
한신공영,"13,324","11,372","11,135","14,422"
한신기계,109,130,129,151
한양증권, , , , 
한온시스템,"32,241","47,449","55,680","57,571"
한올바이오파마,454,510,389,350
한익스프레스,"1,326","2,039","2,331","3,013"
한일홀딩스,"15,294","15,576","14,967","13,337"
한일철강,"1,508","1,703","1,463","1,610"
한전KPS,"2,968","2,960","2,982","3,149"
한전기술,"3,101","2,430","2,012","1,921"
한전산업,731,814,804,781
한진,"15,943","24,945","25,507","25,037"
HJ중공업,"34,418","22,252","18,739","19,532"
한진중공업홀딩스,"15,066","15,002","14,806","14,892"
한진칼,"11,261","12,730","18,243","19,305"
한창,736,651,801,973
한창제지,776,860,864,"1,401"
한화,"1,525,955","1,640,222","1,734,606","1,813,191"
한화갤러리아타임월드,"2,381","2,484","2,319","2,251"
한화생명,"1,206,548","1,278,568","1,356,202","1,501,718"
한화손해보험,"153,183","167,928","178,117","188,254"
한화솔루션,"90,044","98,753","91,696","118,063"
한화에어로스페이스,"47,609","58,531","64,751","71,143"
한화투자증권, , , , 
해성디에스,"1,099","1,180","1,514","1,806"
해태제과식품,"5,074","5,127","3,575","3,951"
핸즈코퍼레이션,"3,847","5,268","5,294","6,329"
HDC현대EP,"3,181","2,638","2,322","2,752"
현대건설,"97,628","95,120","91,729","102,080"
현대건설기계,"15,583","16,109","17,683","20,065"
현대그린푸드,"7,263","8,502","8,783","8,995"
현대글로비스,"44,277","54,595","58,323","63,585"
HD현대,"127,937","138,308","154,611","239,282"
현대로템,"28,942","32,014","28,512","28,389"
현대리바트,"2,315","2,949","3,223","3,746"
현대모비스,"123,677","141,964","151,696","161,251"
현대미포조선,"11,466","10,267","12,315","16,740"
현대백화점,"21,595","26,438","36,747","37,436"
현대비앤지스틸,"2,236","2,057","2,200","2,710"
HDC,"13,037","18,577","52,719","58,467"
현대코퍼레이션,"7,922","11,028","9,046","13,446"
HMM,"30,818","60,699","76,848","75,178"
한일현대시멘트,"3,725","3,556","3,071","2,726"
현대약품,580,630,674,773
현대퓨처넷,664,720,"2,126","1,763"
현대엘리베이,"14,436","15,996","16,008","18,512"
현대위아,"40,705","36,825","41,940","40,542"
현대일렉트릭,"14,748","15,563","15,934","15,687"
현대제철,"162,818","171,326","181,520","187,819"
한국조선해양,"116,189","121,291","128,230","148,793"
현대차,"1,067,597","1,181,465","1,330,032","1,513,306"
현대차증권, , , , 
현대코퍼레이션홀딩스,205,619,400,488
현대해상,"399,608","418,834","443,894","478,100"
현대홈쇼핑,"8,782","7,748","8,983","7,180"
형지엘리트,574,538,702,617
혜인,"1,367","1,228","1,097",928
호전실업,"1,610","1,678","1,649","1,826"
호텔신라,"15,387","26,077","22,699","20,795"
화성산업,"2,661","2,416","1,860","3,910"
화승코퍼레이션,"9,933","9,493","9,632","9,578"
화승엔터프라이즈,"4,773","6,114","6,175","7,798"
화승인더,"6,371","8,173","8,062","10,024"
화신,"5,350","5,087","5,670","5,823"
화인베스틸,"1,274","1,187","1,015","1,037"
화천기계,378,337,263,301
화천기공,976,783,822,"1,171"
환인제약,281,304,330,360
황금에스티,"1,379","1,073","1,502",991
효성,"37,058","38,168","19,154","22,656"
효성ITX,736,"1,076","1,123","1,381"
후성,"1,960","2,860","2,949","3,329"
휠라홀딩스,"17,978","19,693","19,011","19,824"
휴니드,"1,187","1,451","1,280","1,342"
휴비스,"5,500","4,810","3,971","3,756"
휴스틸,"1,974","1,825","1,897","3,255"
TKG휴켐스,"1,987","2,422","1,794","2,297"
흥국화재,"112,568","119,366","124,874","130,716"
흥아해운,"7,306","4,000","3,131","1,444"
