,Unnamed: 0,종목,2018_당좌비율,2019_당좌비율,2020_당좌비율,2021_당좌비율,2018_부채비율,2019_부채비율,2020_부채비율,2021_부채비율,2018_이자보상비율,2019_이자보상비율,2020_이자보상비율,2021_이자보상비율
352,609,태영건설,97.9,96.4,64.4,73.2,234.5,276.5,487.2,426.6,11.8,9.6,5.7,3.5
353,612,테이팩스,38.4,202.7,141.5,211.1,72.1,44.0,42.1,37.7,5.9,7.1,27.8,62.1
354,616,티에이치엔,56.1,68.7,67.1,62.9,427.6,320.9,318.7,287.7,2.8,5.8,2.0,4.0
355,619,파미셀,817.5,478.1,562.4,199.0,24.5,22.8,22.1,46.6,4.6,19.4,85.2,4.5
356,620,팜스코,55.3,46.4,53.1,54.9,185.1,226.4,222.1,252.8,2.2,1.1,2.8,3.3
357,621,팬오션,94.1,86.6,100.2,108.8,54.8,53.6,66.0,80.4,3.8,3.8,5.5,13.2
358,627,포스코스틸리온,77.7,68.4,90.4,103.2,107.7,127.7,113.6,81.9,6.1,2.4,5.7,72.9
359,628,포스코인터내셔널,85.8,110.1,112.9,92.6,242.0,193.9,163.5,206.7,3.2,4.3,4.8,7.1
360,629,풀무원,69.5,58.3,65.3,70.9,173.1,220.6,230.2,233.9,2.9,1.2,1.7,1.3
361,630,풍산,58.4,59.7,68.5,61.0,93.4,85.2,76.4,86.8,3.8,1.4,5.8,16.7
362,631,풍산홀딩스,113.3,97.7,76.9,115.1,23.3,30.0,34.0,17.4,28.2,6.2,4.7,44.1
363,642,하이트진로,53.9,44.5,49.6,60.8,194.9,216.6,207.0,232.2,2.3,1.9,4.3,4.7
364,643,하이트진로홀딩스,42.0,37.9,39.6,47.9,264.1,290.5,268.3,289.6,1.7,1.5,3.3,3.5
365,644,한국가스공사,68.5,74.0,85.1,68.2,367.1,382.6,364.2,378.9,1.6,1.7,1.3,1.9
366,647,한국내화,84.4,53.4,180.2,111.3,58.0,49.0,40.7,41.0,7.3,7.4,5.9,9.9
367,648,한국단자,248.7,239.9,234.8,195.5,24.6,24.7,28.9,33.6,254.6,116.7,355.9,441.1
368,649,한국석유,122.9,139.8,101.7,113.7,108.0,111.1,119.8,122.3,3.5,2.2,7.5,7.8
369,651,한국유리,165.0,200.6,356.0,188.0,20.3,23.3,20.1,27.4,6.6,10.2,29.1,20.7
370,658,한국주철관,113.2,102.5,163.0,213.0,30.9,28.3,25.7,22.0,11.3,16.8,47.1,232.1
371,659,한국철강,297.9,381.3,339.5,320.1,26.7,20.5,24.7,25.8,137372.8,63.3,478.2,256932.0
372,660,한국카본,281.6,201.0,217.2,167.0,18.6,27.1,25.7,28.1,23.1,62.7,197.4,68.5
373,661,한국콜마,73.1,68.6,91.2,75.7,170.0,183.1,149.2,91.7,2.7,1.9,3.3,2.8
374,662,한국콜마홀딩스,82.2,67.4,93.3,79.9,78.0,81.8,54.7,41.6,8.9,6.1,7.9,10.3
375,663,한국타이어앤테크놀로지,102.1,112.1,175.5,193.3,44.3,41.4,43.8,42.6,12.3,9.5,13.2,14.7
376,664,한국앤컴퍼니,256.8,315.3,243.9,200.2,8.1,6.8,8.3,9.3,129.4,53.2,60.7,116.4
377,667,한국프랜지,55.1,71.3,76.6,70.9,190.7,185.9,181.9,166.3,0.2,2.0,2.8,8.1
378,668,한국항공우주,67.1,66.0,74.5,84.2,256.7,269.1,318.0,351.3,5.7,16.2,6.5,2.5
379,671,한농화성,156.3,179.0,184.5,129.1,44.5,35.8,31.0,46.9,7.1,16.6,26.7,35.5
380,672,한독,80.3,80.2,107.4,86.9,108.3,117.6,114.5,119.2,3.8,4.2,4.2,4.9
381,673,한라,70.1,62.0,76.9,93.2,575.2,508.3,341.9,265.3,2.1,2.2,2.8,3.2
382,674,한라홀딩스,100.0,48.8,60.1,72.0,99.3,98.7,121.2,126.2,2.4,2.9,3.2,4.7
383,675,한미글로벌,81.4,221.4,140.6,135.4,102.9,64.0,69.8,97.9,32.3,62.2,30.5,18.3
384,676,한미반도체,242.0,285.1,237.8,203.2,14.1,17.2,27.2,23.8,228.4,130.0,985.5,3341.4
385,677,한미사이언스,62.3,50.9,48.0,52.8,40.3,41.1,40.2,37.6,10.0,9.3,14.8,16.0
386,678,한미약품,72.7,71.1,57.3,69.9,114.3,132.7,126.2,108.6,4.3,4.2,2.0,7.6
387,679,한샘,124.4,97.4,99.3,88.8,63.7,96.1,95.5,100.5,12.3,7.4,11.9,12.4
388,680,한섬,126.1,124.9,161.7,171.2,28.5,26.6,27.8,25.5,27.4,49.7,57.4,95.6
389,682,한세실업,90.1,69.4,91.0,59.4,137.6,159.2,142.3,161.9,2.6,4.8,6.0,14.4
390,684,한세예스24홀딩스,74.6,62.0,74.6,55.4,171.7,190.6,146.7,136.1,2.8,3.8,4.2,9.7
391,685,한솔PNS,138.4,139.7,142.1,124.8,137.3,151.9,145.4,119.2,106.4,18.3,15.7,16.5
392,686,한솔로지스틱스,158.5,109.3,108.0,107.1,125.2,254.4,258.6,239.3,5.6,5.1,6.5,17.5
393,687,한솔제지,35.5,40.1,44.4,46.8,205.1,184.8,174.1,177.9,4.3,3.9,4.9,3.3
394,688,한솔케미칼,61.6,126.2,144.1,155.8,77.0,80.4,60.6,55.9,11.8,11.8,25.4,34.2
395,690,한솔홀딩스,43.1,112.3,172.3,173.0,211.9,46.1,19.1,19.0,5.0,10.6,13.0,19.4
396,692,한신공영,85.5,90.8,110.8,93.5,298.7,221.3,179.4,212.8,8.0,5.2,4.7,1.8
397,693,한신기계,671.3,433.4,523.9,481.9,13.6,16.0,15.6,17.5,91.2,40.9,75.2,121.5
398,694,한양증권,87.2,86.8,79.1,69.2,583.6,518.3,460.5,277.8,461.0,542.0,1091.0,1907.0
399,695,한온시스템,126.0,110.4,104.3,97.4,151.3,203.0,248.6,232.5,17.8,6.8,3.5,3.8
400,697,한익스프레스,70.7,78.4,54.6,54.9,198.0,283.5,339.8,409.8,5.9,5.0,3.7,2.0
401,698,한일홀딩스,163.1,131.7,140.0,131.8,88.7,89.4,82.1,69.1,0.5,2.4,6.9,6.9
402,701,한전기술,113.3,115.2,127.0,139.7,67.2,49.4,40.3,37.4,29.4,680.2,568.4,251.6
403,702,한전산업,194.2,186.9,162.0,167.5,97.0,95.3,96.7,91.7,49.1,31.0,25.1,36.5
404,703,한진,55.4,79.1,75.4,80.0,149.4,236.7,206.1,182.2,0.8,0.8,1.0,1.0
405,705,한진중공업홀딩스,72.9,56.4,60.5,67.8,410.5,416.2,415.2,427.2,0.6,0.8,1.0,1.0
406,708,한창제지,95.2,103.7,95.8,142.9,100.8,100.1,91.2,129.0,6.6,7.2,11.7,14.3
407,709,한화,66.2,70.8,69.3,75.7,900.1,898.1,979.0,861.5,4.3,2.3,3.4,7.4
408,713,한화솔루션,69.1,65.9,67.2,66.4,144.6,170.1,153.7,144.0,2.2,2.1,2.9,5.0
409,714,한화에어로스페이스,81.3,97.1,90.6,108.1,180.6,205.0,216.6,181.0,1.1,2.8,3.7,6.0
410,715,한화투자증권,61.0,70.1,57.1,62.0,672.8,755.0,847.1,530.5,2764.0,3182.0,3483.0,3534.0
411,716,해성디에스,105.9,89.5,91.1,108.0,56.0,56.6,65.3,61.4,11.0,12.0,27.6,61.1
412,717,해태제과식품,47.9,34.4,44.7,32.5,176.5,210.0,135.6,152.1,2.2,2.7,4.1,5.3
413,719,HDC현대EP,92.4,124.3,171.4,136.5,112.7,93.1,79.3,89.5,2.1,5.4,8.1,8.1
414,720,현대건설,166.0,169.1,189.8,181.4,117.7,109.2,104.6,108.3,9.2,10.1,7.0,13.0
415,721,현대건설기계,124.8,123.0,133.5,97.2,99.4,102.1,111.4,129.6,7.2,4.1,2.4,5.5
416,722,현대그린푸드,179.4,157.2,151.3,112.2,34.4,40.2,40.1,40.7,68.2,28.8,24.2,19.0
417,723,현대글로비스,122.9,117.8,136.3,142.0,103.9,116.9,115.1,109.4,9.4,8.5,7.8,15.8
418,726,현대리바트,142.4,111.5,99.5,89.9,51.8,64.4,67.0,76.6,224.0,25.9,25.7,13.3
419,727,현대모비스,205.7,206.1,196.8,191.3,40.3,43.8,45.5,45.6,31.8,31.5,33.6,52.8
420,729,현대백화점,88.5,81.9,77.0,79.9,44.7,53.1,73.0,71.6,24.3,16.3,4.4,6.4
421,730,현대비앤지스틸,132.6,242.6,222.8,165.7,58.5,51.0,51.4,54.5,10.6,11.7,11.1,32.8
422,731,HDC,100.6,89.3,147.1,127.0,61.9,79.0,121.3,121.7,3.2,3.4,8.1,5.4
423,732,현대코퍼레이션,81.8,97.6,126.5,102.8,259.0,322.7,287.7,370.6,4.1,3.1,2.0,2.7
424,734,한일현대시멘트,86.5,67.0,73.3,113.9,211.2,173.8,120.0,84.1,5.5,8.4,20.6,13.8
425,737,현대엘리베이,112.6,100.7,122.8,98.9,155.0,168.7,156.1,162.9,5.9,6.0,6.4,5.6
426,738,현대위아,165.8,156.0,162.5,157.2,134.0,119.1,119.0,109.7,0.1,1.6,1.3,1.9
427,740,현대제철,57.4,64.8,86.4,81.0,95.7,99.4,108.7,102.9,3.1,1.0,0.2,8.1
428,742,현대차,73.7,64.2,66.9,64.9,144.5,154.7,174.2,183.2,7.9,11.4,6.6,21.9
429,743,현대차증권,73.9,77.2,77.4,72.4,702.7,610.7,760.2,658.7,2123.0,2179.0,2529.0,2765.0
430,746,현대홈쇼핑,109.6,141.9,127.5,146.5,52.1,44.8,50.1,38.1,631.5,11.4,24.2,26.6
431,748,혜인,38.3,48.0,60.1,77.0,149.2,128.5,111.7,91.0,1.4,2.5,2.8,5.5
432,749,호전실업,66.9,67.8,65.1,68.2,127.3,134.8,153.8,152.1,1.8,2.8,0.3,3.1
433,751,화성산업,151.0,168.2,264.3,203.9,71.0,65.1,47.2,93.8,303.3,70.2,21.0,22.4
434,752,화승코퍼레이션,50.3,48.2,53.4,48.7,454.6,362.0,436.4,485.1,1.7,2.0,0.6,0.5
435,753,화승엔터프라이즈,49.3,51.2,72.5,57.1,168.6,166.4,114.9,141.7,3.5,5.6,4.8,0.7
436,754,화승인더,53.0,56.4,70.9,56.8,179.9,180.3,128.5,157.9,3.3,5.5,4.8,1.2
437,758,화천기공,219.5,269.1,207.0,169.6,33.9,26.4,27.8,38.0,13.4,9.8,6.6,27.9
438,760,황금에스티,86.2,205.8,112.0,169.3,51.4,37.9,49.7,29.8,11.3,6.7,16.1,50.6
439,761,효성,39.2,33.0,106.7,77.5,137.1,140.8,76.2,75.7,5.3,5.7,4.6,26.9
440,762,효성ITX,88.2,66.2,57.5,54.2,154.2,208.0,227.2,133.7,12.0,6.6,11.0,16.7
441,763,후성,118.3,96.8,70.8,74.2,79.8,117.7,120.3,117.4,19.6,3.3,0.5,6.5
442,764,휠라홀딩스,105.0,98.2,107.5,122.1,119.3,109.4,102.4,86.0,6.6,8.4,9.4,21.4
443,765,휴니드,64.3,82.6,69.3,75.7,109.3,125.3,106.7,100.7,94.9,41.0,58.0,77.3
444,766,휴비스,74.8,43.8,94.8,56.0,134.8,121.4,83.5,80.3,4.5,0.5,4.7,1.3
445,768,TKG휴켐스,495.3,237.1,447.9,257.2,29.8,36.1,26.1,31.9,38.0,31.8,40.5,49.8
