종목_list,2018_매출액,2019_매출액,2020_매출액,2021_매출액
티에이치엔,"3,728","4,022","3,464","4,027"
티웨이홀딩스,"7,375","8,173","2,769","2,267"
시디즈,"1,410","1,929","2,275","2,519"
파미셀,284,325,378,509
팜스코,"10,157","11,650","13,339","15,369"
팬오션,"26,684","24,679","24,972","46,161"
퍼스텍,"1,310","1,263","1,321","1,367"
퍼시스,"3,157","3,048","2,869","3,265"
페이퍼코리아,"4,123","2,656","4,841","4,353"
평화산업,"3,358","3,533","3,386","4,241"
평화홀딩스,"5,560","5,811","5,211","6,277"
포스코스틸리온,"9,403","9,167","9,073","13,473"
포스코인터내셔널,"251,739","244,226","214,724","339,489"
풀무원,"22,720","23,815","23,112","25,189"
풍산,"27,745","24,513","25,936","35,095"
풍산홀딩스,"3,061","2,644","2,659","4,878"
KH 필룩스,"1,100","1,351","1,188","1,202"
하나금융지주,"56,372","57,737","64,399","74,372"
하나니켈1호, , , , 
하나니켈2호, , , , 
하나투어,"8,283","6,146","1,096",403
하이골드12호,81,105,74,34
하이골드3호,32,47,31,22
하이골드8호,56,14,13,14
하이스틸,"1,705","2,143","1,617","2,262"
하이트론,415,373,273,275
하이트진로,"18,856","20,351","22,563","22,029"
하이트진로홀딩스,"18,767","20,263","22,470","21,920"
한국가스공사,"261,850","249,826","208,337","275,208"
한국공항,"5,261","5,038","3,032","3,455"
한국금융지주,"7,043","8,191","10,439","11,522"
한국내화,"2,397","2,224","2,037","2,717"
한국단자,"7,464","7,721","8,025","9,622"
한국석유,"4,813","4,854","4,840","6,289"
한국쉘석유,"2,198","2,118","2,003","2,414"
한국유리,"2,980","3,306","3,454","3,057"
한국자산신탁,"2,266","2,233","2,401","2,125"
한국전력,"606,276","591,729","585,693","605,748"
한국전자홀딩스,"2,342","2,170","2,215","3,312"
한국제지,"6,779","7,234","7,166","2,031"
한국종합기술,"1,909","2,189","2,882","2,683"
한국주강,391,363,339,453
한국주철관,"4,174","4,372","3,283","5,102"
한국철강,"7,775","7,191","6,334","8,867"
한국카본,"2,267","2,734","4,117","3,678"
한국콜마,"13,579","13,789","13,221","15,863"
한국콜마홀딩스,"5,617","4,995","6,755","6,740"
한국타이어앤테크놀로지,"67,951","68,833","64,531","71,411"
한국앤컴퍼니,"8,480","8,476","8,192","9,633"
한국토지신탁,"2,693","2,557","2,374","2,255"
한국특강,"3,650","3,910","4,153","6,915"
한국프랜지,"7,937","9,540","8,816","10,039"
한국항공우주,"27,860","31,102","28,251","25,623"
한국화장품,"1,539","1,312",725,670
한국화장품제조,882,765,620,678
한농화성,"2,232","2,047","2,083","2,688"
한독,"4,467","4,730","5,036","5,176"
한라,"12,997","13,049","15,509","14,753"
한라홀딩스,"8,865","7,984","7,358","10,412"
한미글로벌,"2,077","2,947","2,326","2,701"
한미반도체,"2,171","1,204","2,574","3,732"
한미사이언스,"7,080","8,166","8,574","9,502"
한미약품,"10,160","11,137","10,759","12,032"
한샘,"19,285","16,984","20,675","22,312"
한섬,"12,992","12,598","11,959","13,874"
한성기업,"2,869","2,701","2,661","2,515"
한세실업,"17,127","16,150","16,983","16,720"
한세엠케이,"3,230","3,075","2,202","2,077"
한세예스24홀딩스,"25,215","27,367","27,979","27,989"
한솔PNS,"2,484","2,339","2,448","2,629"
한솔로지스틱스,"4,342","4,607","5,096","7,470"
한솔제지,"19,766","16,791","15,099","18,342"
한솔케미칼,"5,819","5,443","6,193","7,687"
한솔테크닉스,"8,419","9,722","11,949","14,906"
한솔홀딩스,"6,020","3,463","3,595","4,136"
한솔홈데코,"2,969","2,639","2,532","2,633"
한신공영,"21,422","16,233","15,569","13,111"
한신기계,533,528,516,544
한양증권,196,178,283,276
한온시스템,"59,376","71,542","68,728","73,514"
한올바이오파마,918,"1,085",886,"1,016"
한익스프레스,"5,659","5,774","6,153","7,763"
한일홀딩스,"11,867","16,518","15,334","17,670"
한일철강,"1,686","1,730","1,571","2,486"
한전KPS,"12,425","12,470","13,032","13,806"
한전기술,"4,337","4,486","4,317","4,331"
한전산업,"2,625","2,896","3,293","3,211"
한진,"19,508","20,623","22,157","25,041"
HJ중공업,"16,979","16,288","16,958","17,065"
한진중공업홀딩스,"9,460","8,776","7,952","8,880"
한진칼,"13,049","12,035","4,088","3,953"
한창,982,601,253,352
한창제지,"2,000","1,814","1,715","1,822"
한화,"487,402","504,124","509,265","528,361"
한화갤러리아타임월드,"2,848","3,307","1,425","1,424"
한화생명,"234,305","249,785","262,231","271,736"
한화손해보험,"74,238","80,276","78,675","79,926"
한화솔루션,"90,460","94,574","91,950","107,252"
한화에어로스페이스,"44,532","52,641","53,214","64,151"
한화투자증권,"1,116","1,194","1,203","1,167"
해성디에스,"3,633","3,814","4,587","6,554"
해태제과식품,"7,254","5,393","5,639","5,677"
핸즈코퍼레이션,"6,009","6,177","5,727","5,622"
HDC현대EP,"9,108","8,351","6,894","8,598"
현대건설,"167,309","172,788","169,709","180,655"
현대건설기계,"32,339","28,521","23,905","32,843"
현대그린푸드,"32,517","31,243","32,385","34,861"
현대글로비스,"168,656","182,701","165,199","217,796"
HD현대,"272,567","266,303","189,110","281,587"
현대로템,"24,119","24,593","27,853","28,725"
현대리바트,"13,517","12,376","13,846","14,066"
현대모비스,"351,492","380,488","366,265","417,022"
현대미포조선,"24,030","29,941","27,920","28,872"
현대백화점,"18,622","21,990","22,732","35,724"
현대비앤지스틸,"7,127","7,333","6,802","8,557"
HDC,"15,478","16,167","39,519","47,796"
현대코퍼레이션,"47,140","42,634","28,809","37,825"
HMM,"52,221","55,131","64,133","137,941"
한일현대시멘트,"3,396","3,841","3,343","3,970"
현대약품,"1,308","1,347","1,330","1,398"
현대퓨처넷,"2,897","2,929",396,"1,367"
현대엘리베이,"18,772","18,725","18,212","19,734"
현대위아,"78,805","73,146","65,922","75,277"
현대일렉트릭,"19,404","17,711","18,113","18,060"
현대제철,"207,804","205,126","180,234","228,499"
한국조선해양,"131,610","151,826","149,037","154,934"
현대차,"968,126","1,057,464","1,039,976","1,176,106"
현대차증권,620,659,"1,128",879
현대코퍼레이션홀딩스,"1,654","1,839","1,516","1,304"
현대해상,"157,466","168,459","177,102","188,422"
현대홈쇼핑,"10,177","20,604","21,264","22,099"
형지엘리트,"1,546","1,479","1,353",650
혜인,"2,167","2,609","2,175","2,064"
호전실업,"3,133","3,098","2,925","3,449"
호텔신라,"47,137","57,173","31,881","37,791"
화성산업,"4,752","4,514","4,193","4,222"
화승코퍼레이션,"15,281","15,520","13,133","13,998"
화승엔터프라이즈,"8,792","12,016","11,158","11,386"
화승인더,"11,119","14,259","12,988","13,655"
화신,"10,758","11,643","10,855","12,366"
화인베스틸,"1,451","1,348",986,"1,241"
화천기계,"1,807","1,597","1,368","1,759"
화천기공,"2,156","2,065","1,617","2,040"
환인제약,"1,547","1,592","1,717","1,778"
황금에스티,"2,448","2,436","2,395","2,710"
효성,"30,025","31,756","25,962","35,389"
효성ITX,"4,021","3,882","4,841","4,759"
후성,"2,749","2,489","2,616","3,813"
휠라홀딩스,"29,546","34,504","31,288","37,940"
휴니드,"2,613","1,947","2,013","2,277"
휴비스,"12,625","10,293","9,203","10,826"
휴스틸,"5,888","5,370","3,656","6,165"
TKG휴켐스,"7,629","6,598","5,935","8,612"
흥국화재,"41,571","42,682","44,930","45,146"
흥아해운,"1,008","1,022",889,817
