종목_list,2018_매출액,2019_매출액,2020_매출액,2021_매출액
국보,716,891,"1,099",969
국제약품,"1,077","1,111","1,304","1,197"
극동유화,"8,309","7,956","6,229","9,648"
금강공업,"5,679","5,497","5,019","5,705"
금비,"2,014","2,193","2,286",565
금양,"2,054","1,727","1,762","2,177"
금호건설,"13,767","15,977","18,296","20,651"
금호석유,"55,849","49,615","48,095","84,618"
금호에이치티,"2,093","2,511","2,196","2,340"
금호전기,636,592,450,416
금호타이어,"25,587","23,692","21,707","26,012"
기신정기,"1,190","1,247","1,285",970
기아,"541,698","581,460","591,681","698,624"
기업은행,"56,323","57,520","56,151","61,284"
까뮤이앤씨,"1,163","2,834","1,617","1,637"
깨끗한나라,"6,263","5,942","5,916","5,787"
에이프로젠 MED,510,782,"1,271","1,412"
남광토건,"1,572","2,362","2,380","3,567"
남선알미늄,"3,478","3,248","2,685","2,303"
남성,833,730,925,"1,023"
남양유업,"10,797","10,308","9,489","9,561"
비비안,"2,114","1,967","1,833","1,879"
남해화학,"12,427","11,872","10,098","14,519"
넥센,"13,600","22,913","19,685","24,039"
넥센타이어,"19,840","20,223","16,981","20,794"
넷마블,"20,213","21,787","24,848","25,069"
노루페인트,"6,147","6,475","6,429","7,309"
노루홀딩스,"8,360","8,843","8,480","9,552"
녹십자,"13,349","13,571","15,041","15,378"
녹십자홀딩스,"15,487","14,936","17,193","18,406"
농심,"22,364","23,439","26,398","26,630"
농심홀딩스,"5,432","5,367","5,836","6,415"
다우기술,"22,024","29,018","47,329","60,870"
키다리스튜디오,196,267,455,"1,191"
큐로,829,"1,471","1,249",807
대교,"7,631","7,619","6,270","6,384"
대구백화점,"1,200","1,015",911,818
대덕GDS,"5,231","4,632","4,824","3,151"
대덕,"5,921", ,34,"13,717"
대동,"6,548","8,344","8,958","11,792"
대동전자,480,450,398,336
대림B&Co,"2,472","2,364","2,324","2,604"
DL,"109,845","16,604","15,661","23,854"
삼일씨엔에스,"2,056","1,955","1,861","2,266"
대림통상,"2,013","1,836","1,566","1,552"
대상,"29,568","29,640","31,132","34,700"
대상홀딩스,"33,980","35,525","37,543","42,060"
대성산업,"9,455","8,699","8,324","11,291"
대성에너지,"7,710","7,749","7,432","7,704"
대성홀딩스,"9,098","9,186","8,843","9,405"
대신증권,"2,042","1,570","1,833","2,325"
대양금속,"1,650","1,516","1,405","2,034"
대영포장,"3,001","2,701","2,607","3,226"
대우건설,"106,055","86,519","81,367","86,852"
대우부품,626,534,759,992
대우조선해양,"96,444","83,587","70,302","44,866"
대웅,"12,313","13,657","13,553","15,114"
대웅제약,"10,314","11,134","10,554","11,530"
대원강업,"9,954","9,602","8,612","8,622"
대원전선,"4,295","4,013","3,673","4,750"
대원제약,"2,867","3,178","3,085","3,542"
대원화성,"1,146","1,331","1,088","1,133"
대유에이텍,"11,102","12,850","14,669","16,558"
대유플러스,"5,034","4,573","4,529","5,120"
대창,"9,513","8,990","9,336","12,776"
대창단조,"3,205","2,773","2,645","3,544"
대한방직,"2,090","1,563","1,752","2,004"
대한유화,"25,540","20,743","18,827","25,149"
대한전선,"16,488","15,547","15,968","19,977"
대한제강,"11,338","10,217","10,961","20,303"
대한제당,"12,084","12,044","12,145","12,613"
대한제분,"8,646","9,339","9,702","11,113"
대한항공,"130,116","123,843","76,105","90,168"
대한해운,"12,846","10,057","8,841","11,538"
대한화섬,"1,077","1,142",869,"1,173"
대현,"2,863","2,996","2,532","2,879"
대호에이엘,"1,324","1,175","1,214","1,434"
더존비즈온,"2,269","2,627","3,065","3,187"
덕성,837,867,"1,177","1,152"
덕양산업,"12,922","13,594","12,920","13,482"
덴티움,"1,863","2,526","2,297","2,915"
도레이케미칼,"9,538","8,565","8,728","7,016"
도화엔지니어링,"4,025","5,161","5,749","5,774"
케이비아이동국실업,"6,509","6,156","5,308","5,214"
동국제강,"59,649","56,584","52,062","72,403"
동남합성,"1,393","1,261","1,249","1,603"
동방,"5,264","6,330","5,921","5,959"
동방아그로,"1,211","1,246","1,295","1,341"
동부건설,"8,982","11,554","11,722","11,449"
KG스틸,"25,451","24,283","23,424","33,548"
동북아12호,5,5,5,1
동북아13호,5,5,5,5
동서,"5,635","5,054","4,930","5,353"
동성제약,919,865,878,844
동성케미컬,"8,131","8,498","8,640","9,260"
동성화학,"2,043","1,914","2,010","1,824"
동아쏘시오홀딩스,"7,075","7,697","7,833","8,819"
다스코,"2,408","2,162","2,245","3,636"
동아에스티,"5,674","6,123","5,867","5,932"
동아지질,"3,607","3,809","3,146","2,895"
동아타이어,"1,613","1,560","1,432","1,796"
동양,"5,297","5,391","6,029","6,996"
동양고속,"1,323","1,405",835,812
비케이탑스,700,116,99,129
TYM,"5,899","6,174","7,133","8,415"
동양생명,"57,869","62,540","69,490","63,476"
동양철관,"1,620","1,634","1,738","1,820"
동양피스톤,"3,322","3,648","3,215","3,546"
